date,region,rows
2018-01-01,core,494
2018-01-01,near,307
2018-01-01,outer,353
2018-01-01,outside,151
2018-01-02,core,710
2018-01-02,near,532
2018-01-02,outer,728
2018-01-02,outside,115
2018-01-03,core,768
2018-01-03,near,484
2018-01-03,outer,568
2018-01-03,outside,144
2018-01-04,core,536
2018-01-04,near,349
2018-01-04,outer,450
2018-01-04,outside,156
2018-01-05,core,781
2018-01-05,near,475
2018-01-05,outer,475
2018-01-05,outside,100
2018-01-06,core,643
2018-01-06,near,518
2018-01-06,outer,484
2018-01-06,outside,141
2018-01-07,core,615
2018-01-07,near,322
2018-01-07,outer,542
2018-01-07,outside,152
2018-01-08,core,593
2018-01-08,near,378
2018-01-08,outer,539
2018-01-08,outside,94
2018-01-09,core,411
2018-01-09,near,288
2018-01-09,outer,441
2018-01-09,outside,49
2018-01-10,core,357
2018-01-10,near,191
2018-01-10,outer,125
2018-01-10,outside,30
2018-01-11,core,311
2018-01-11,near,211
2018-01-11,outer,190
2018-01-11,outside,38
2018-01-12,core,152
2018-01-12,near,83
2018-01-12,outer,95
2018-01-12,outside,20
2018-01-13,core,3
2018-01-13,near,1
2018-01-13,outside,1
2018-01-14,core,1
2018-01-14,near,5
2018-01-14,outer,2
2018-01-14,outside,2
2018-01-15,core,1
2018-01-16,core,2
2018-01-16,near,2
2018-01-16,outside,3
2018-01-17,core,2
2018-01-17,outer,4
2018-01-18,core,35
2018-01-18,near,16
2018-01-18,outer,2
2018-01-19,core,530
2018-01-19,near,216
2018-01-19,outer,350
2018-01-19,outside,93
2018-01-20,core,918
2018-01-20,near,627
2018-01-20,outer,744
2018-01-20,outside,141
2018-01-21,core,1047
2018-01-21,near,615
2018-01-21,outer,918
2018-01-21,outside,192
2018-01-22,core,715
2018-01-22,near,436
2018-01-22,outer,524
2018-01-22,outside,142
2018-01-23,core,603
2018-01-23,near,360
2018-01-23,outer,555
2018-01-23,outside,160
2018-01-24,core,835
2018-01-24,near,387
2018-01-24,outer,348
2018-01-24,outside,78
