version,label,rows,changed_rows,sum_raw,sum_clean,sum_delta,sum_abs_delta,sse_between,max_abs_delta
raw,A,1728,0,6593.0,6593.0,0.0,0.0,0.0,0.0
raw,B,3456,0,1910.0,1910.0,0.0,0.0,0.0,0.0
dedup_mmsi_time,A,1728,3,6593.0,6590.0,-3.0,3.0,3.0,1.0
dedup_mmsi_time,B,3456,9,1910.0,1911.0,1.0,9.0,9.0,1.0
drop_step_gt_100,A,1728,5,6593.0,6588.0,-5.0,5.0,5.0,1.0
drop_step_gt_100,B,3456,10,1910.0,1908.0,-2.0,10.0,10.0,1.0
drop_step_gt_50,A,1728,9,6593.0,6584.0,-9.0,9.0,9.0,1.0
drop_step_gt_50,B,3456,22,1910.0,1912.0,2.0,22.0,22.0,1.0
drop_step_gt_30,A,1728,17,6593.0,6576.0,-17.0,17.0,17.0,1.0
drop_step_gt_30,B,3456,25,1910.0,1911.0,1.0,25.0,25.0,1.0
dedup_drop_step_gt_50,A,1728,12,6593.0,6581.0,-12.0,12.0,12.0,1.0
dedup_drop_step_gt_50,B,3456,34,1910.0,1910.0,0.0,34.0,34.0,1.0
dedup_drop_step_gt_50_sog_le_30,A,1728,12,6593.0,6581.0,-12.0,12.0,12.0,1.0
dedup_drop_step_gt_50_sog_le_30,B,3456,34,1910.0,1910.0,0.0,34.0,34.0,1.0
