hour,region,y_raw,y_clean,delta,abs_delta,version,label,source_region,target_region
2018-01-10 23:00:00,near,5,4,-1,1,dedup_mmsi_time,A,,
2018-01-15 12:00:00,near,4,3,-1,1,dedup_mmsi_time,A,,
2018-01-23 20:00:00,near,11,10,-1,1,dedup_mmsi_time,A,,
2018-01-24 14:00:00,core,14,14,0,0,dedup_mmsi_time,A,,
2018-01-24 14:00:00,near,5,5,0,0,dedup_mmsi_time,A,,
2018-01-24 14:00:00,outer,2,2,0,0,dedup_mmsi_time,A,,
2018-01-24 15:00:00,core,16,16,0,0,dedup_mmsi_time,A,,
2018-01-24 15:00:00,near,13,13,0,0,dedup_mmsi_time,A,,
2018-01-24 15:00:00,outer,2,2,0,0,dedup_mmsi_time,A,,
2018-01-24 16:00:00,core,14,14,0,0,dedup_mmsi_time,A,,
2018-01-24 16:00:00,near,12,12,0,0,dedup_mmsi_time,A,,
2018-01-24 16:00:00,outer,2,2,0,0,dedup_mmsi_time,A,,
2018-01-24 17:00:00,core,3,3,0,0,dedup_mmsi_time,A,,
2018-01-24 17:00:00,near,1,1,0,0,dedup_mmsi_time,A,,
2018-01-24 17:00:00,outer,2,2,0,0,dedup_mmsi_time,A,,
2018-01-24 18:00:00,core,7,7,0,0,dedup_mmsi_time,A,,
2018-01-24 18:00:00,near,3,3,0,0,dedup_mmsi_time,A,,
2018-01-24 18:00:00,outer,1,1,0,0,dedup_mmsi_time,A,,
2018-01-24 19:00:00,core,15,15,0,0,dedup_mmsi_time,A,,
2018-01-24 19:00:00,near,12,12,0,0,dedup_mmsi_time,A,,
2018-01-24 19:00:00,outer,0,0,0,0,dedup_mmsi_time,A,,
2018-01-24 20:00:00,core,8,8,0,0,dedup_mmsi_time,A,,
2018-01-24 20:00:00,near,9,9,0,0,dedup_mmsi_time,A,,
2018-01-24 20:00:00,outer,2,2,0,0,dedup_mmsi_time,A,,
2018-01-24 21:00:00,core,10,10,0,0,dedup_mmsi_time,A,,
2018-01-24 21:00:00,near,6,6,0,0,dedup_mmsi_time,A,,
2018-01-24 21:00:00,outer,2,2,0,0,dedup_mmsi_time,A,,
2018-01-24 22:00:00,core,6,6,0,0,dedup_mmsi_time,A,,
2018-01-24 22:00:00,near,7,7,0,0,dedup_mmsi_time,A,,
2018-01-24 22:00:00,outer,1,1,0,0,dedup_mmsi_time,A,,
2018-01-24 23:00:00,core,8,8,0,0,dedup_mmsi_time,A,,
2018-01-24 23:00:00,near,6,6,0,0,dedup_mmsi_time,A,,
2018-01-24 23:00:00,outer,2,2,0,0,dedup_mmsi_time,A,,
2018-01-01 10:00:00,outer,3,3,0,0,dedup_mmsi_time,A,,
2018-01-01 11:00:00,core,13,13,0,0,dedup_mmsi_time,A,,
2018-01-01 11:00:00,near,6,6,0,0,dedup_mmsi_time,A,,
2018-01-01 11:00:00,outer,3,3,0,0,dedup_mmsi_time,A,,
2018-01-01 12:00:00,core,10,10,0,0,dedup_mmsi_time,A,,
2018-01-01 12:00:00,near,3,3,0,0,dedup_mmsi_time,A,,
2018-01-01 12:00:00,outer,6,6,0,0,dedup_mmsi_time,A,,
2018-01-01 13:00:00,core,2,2,0,0,dedup_mmsi_time,A,,
2018-01-01 13:00:00,near,2,2,0,0,dedup_mmsi_time,A,,
2018-01-01 13:00:00,outer,4,4,0,0,dedup_mmsi_time,A,,
2018-01-01 14:00:00,core,8,8,0,0,dedup_mmsi_time,A,,
2018-01-01 14:00:00,near,6,6,0,0,dedup_mmsi_time,A,,
2018-01-01 14:00:00,outer,2,2,0,0,dedup_mmsi_time,A,,
2018-01-01 15:00:00,core,9,9,0,0,dedup_mmsi_time,A,,
2018-01-01 15:00:00,near,8,8,0,0,dedup_mmsi_time,A,,
2018-01-01 15:00:00,outer,5,5,0,0,dedup_mmsi_time,A,,
