date,source,ais_record_count,unique_vessel_count
2018-01-01,china_coastal,107233,42
2018-01-01,e_globe_daily,6248,49
2018-01-01,f_globe_dynamic,10,6
2018-01-02,china_coastal,139379,45
2018-01-02,e_globe_daily,10393,52
2018-01-02,f_globe_dynamic,22,12
2018-01-03,china_coastal,131948,47
2018-01-03,e_globe_daily,9428,56
2018-01-03,f_globe_dynamic,27,10
2018-01-04,china_coastal,96534,47
2018-01-04,e_globe_daily,8111,54
2018-01-04,f_globe_dynamic,31,9
2018-01-05,china_coastal,122143,48
2018-01-05,e_globe_daily,7988,54
2018-01-05,f_globe_dynamic,21,11
2018-01-06,china_coastal,125699,50
2018-01-06,e_globe_daily,8571,59
2018-01-06,f_globe_dynamic,17,8
2018-01-07,china_coastal,91611,48
2018-01-07,e_globe_daily,7079,60
2018-01-07,f_globe_dynamic,2747,53
2018-01-08,china_coastal,128843,46
2018-01-08,e_globe_daily,5949,56
2018-01-08,f_globe_dynamic,6161,53
2018-01-09,china_coastal,70167,44
2018-01-09,e_globe_daily,5924,52
2018-01-09,f_globe_dynamic,5328,53
2018-01-10,china_coastal,58783,46
2018-01-10,e_globe_daily,5479,52
2018-01-10,f_globe_dynamic,5589,52
2018-01-11,china_coastal,78529,46
2018-01-11,e_globe_daily,5807,53
2018-01-11,f_globe_dynamic,5587,53
2018-01-12,china_coastal,29545,43
2018-01-12,e_globe_daily,6213,57
2018-01-12,f_globe_dynamic,4611,57
2018-01-13,china_coastal,0,0
2018-01-13,e_globe_daily,6105,54
2018-01-13,f_globe_dynamic,4516,55
2018-01-14,china_coastal,0,0
2018-01-14,e_globe_daily,3988,52
2018-01-14,f_globe_dynamic,2861,53
2018-01-15,china_coastal,0,0
2018-01-15,e_globe_daily,3809,47
2018-01-15,f_globe_dynamic,2823,47
2018-01-16,china_coastal,0,0
2018-01-16,e_globe_daily,5795,52
2018-01-16,f_globe_dynamic,4176,52
2018-01-17,china_coastal,445,32
2018-01-17,e_globe_daily,4228,48
2018-01-17,f_globe_dynamic,3113,47
2018-01-18,china_coastal,3635,38
2018-01-18,e_globe_daily,3875,43
2018-01-18,f_globe_dynamic,2761,45
2018-01-19,china_coastal,73692,40
2018-01-19,e_globe_daily,4308,49
2018-01-19,f_globe_dynamic,3147,51
2018-01-20,china_coastal,118052,45
2018-01-20,e_globe_daily,6674,54
2018-01-20,f_globe_dynamic,4750,54
2018-01-21,china_coastal,129248,47
2018-01-21,e_globe_daily,6427,52
2018-01-21,f_globe_dynamic,3910,53
2018-01-22,china_coastal,127883,45
2018-01-22,e_globe_daily,5122,48
2018-01-22,f_globe_dynamic,3953,48
2018-01-23,china_coastal,87650,41
2018-01-23,e_globe_daily,5819,47
2018-01-23,f_globe_dynamic,3465,47
2018-01-24,china_coastal,96427,39
2018-01-24,e_globe_daily,6504,46
2018-01-24,f_globe_dynamic,2930,47
