date,ais_record_count,unique_vessel_count,observed_hour_count,min_hourly_record_count,max_hourly_record_count,median_records_per_vessel_hour,a_core_total,a_near_total,a_outer_total,a_total,b_core_to_near,b_core_to_outer,b_near_to_core,b_near_to_outer,b_outer_to_core,b_outer_to_near,b_total
2018-01-01,113491,49,24,1894,7531,25.0,178,108,45,331,28,3,30,8,2,11,82
2018-01-02,149794,53,24,5297,7279,27.0,191,117,72,380,22,5,24,13,8,14,86
2018-01-03,141403,58,24,5105,6985,26.0,192,124,48,364,34,7,32,8,3,8,92
2018-01-04,104676,55,24,2756,5691,23.0,160,109,47,316,26,4,28,7,4,11,80
2018-01-05,130152,57,24,4411,6536,24.0,184,102,38,324,24,3,28,8,3,10,76
2018-01-06,134287,61,24,4500,6668,24.0,148,111,45,304,16,3,15,15,4,11,64
2018-01-07,101437,60,24,2920,6219,20.0,202,113,48,363,30,4,29,6,2,8,79
2018-01-08,140953,56,24,3065,7991,25.0,164,100,38,302,19,5,18,5,5,10,62
2018-01-09,81419,54,24,426,6364,19.0,146,105,45,296,21,10,30,11,6,12,90
2018-01-10,69851,54,24,438,5339,17.0,145,90,28,263,32,6,32,4,3,5,82
2018-01-11,89923,54,24,400,7323,21.0,126,82,56,264,27,6,27,11,6,11,88
2018-01-12,40369,57,24,416,5387,13.0,131,64,36,231,26,8,31,7,4,10,86
2018-01-13,10621,55,24,241,553,9.0,75,58,40,173,27,9,28,9,4,11,88
2018-01-14,6849,53,18,0,572,9.0,46,35,30,111,18,3,13,8,5,9,56
2018-01-15,6632,47,23,0,482,8.0,62,36,17,115,28,2,28,3,4,7,72
2018-01-16,9971,53,24,146,513,8.0,78,55,26,159,23,5,20,15,7,11,81
2018-01-17,7786,48,24,150,645,8.0,60,38,22,120,38,2,33,6,3,6,88
2018-01-18,10271,46,24,202,2365,7.0,84,52,35,171,32,4,31,9,5,9,90
2018-01-19,81147,52,24,24,8254,20.0,130,76,41,247,20,4,19,8,3,7,61
2018-01-20,129476,55,24,4150,7465,23.0,203,132,65,400,30,7,26,7,5,18,93
2018-01-21,139585,54,24,3711,8249,23.0,209,136,62,407,22,7,32,11,5,12,89
2018-01-22,136958,52,24,2846,6864,25.0,138,91,32,261,18,6,18,3,5,2,52
2018-01-23,96934,48,24,2773,5200,21.0,158,113,54,325,29,9,28,7,8,6,87
2018-01-24,105861,48,24,2357,6475,24.0,199,124,43,366,34,2,33,8,3,6,86
