date,hour,ais_record_count,unique_vessel_count,median_records_per_vessel,vessels_with_at_least_3_records,a_core,a_near,a_outer,a_total,b_core_to_near,b_core_to_outer,b_near_to_core,b_near_to_outer,b_outer_to_core,b_outer_to_near,b_total
2018-01-01,0,1894,36,12.0,36,2,0,1,3,0,0,0,0,0,0,0
2018-01-01,1,2563,36,13.5,36,0,2,1,3,0,0,0,0,0,1,1
2018-01-01,2,2596,36,13.0,36,6,2,0,8,1,0,2,0,0,0,3
2018-01-01,3,3578,36,17.0,36,13,3,0,16,2,0,0,1,0,0,3
2018-01-01,4,3222,36,16.5,36,5,2,1,8,0,0,2,0,0,0,2
2018-01-01,5,3199,36,16.0,36,1,0,1,2,0,0,0,0,1,0,1
2018-01-01,6,3904,36,18.5,36,12,5,0,17,9,0,0,0,0,0,9
2018-01-01,7,4590,36,39.0,36,12,13,0,25,0,0,8,2,0,0,10
2018-01-01,8,3544,42,20.0,40,10,9,3,22,1,1,1,0,0,0,3
2018-01-01,9,2579,40,16.0,40,2,3,1,6,0,0,0,1,1,2,4
2018-01-01,10,2975,40,20.5,40,4,4,3,11,2,0,1,0,0,0,3
2018-01-01,11,5511,42,26.0,41,13,6,3,22,0,1,2,1,0,0,4
2018-01-01,12,6106,43,24.0,42,10,3,6,19,0,0,0,0,0,0,0
2018-01-01,13,5531,43,25.0,42,2,2,4,8,0,0,1,0,0,2,3
2018-01-01,14,6504,44,26.5,42,8,6,2,16,4,0,1,0,0,1,6
2018-01-01,15,6656,43,29.0,43,9,8,5,22,0,0,1,1,0,0,2
2018-01-01,16,6424,43,28.0,42,11,3,4,18,1,0,1,0,0,2,4
2018-01-01,17,5740,44,25.0,43,3,2,0,5,1,0,0,0,0,1,2
2018-01-01,18,5921,44,28.0,44,11,7,1,19,6,0,1,0,0,1,8
2018-01-01,19,6398,44,28.0,44,13,12,3,28,0,0,4,1,0,0,5
2018-01-01,20,5693,45,27.0,43,5,4,2,11,0,0,4,0,0,1,5
2018-01-01,21,5142,43,25.0,42,5,5,1,11,0,0,1,0,0,0,1
2018-01-01,22,5690,44,27.5,43,6,3,1,10,1,1,0,0,0,0,2
2018-01-01,23,7531,44,54.0,44,15,4,2,21,0,0,0,1,0,0,1
2018-01-02,0,6493,44,28.0,44,8,1,3,12,0,0,0,0,0,0,0
2018-01-02,1,6165,44,28.5,44,0,0,3,3,0,0,0,0,0,0,0
2018-01-02,2,6192,44,28.0,42,1,3,1,5,1,0,0,0,2,0,3
2018-01-02,3,7279,45,52.0,43,13,6,0,19,2,0,0,1,0,0,3
2018-01-02,4,6289,43,28.0,42,8,2,2,12,0,0,2,0,0,1,3
2018-01-02,5,5984,43,28.0,42,6,1,3,10,2,1,0,0,0,1,4
2018-01-02,6,6687,44,29.0,43,13,7,2,22,2,2,2,0,1,0,7
2018-01-02,7,6865,43,31.0,42,12,12,4,28,1,1,1,1,0,0,4
2018-01-02,8,6444,46,28.5,45,5,6,5,16,0,1,0,0,0,0,1
2018-01-02,9,6530,47,28.0,46,4,1,8,13,0,0,1,1,0,1,3
2018-01-02,10,6828,46,28.0,46,6,8,7,21,2,0,0,0,0,4,6
2018-01-02,11,6539,46,29.0,46,9,8,2,19,0,0,1,0,0,0,1
2018-01-02,12,5419,47,27.0,46,6,4,6,16,0,0,0,2,0,1,3
2018-01-02,13,5885,46,27.5,46,8,7,5,20,0,0,1,0,2,1,4
2018-01-02,14,5959,46,29.0,46,10,9,2,21,3,0,1,2,0,0,6
2018-01-02,15,6273,50,24.0,48,13,8,2,23,2,0,2,1,0,0,5
2018-01-02,16,6422,48,24.0,46,12,6,5,23,0,0,3,1,2,1,7
2018-01-02,17,6055,47,25.0,46,5,3,4,12,1,0,2,0,0,1,4
2018-01-02,18,6778,48,26.5,47,10,4,3,17,5,0,3,0,1,1,10
2018-01-02,19,6731,47,28.0,47,16,7,1,24,0,0,3,2,0,0,5
2018-01-02,20,5471,47,25.0,45,8,3,2,13,0,0,0,0,0,0,0
2018-01-02,21,5598,46,26.5,46,4,4,2,10,0,0,2,0,0,2,4
2018-01-02,22,5611,45,26.0,45,8,4,0,12,1,0,0,0,0,0,1
2018-01-02,23,5297,45,26.0,44,6,3,0,9,0,0,0,2,0,0,2
2018-01-03,0,5105,46,26.0,45,1,2,2,5,0,0,0,0,0,0,0
2018-01-03,1,5736,46,27.0,45,4,1,2,7,2,0,0,0,0,0,2
2018-01-03,2,5276,45,25.0,44,6,2,0,8,3,0,2,0,0,0,5
2018-01-03,3,6431,45,26.0,43,11,3,2,16,0,1,2,1,0,0,4
2018-01-03,4,5499,44,27.0,44,5,0,3,8,0,0,0,0,0,1,1
2018-01-03,5,5524,44,26.0,44,5,1,2,8,0,0,0,0,1,1,2
2018-01-03,6,6118,45,28.0,45,15,3,0,18,5,0,1,0,0,0,6
2018-01-03,7,6215,47,27.0,45,12,6,1,19,2,1,1,0,0,0,4
2018-01-03,8,5526,45,25.0,45,6,7,2,15,1,0,4,1,1,0,7
2018-01-03,9,5998,47,25.0,46,5,5,1,11,2,0,0,1,0,0,3
2018-01-03,10,6534,47,27.0,47,12,7,2,21,2,2,0,0,1,1,6
2018-01-03,11,6985,47,27.0,46,9,9,3,21,1,0,0,1,0,0,2
2018-01-03,12,6580,48,24.0,46,5,3,5,13,1,0,0,0,0,0,1
2018-01-03,13,6273,48,26.0,47,4,5,4,13,1,0,2,0,0,2,5
2018-01-03,14,6155,47,28.0,46,6,10,4,20,1,0,2,0,0,1,4
2018-01-03,15,6357,47,26.0,46,9,11,1,21,2,0,3,0,0,0,5
2018-01-03,16,5898,47,26.0,46,11,3,1,15,1,0,3,0,0,0,4
2018-01-03,17,5370,46,26.0,46,8,3,1,12,0,0,0,1,0,0,1
2018-01-03,18,5615,45,27.0,45,8,6,1,15,4,0,0,0,0,1,5
2018-01-03,19,6814,45,27.0,45,15,13,1,29,0,1,4,2,0,0,7
2018-01-03,20,5324,44,27.5,43,7,5,3,15,0,0,1,0,0,0,1
2018-01-03,21,5222,45,25.0,44,3,3,3,9,0,0,2,0,0,1,3
2018-01-03,22,5612,44,28.0,44,14,7,1,22,6,1,1,0,0,0,8
2018-01-03,23,5236,44,28.0,44,11,9,3,23,0,1,4,1,0,0,6
2018-01-04,0,3935,44,23.0,44,5,3,4,12,0,0,0,0,0,0,0
2018-01-04,1,3226,45,17.0,44,0,0,2,2,0,0,0,0,1,0,1
2018-01-04,2,3516,47,21.0,45,1,0,2,3,2,0,1,0,0,0,3
2018-01-04,3,4259,46,23.0,46,7,6,4,17,2,0,0,0,1,1,4
2018-01-04,4,5560,48,25.5,46,9,7,3,19,0,0,0,1,0,0,1
2018-01-04,5,5092,46,26.5,46,9,7,3,19,0,0,5,0,0,2,7
2018-01-04,6,4735,46,24.5,45,12,6,2,20,2,3,0,0,1,0,6
2018-01-04,7,5149,47,23.0,44,11,7,4,22,2,1,2,0,0,3,8
2018-01-04,8,3333,44,18.0,44,9,7,1,17,1,0,1,1,0,0,3
2018-01-04,9,2756,46,16.5,46,7,5,4,16,2,0,0,1,0,0,3
2018-01-04,10,2820,45,15.0,45,9,6,4,19,2,0,2,0,1,1,6
2018-01-04,11,3248,46,19.5,44,12,9,2,23,0,0,6,0,0,1,7
2018-01-04,12,2831,46,16.5,45,8,3,2,13,0,0,0,0,0,0,0
2018-01-04,13,4725,46,24.0,44,4,5,1,10,3,0,0,1,0,1,5
2018-01-04,14,5005,46,23.0,45,6,6,1,13,1,0,3,0,0,0,4
2018-01-04,15,5131,45,24.0,43,9,6,1,16,2,0,1,0,0,1,4
2018-01-04,16,5118,46,23.0,45,8,4,1,13,0,0,2,0,0,0,2
2018-01-04,17,4325,47,23.0,46,0,0,1,1,1,0,0,0,0,0,1
2018-01-04,18,4656,46,23.0,46,5,4,0,9,2,0,1,0,0,1,4
2018-01-04,19,5691,47,24.0,47,9,9,1,19,0,0,2,3,0,0,5
2018-01-04,20,5151,48,23.0,46,1,1,2,4,0,0,0,0,0,0,0
2018-01-04,21,5072,48,23.5,47,3,2,1,6,0,0,0,0,0,0,0
2018-01-04,22,4419,47,24.0,47,6,2,0,8,2,0,0,0,0,0,2
2018-01-04,23,4923,46,24.0,45,10,4,1,15,2,0,2,0,0,0,4
2018-01-05,0,4643,47,24.0,47,5,4,1,10,0,0,2,0,0,0,2
2018-01-05,1,4491,47,24.0,45,4,0,1,5,0,0,0,0,0,1,1
2018-01-05,2,4860,48,24.0,46,10,3,1,14,0,0,1,0,0,0,1
2018-01-05,3,5083,47,24.0,46,10,4,0,14,0,0,0,1,0,0,1
2018-01-05,4,4411,46,24.5,46,3,0,1,4,0,0,0,0,0,0,0
2018-01-05,5,4847,46,24.0,45,3,2,1,6,1,0,0,0,0,2,3
2018-01-05,6,5876,47,24.0,47,10,3,0,13,2,0,0,0,0,0,2
2018-01-05,7,5692,47,26.0,46,10,6,1,17,2,0,2,1,0,0,5
2018-01-05,8,4762,47,24.0,45,7,6,2,15,0,0,3,0,0,0,3
2018-01-05,9,5052,51,23.0,48,4,4,2,10,1,0,2,1,0,0,4
2018-01-05,10,6508,50,23.0,48,17,10,1,28,6,0,0,0,1,0,7
2018-01-05,11,5985,51,24.0,49,13,12,2,27,0,1,4,2,0,0,7
2018-01-05,12,4818,48,23.0,48,6,2,3,11,1,0,1,1,1,1,5
2018-01-05,13,5111,49,24.0,48,7,4,4,15,2,0,2,0,0,1,5
2018-01-05,14,5711,49,24.0,48,11,5,2,18,1,0,1,0,0,0,2
2018-01-05,15,6536,49,23.0,48,13,8,3,24,2,1,2,1,1,2,9
2018-01-05,16,5398,49,24.0,49,3,6,2,11,0,0,1,0,0,0,1
2018-01-05,17,5170,50,24.0,47,6,2,1,9,2,1,0,0,0,1,4
2018-01-05,18,6521,48,24.5,48,12,7,2,21,4,0,3,0,0,0,7
2018-01-05,19,6463,48,25.5,48,12,7,1,20,0,0,3,1,0,0,4
2018-01-05,20,5571,49,24.0,47,5,2,3,10,0,0,0,0,0,1,1
2018-01-05,21,5481,47,24.0,46,3,1,3,7,0,0,0,0,0,1,1
2018-01-05,22,5907,47,24.0,47,7,1,1,9,0,0,1,0,0,0,1
2018-01-05,23,5255,49,25.0,46,3,3,0,6,0,0,0,0,0,0,0
2018-01-06,0,5250,48,25.5,48,2,0,1,3,0,0,0,0,0,0,0
2018-01-06,1,5592,49,26.0,49,2,0,1,3,0,0,0,0,0,1,1
2018-01-06,2,6215,52,24.0,49,8,3,0,11,1,0,0,0,1,0,2
2018-01-06,3,5934,50,26.0,49,12,6,1,19,0,0,1,1,0,0,2
2018-01-06,4,4985,50,25.0,49,5,1,2,8,0,0,0,0,0,0,0
2018-01-06,5,4862,50,24.0,50,0,1,2,3,0,1,0,0,0,2,3
2018-01-06,6,5878,50,25.5,49,11,3,1,15,4,2,0,0,0,0,6
2018-01-06,7,6108,51,23.0,48,11,8,4,23,1,0,4,1,0,1,7
2018-01-06,8,6199,54,24.0,52,6,8,3,17,2,0,0,0,0,0,2
2018-01-06,9,5414,53,24.0,52,2,7,4,13,2,0,2,1,0,3,8
2018-01-06,10,6668,54,25.0,52,6,8,4,18,2,0,0,0,0,1,3
2018-01-06,11,6045,52,25.5,51,6,14,2,22,0,0,0,5,0,0,5
2018-01-06,12,5654,52,24.0,51,3,7,7,17,0,0,2,0,3,1,6
2018-01-06,13,5877,52,23.5,51,4,4,2,10,0,0,0,0,0,0,0
2018-01-06,14,6124,50,22.5,49,6,6,2,14,1,0,0,1,0,0,2
2018-01-06,15,6431,52,23.0,50,7,7,1,15,0,0,2,0,0,1,3
2018-01-06,16,4500,51,23.0,51,4,2,0,6,0,0,1,0,0,0,1
2018-01-06,17,4845,51,24.0,50,3,0,1,4,1,0,0,0,0,1,2
2018-01-06,18,5343,51,24.0,50,8,8,0,16,0,0,0,1,0,0,1
2018-01-06,19,5436,51,23.0,50,11,4,1,16,0,0,1,1,0,0,2
2018-01-06,20,4970,50,25.5,49,4,5,2,11,0,0,1,0,0,0,1
2018-01-06,21,4922,49,24.0,48,5,2,2,9,0,0,0,0,0,0,0
2018-01-06,22,4796,48,24.0,48,6,2,1,9,2,0,0,0,0,0,2
2018-01-06,23,6239,48,24.0,48,16,5,1,22,0,0,1,4,0,0,5
2018-01-07,0,4701,50,19.0,49,12,2,5,19,0,0,0,0,0,0,0
2018-01-07,1,3729,50,16.0,49,1,1,4,6,0,0,0,0,0,1,1
2018-01-07,2,3264,49,16.0,48,12,2,0,14,6,0,1,0,1,0,8
2018-01-07,3,3559,48,18.5,46,13,10,0,23,1,0,6,0,0,0,7
2018-01-07,4,3861,47,21.0,46,8,8,0,16,0,0,0,0,0,0,0
2018-01-07,5,3726,47,23.0,47,3,1,1,5,2,0,0,0,0,0,2
2018-01-07,6,4773,48,23.0,47,9,4,1,14,1,0,2,0,0,0,3
2018-01-07,7,4642,48,22.5,46,11,2,1,14,2,0,1,1,0,0,4
2018-01-07,8,3782,49,18.0,47,9,4,2,15,0,1,4,1,0,1,7
2018-01-07,9,3817,50,17.0,48,6,7,3,16,2,0,1,0,0,0,3
2018-01-07,10,4705,49,18.0,47,11,3,4,18,0,0,0,0,0,1,1
2018-01-07,11,2920,50,13.0,48,10,3,3,16,2,0,0,0,0,0,2
2018-01-07,12,5207,51,20.0,49,12,9,2,23,3,1,1,1,0,1,7
2018-01-07,13,4568,51,17.0,51,11,9,4,24,0,1,4,0,0,1,6
2018-01-07,14,5308,50,22.0,50,6,4,5,15,0,1,0,1,0,0,2
2018-01-07,15,5444,50,21.5,48,4,1,3,8,1,0,0,0,0,1,2
2018-01-07,16,4202,48,20.5,46,13,8,3,24,3,0,1,0,0,0,4
2018-01-07,17,4373,47,21.0,46,7,7,2,16,1,0,1,0,0,2,4
2018-01-07,18,3740,47,17.0,47,8,5,1,14,0,0,0,0,0,0,0
2018-01-07,19,3639,47,19.0,47,12,7,1,20,0,0,2,2,0,0,4
2018-01-07,20,6219,47,25.0,47,6,3,2,11,0,0,3,0,0,0,3
2018-01-07,21,4130,47,21.0,47,5,3,1,9,2,0,0,0,1,0,3
2018-01-07,22,3847,46,20.5,46,7,4,0,11,4,0,0,0,0,0,4
2018-01-07,23,3281,47,18.0,47,6,6,0,12,0,0,2,0,0,0,2
2018-01-08,0,3065,47,18.0,46,2,2,1,5,0,0,0,0,0,0,0
2018-01-08,1,4161,48,18.5,46,2,0,1,3,0,0,0,0,0,0,0
2018-01-08,2,4882,49,22.0,48,6,4,0,10,0,0,0,0,1,0,1
2018-01-08,3,6616,49,25.0,49,9,6,2,17,0,0,0,0,0,0,0
2018-01-08,4,6861,49,28.0,48,4,2,2,8,0,0,1,0,0,2,3
2018-01-08,5,6852,49,27.0,48,3,4,1,8,1,0,0,0,0,2,3
2018-01-08,6,6922,48,26.5,48,8,3,0,11,2,0,0,1,0,0,3
2018-01-08,7,7991,49,26.0,47,15,6,0,21,0,2,1,0,0,0,3
2018-01-08,8,5325,51,22.0,50,9,4,2,15,0,1,1,0,0,0,2
2018-01-08,9,4722,53,20.0,50,3,4,4,11,1,0,1,0,0,1,3
2018-01-08,10,5177,52,19.5,51,8,7,3,18,0,0,4,0,2,0,6
2018-01-08,11,5097,52,20.0,50,14,10,1,25,2,1,1,0,0,0,4
2018-01-08,12,4528,50,17.5,50,8,2,4,14,0,1,1,0,0,0,2
2018-01-08,13,4010,51,17.0,50,2,3,5,10,0,0,1,1,0,3,5
2018-01-08,14,5966,50,21.5,50,9,6,4,19,1,0,1,0,0,1,3
2018-01-08,15,7947,48,26.0,48,12,8,0,20,4,0,1,0,0,0,5
2018-01-08,16,6676,49,27.0,48,9,6,1,16,0,0,2,2,0,0,4
2018-01-08,17,6830,49,27.0,47,5,2,2,9,0,0,0,0,0,0,0
2018-01-08,18,5953,50,27.0,49,2,0,2,4,2,0,0,0,1,1,4
2018-01-08,19,6695,47,27.0,47,9,4,0,13,2,0,2,0,0,0,4
2018-01-08,20,7428,49,26.0,48,11,7,1,19,0,0,1,1,0,0,2
2018-01-08,21,5883,48,27.5,47,4,4,1,9,0,0,0,0,0,0,0
2018-01-08,22,5489,49,25.0,48,0,0,1,1,0,0,0,0,0,0,0
2018-01-08,23,5877,48,25.0,48,10,6,0,16,4,0,0,0,1,0,5
2018-01-09,0,6254,48,24.0,48,10,8,0,18,0,1,4,0,0,0,5
2018-01-09,1,6290,48,25.5,48,10,7,1,18,0,0,0,3,0,0,3
2018-01-09,2,6064,48,28.0,48,0,3,4,7,0,0,0,0,0,0,0
2018-01-09,3,6364,48,27.5,47,5,3,3,11,1,1,1,0,1,0,4
2018-01-09,4,3584,49,17.0,48,13,2,1,16,5,1,1,0,0,0,7
2018-01-09,5,501,45,9.0,44,3,2,1,6,0,0,4,0,0,0,4
2018-01-09,6,842,46,10.0,45,2,1,1,4,0,3,0,1,0,0,4
2018-01-09,7,426,45,7.0,44,0,2,3,5,2,1,0,0,1,5,9
2018-01-09,8,491,46,9.0,45,4,5,3,12,0,1,5,3,0,0,9
2018-01-09,9,2329,47,12.0,46,7,5,5,17,0,0,0,0,0,2,2
2018-01-09,10,3545,46,19.5,45,10,6,3,19,3,0,1,0,1,0,5
2018-01-09,11,2677,46,17.0,45,11,7,1,19,1,1,3,1,1,0,7
2018-01-09,12,3109,46,16.0,45,12,9,2,23,1,0,1,0,0,1,3
2018-01-09,13,3682,45,21.0,45,4,2,2,8,0,0,1,0,0,1,2
2018-01-09,14,3297,46,20.0,45,0,0,1,1,4,0,0,0,0,1,5
2018-01-09,15,3532,45,19.0,44,11,7,1,19,0,1,0,2,0,0,3
2018-01-09,16,3645,45,21.0,45,3,3,3,9,0,0,3,0,0,0,3
2018-01-09,17,2921,46,18.0,44,3,1,3,7,0,0,0,0,0,0,0
2018-01-09,18,5906,46,29.5,44,9,7,2,18,3,0,0,0,0,2,5
2018-01-09,19,3372,46,17.5,44,10,9,0,19,0,0,3,0,0,0,3
2018-01-09,20,3308,47,18.0,45,12,10,1,23,1,0,2,1,0,0,4
2018-01-09,21,2938,46,18.5,45,0,0,2,2,0,0,0,0,1,0,1
2018-01-09,22,3251,45,20.0,44,1,0,1,2,0,0,0,0,0,0,0
2018-01-09,23,3091,45,19.0,45,6,6,1,13,0,0,1,0,1,0,2
2018-01-10,0,3451,46,21.5,44,7,1,0,8,0,0,0,0,0,0,0
2018-01-10,1,2233,46,16.0,44,1,0,0,1,0,0,0,0,0,0,0
2018-01-10,2,4085,45,23.0,44,6,2,0,8,2,0,0,0,0,0,2
2018-01-10,3,3639,46,19.0,45,9,4,0,13,3,2,4,0,0,0,9
2018-01-10,4,494,46,9.0,43,7,2,1,10,2,0,3,0,0,0,5
2018-01-10,5,438,46,9.0,43,0,0,2,2,0,0,1,0,0,0,1
2018-01-10,6,478,45,11.0,43,1,0,2,3,2,0,0,0,0,0,2
2018-01-10,7,488,46,10.0,43,3,4,3,10,5,0,0,0,0,2,7
2018-01-10,8,526,45,9.0,43,1,8,1,10,1,1,1,0,0,0,3
2018-01-10,9,1377,47,12.0,47,2,3,1,6,0,0,2,0,0,0,2
2018-01-10,10,3431,48,19.0,48,7,6,1,14,0,0,5,1,0,0,6
2018-01-10,11,4202,48,22.0,48,7,6,2,15,4,0,0,0,1,0,5
2018-01-10,12,4690,49,20.0,47,11,7,1,19,1,0,3,1,1,1,7
2018-01-10,13,3957,49,20.0,47,10,5,1,16,1,0,1,0,0,1,3
2018-01-10,14,3157,49,18.0,46,4,2,0,6,1,0,0,0,0,0,1
2018-01-10,15,3713,47,20.0,47,9,5,0,14,2,1,3,1,0,0,7
2018-01-10,16,3628,49,21.0,46,4,4,1,9,0,0,2,0,0,0,2
2018-01-10,17,3572,48,20.0,47,3,0,2,5,0,0,0,0,0,0,0
2018-01-10,18,3859,47,21.0,46,6,5,1,12,3,0,2,0,0,0,5
2018-01-10,19,5339,46,29.0,46,16,11,0,27,1,2,1,0,0,0,4
2018-01-10,20,4193,46,23.5,45,11,8,3,22,0,0,2,1,0,0,3
2018-01-10,21,3636,46,21.0,45,0,0,4,4,1,0,0,0,0,0,1
2018-01-10,22,3751,46,21.5,45,9,2,1,12,2,0,0,0,1,0,3
2018-01-10,23,1514,44,16.0,43,11,5,1,17,1,0,2,0,0,1,4
2018-01-11,0,3030,44,22.5,42,5,5,0,10,0,0,2,1,0,0,3
2018-01-11,1,3544,45,23.0,44,2,1,1,4,0,0,0,0,0,0,0
2018-01-11,2,4123,44,24.0,44,2,0,1,3,0,0,0,0,0,1,1
2018-01-11,3,4849,44,24.0,43,6,3,1,10,1,0,1,0,0,0,2
