date,unique_vessel_count,ais_record_count,china_coastal_record_count,e_globe_daily_record_count,f_globe_dynamic_record_count,china_record_ratio,quality_regime,zero_ais_hour_count,raw_region_vessel_hours,active_region_vessel_hours,qualified_ge2_vessel_hours,qualified_ge3_vessel_hours,qualified_ge4_vessel_hours,a_core_total,a_near_total,a_outer_total,a_total,a_qualification_rate
2018-01-01,49,113491,107233,6248,10,1.1114473909235545,normal,0,1046,348,335,331,325,178,108,45,331,0.9511494252873564
2018-01-02,53,149794,139379,10393,22,1.4446338897497422,normal,0,1214,396,386,380,376,191,117,72,380,0.9595959595959596
2018-01-03,58,141403,131948,9428,27,1.3676131446250797,normal,0,1223,385,372,364,359,192,124,48,364,0.9454545454545454
2018-01-04,55,104676,96534,8111,31,1.0005545161975735,normal,0,1198,338,325,316,308,160,109,47,316,0.9349112426035503
2018-01-05,57,130152,122143,7988,21,1.2659863910323848,normal,0,1242,344,330,324,317,184,102,38,324,0.9418604651162791
2018-01-06,61,134287,125699,8571,17,1.302843579790735,normal,0,1262,327,309,304,300,148,111,45,304,0.9296636085626911
2018-01-07,60,101437,91611,7079,2747,0.9495286612320625,normal,0,1209,390,373,363,351,202,113,48,363,0.9307692307692308
2018-01-08,56,140953,128843,5949,6161,1.3354304755883313,normal,0,1280,332,310,302,294,164,100,38,302,0.9096385542168675
2018-01-09,54,81419,70167,5924,5328,0.7272661314980747,normal,0,1211,357,328,296,283,146,105,45,296,0.8291316526610645
2018-01-10,54,69851,58783,5479,5589,0.6092733764854038,normal,0,1192,340,297,263,248,145,90,28,263,0.7735294117647059
2018-01-11,54,89923,78529,5807,5587,0.8139364949393919,normal,0,1162,324,290,264,240,126,82,56,264,0.8148148148148148
2018-01-12,57,40369,29545,6213,4611,0.3062276833142448,reduced,0,1170,342,271,231,188,131,64,36,231,0.6754385964912281
2018-01-13,55,10621,0,6105,4516,0.0,outage,0,1173,326,239,173,127,75,58,40,173,0.5306748466257669
2018-01-14,53,6849,0,3988,2861,0.0,outage,6,771,215,169,111,73,46,35,30,111,0.5162790697674419
2018-01-15,47,6632,0,3809,2823,0.0,outage,1,785,229,164,115,81,62,36,17,115,0.5021834061135371
2018-01-16,53,9971,0,5795,4176,0.0,outage,0,1164,320,229,159,103,78,55,26,159,0.496875
2018-01-17,48,7786,445,4228,3113,0.004612330989163613,severe,0,927,272,182,120,81,60,38,22,120,0.4411764705882353
2018-01-18,46,10271,3635,3875,2761,0.03767600706878592,severe,0,940,339,252,171,122,84,52,35,171,0.504424778761062
2018-01-19,52,81147,73692,4308,3147,0.7638020118054943,normal,0,889,295,265,247,229,130,76,41,247,0.8372881355932204
2018-01-20,55,129476,118052,6674,4750,1.2235840402982987,normal,0,1258,428,414,400,394,203,132,65,400,0.9345794392523364
2018-01-21,54,139585,129248,6427,3910,1.3396282150279073,normal,0,1223,428,411,407,402,209,136,62,407,0.9509345794392523
2018-01-22,52,136958,127883,5122,3953,1.3254802783982256,normal,0,1122,285,267,261,257,138,91,32,261,0.9157894736842105
2018-01-23,48,96934,87650,5819,3465,0.9084737330341365,normal,0,1105,356,333,325,317,158,113,54,325,0.9129213483146067
2018-01-24,48,105861,96427,6504,2930,0.9994454838024264,normal,0,1095,399,377,366,354,199,124,43,366,0.9172932330827067
