date,hour,region,raw_region_vessel_count,active_region_vessel_count,active_vessels_ge2,active_vessels_ge3,active_vessels_ge4,a_label,active_ais_record_count,median_active_records_per_vessel,china_coastal_active_record_count,e_globe_daily_active_record_count,f_globe_dynamic_active_record_count,active_source_count,ge3_rate_among_active
2018-01-01,0,core,14,2,2,2,2,2,91,45.5,91,0,0,1,1.0
2018-01-01,0,near,19,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-01,0,outer,2,1,1,1,1,1,142,142.0,142,0,0,1,1.0
2018-01-01,1,core,14,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-01,1,near,20,2,2,2,2,2,19,9.5,19,0,0,1,1.0
2018-01-01,1,outer,2,1,1,1,1,1,35,35.0,35,0,0,1,1.0
2018-01-01,2,core,16,6,6,6,6,6,203,27.0,203,0,0,1,1.0
2018-01-01,2,near,20,2,2,2,2,2,174,87.0,174,0,0,1,1.0
2018-01-01,2,outer,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-01,3,core,16,14,13,13,13,13,629,38.0,629,0,0,1,0.9285714285714286
2018-01-01,3,near,21,3,3,3,3,3,80,29.0,80,0,0,1,1.0
2018-01-01,3,outer,2,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-01,4,core,15,5,5,5,5,5,174,31.0,174,0,0,1,1.0
2018-01-01,4,near,20,2,2,2,2,2,252,126.0,252,0,0,1,1.0
2018-01-01,4,outer,2,1,1,1,1,1,80,80.0,80,0,0,1,1.0
2018-01-01,5,core,15,1,1,1,1,1,170,170.0,170,0,0,1,1.0
2018-01-01,5,near,20,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-01,5,outer,2,1,1,1,1,1,38,38.0,38,0,0,1,1.0
2018-01-01,6,core,16,12,12,12,12,12,710,49.0,710,0,0,1,1.0
2018-01-01,6,near,24,5,5,5,5,5,316,30.0,316,0,0,1,1.0
2018-01-01,6,outer,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-01,7,core,13,12,12,12,12,12,815,63.5,815,0,0,1,1.0
2018-01-01,7,near,28,13,13,13,13,13,1015,57.0,1015,0,0,1,1.0
2018-01-01,7,outer,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0
2018-01-01,8,core,15,10,10,10,10,10,414,36.0,392,22,0,2,1.0
2018-01-01,8,near,28,9,9,9,7,9,187,20.0,170,17,0,2,1.0
2018-01-01,8,outer,5,3,3,3,3,3,317,121.0,294,23,0,2,1.0
2018-01-01,9,core,17,3,2,2,2,2,32,4.0,26,6,0,2,0.6666666666666666
