subset,target,n_days,pearson_daily_vessels,spearman_daily_vessels,pearson_ais_records,spearman_ais_records,pearson_active_records,spearman_active_records,pearson_qualification_rate,spearman_qualification_rate
all,a_total,24,0.380631626750011,0.32998705606620177,0.9018177246659985,0.8252173913043478,0.9321272135905648,0.9069565217391303,0.9342624764328803,0.9026086956521738
all,a_core_total,24,0.3832904324464969,0.39816981202160245,0.892830325878155,0.8173913043478259,0.915872068590914,0.8921739130434782,0.9293086750144937,0.8791304347826084
all,a_near_total,24,0.3733344389957567,0.3511190592529789,0.903949556724692,0.8164420085100493,0.9264878724386817,0.8895172655317266,0.9328327204532721,0.8647238747565148
all,a_outer_total,24,0.28300167364798806,0.33238769862513196,0.6825872140986299,0.6530262426335547,0.7502627786679048,0.7257298309800904,0.6992434922726172,0.7548983364843892
normal,a_total,17,0.07025219973699796,0.0691807355085706,0.5366519517007884,0.5098039215686275,0.7627285044914142,0.7426470588235294,0.7193858590137725,0.7573529411764707
normal,a_core_total,17,0.0986186832598027,0.22854350123367073,0.5110587392943109,0.5147058823529412,0.7161032657839631,0.7205882352941178,0.7078627147793898,0.7156862745098039
normal,a_near_total,17,0.06993551541483987,0.10142473398075207,0.5210080077497032,0.48711693109798215,0.7047200862661893,0.6981600347474858,0.6940117773475408,0.6552152171443891
normal,a_outer_total,17,-0.03350370314417188,0.04463774210155885,0.344460606674213,0.23124388677991378,0.5659728959555204,0.40959688456229404,0.4134680508192744,0.45510764951366006
usable,a_total,18,-0.01373570482403363,-0.02494868544275452,0.6383157319713585,0.587203302373581,0.8066772832689125,0.78328173374613,0.7554539173699888,0.7956656346749225
usable,a_core_total,18,0.03321958687204001,0.14865258409641238,0.5788380043128876,0.5789473684210527,0.7392856646425736,0.7523219814241485,0.6984728988437773,0.7481940144478844
usable,a_near_total,18,-0.04169755327606982,0.007284221059680142,0.6706115051536293,0.5681821213663006,0.7945816932415078,0.74586816659358,0.7943128106057397,0.7097111225066337
usable,a_outer_total,18,-0.07555393899385875,-0.02033385779587692,0.4093490868416011,0.3240181256778944,0.5866020414834038,0.4803335792796901,0.4504314535264419,0.5248472514974201
degraded,a_total,6,0.2230363855577949,0.17393131069573453,0.9859614110040726,0.942857142857143,0.8089125366816478,0.8857142857142858,0.3919579470831761,0.2571428571428572
degraded,a_core_total,6,-0.1130333094399316,-0.2608969660436018,0.8801215033876426,0.6571428571428573,0.8029046186287034,0.7714285714285715,0.16239274392778127,0.028571428571428574
degraded,a_near_total,6,0.38871320978772217,0.3768511731740915,0.9780874141977607,0.8857142857142858,0.6594560303521201,0.7714285714285715,0.3961275723812002,0.14285714285714288
degraded,a_outer_total,6,0.47811371620589943,0.4058397249567139,0.7343057371636716,0.8285714285714287,0.6447344440736058,0.7714285714285715,0.5945773339372852,0.7714285714285715
