fold_id,training_policy,method,component_type,component,n_rows,sse_float,sse_rounded,mae_rounded,mean_bias_rounded
fold_01,all,global_mean,region,core,168,4326.125,4174.0,4.428571428571429,3.5595238095238093
fold_01,all,global_mean,region,near,168,1706.7695833333337,1364.0,2.4642857142857144,1.8095238095238095
fold_01,all,global_mean,region,outer,168,411.35499999999996,433.0,1.3988095238095237,0.6488095238095238
fold_01,all,global_mean,validation_quality,normal,72,684.6737499999999,652.0,2.3333333333333335,0.6666666666666666
fold_01,all,global_mean,validation_quality,reduced,72,675.9404166666666,631.0,2.263888888888889,1.125
fold_01,all,global_mean,validation_quality,severe,72,947.4404166666667,862.0,2.888888888888889,2.6666666666666665
fold_01,all,global_mean,validation_quality,outage,288,4136.195,3826.0,2.9652777777777777,2.3958333333333335
fold_01,all,hour_mean,region,core,168,4193.84,4174.0,4.273809523809524,3.642857142857143
fold_01,all,hour_mean,region,near,168,1743.87,1655.0,2.625,2.1845238095238093
fold_01,all,hour_mean,region,outer,168,332.73999999999995,359.0,1.1607142857142858,0.5654761904761905
fold_01,all,hour_mean,validation_quality,normal,72,515.15,519.0,2.0972222222222223,0.7916666666666666
fold_01,all,hour_mean,validation_quality,reduced,72,674.35,680.0,2.3333333333333335,1.25
fold_01,all,hour_mean,validation_quality,severe,72,1027.3500000000001,1001.0,2.875,2.7916666666666665
fold_01,all,hour_mean,validation_quality,outage,288,4053.6000000000004,3988.0,2.875,2.5208333333333335
fold_01,all,dow_hour_mean,region,core,168,5562.5,5609.0,4.803571428571429,3.7202380952380953
fold_01,all,dow_hour_mean,region,near,168,2456.0,2452.0,3.0476190476190474,2.3214285714285716
fold_01,all,dow_hour_mean,region,outer,168,507.5,517.0,1.3035714285714286,0.5416666666666666
fold_01,all,dow_hour_mean,validation_quality,normal,72,1072.0,1072.0,3.0555555555555554,0.7222222222222222
fold_01,all,dow_hour_mean,validation_quality,reduced,72,965.0,965.0,2.7083333333333335,1.2916666666666667
fold_01,all,dow_hour_mean,validation_quality,severe,72,1183.25,1241.0,2.9305555555555554,2.763888888888889
fold_01,all,dow_hour_mean,validation_quality,outage,288,5305.75,5300.0,3.1666666666666665,2.6458333333333335
fold_01,all,recent_7d_hour,region,core,168,3799.285714285714,3743.0,4.0773809523809526,3.3511904761904763
fold_01,all,recent_7d_hour,region,near,168,1659.142857142857,1736.0,2.6904761904761907,2.2261904761904763
fold_01,all,recent_7d_hour,region,outer,168,294.28571428571433,311.0,1.0773809523809523,0.39880952380952384
fold_01,all,recent_7d_hour,validation_quality,normal,72,523.5102040816325,523.0,2.0694444444444446,0.6527777777777778
fold_01,all,recent_7d_hour,validation_quality,reduced,72,630.2244897959183,630.0,2.3333333333333335,1.1111111111111112
fold_01,all,recent_7d_hour,validation_quality,severe,72,906.3673469387755,901.0,2.763888888888889,2.6527777777777777
fold_01,all,recent_7d_hour,validation_quality,outage,288,3692.612244897959,3736.0,2.7847222222222223,2.3819444444444446
fold_01,all,recent_14d_hour,region,core,168,4193.84,4174.0,4.273809523809524,3.642857142857143
fold_01,all,recent_14d_hour,region,near,168,1743.87,1655.0,2.625,2.1845238095238093
fold_01,all,recent_14d_hour,region,outer,168,332.73999999999995,359.0,1.1607142857142858,0.5654761904761905
fold_01,all,recent_14d_hour,validation_quality,normal,72,515.15,519.0,2.0972222222222223,0.7916666666666666
fold_01,all,recent_14d_hour,validation_quality,reduced,72,674.35,680.0,2.3333333333333335,1.25
fold_01,all,recent_14d_hour,validation_quality,severe,72,1027.3500000000001,1001.0,2.875,2.7916666666666665
fold_01,all,recent_14d_hour,validation_quality,outage,288,4053.6000000000004,3988.0,2.875,2.5208333333333335
fold_01,all,mixed_075_hour_dow,region,core,168,4320.1475,4342.0,4.369047619047619,3.6904761904761907
fold_01,all,mixed_075_hour_dow,region,near,168,1807.551875,1765.0,2.7083333333333335,2.2797619047619047
fold_01,all,mixed_075_hour_dow,region,outer,168,340.34749999999997,361.0,1.1726190476190477,0.5892857142857143
fold_01,all,mixed_075_hour_dow,validation_quality,normal,72,596.659375,584.0,2.1944444444444446,0.8055555555555556
fold_01,all,mixed_075_hour_dow,validation_quality,reduced,72,686.3093749999999,685.0,2.4027777777777777,1.2916666666666667
fold_01,all,mixed_075_hour_dow,validation_quality,severe,72,1039.41875,1057.0,2.9305555555555554,2.8194444444444446
fold_01,all,mixed_075_hour_dow,validation_quality,outage,288,4145.659375,4142.0,2.9305555555555554,2.5972222222222223
fold_01,all,hour_scale_p025,region,core,168,4015.091299664856,4025.0,4.196428571428571,3.5416666666666665
fold_01,all,hour_scale_p025,region,near,168,1670.5426190487537,1581.0,2.5535714285714284,2.136904761904762
fold_01,all,hour_scale_p025,region,outer,168,322.48826244999924,359.0,1.1607142857142858,0.5654761904761905
fold_01,all,hour_scale_p025,validation_quality,normal,72,508.08986351698906,518.0,2.0833333333333335,0.7777777777777778
fold_01,all,hour_scale_p025,validation_quality,reduced,72,681.7343603535172,679.0,2.3194444444444446,1.2916666666666667
fold_01,all,hour_scale_p025,validation_quality,severe,72,933.5278643492001,919.0,2.763888888888889,2.6527777777777777
fold_01,all,hour_scale_p025,validation_quality,outage,288,3884.770092943902,3849.0,2.8229166666666665,2.4618055555555554
fold_01,all,hour_scale_p05,region,core,168,3851.078315136924,3852.0,4.095238095238095,3.4047619047619047
fold_01,all,hour_scale_p05,region,near,168,1603.4865511355135,1545.0,2.494047619047619,2.0773809523809526
fold_01,all,hour_scale_p05,region,outer,168,313.28344052258456,344.0,1.130952380952381,0.5357142857142857
fold_01,all,hour_scale_p05,validation_quality,normal,72,501.32632877736313,502.0,2.0277777777777777,0.7222222222222222
fold_01,all,hour_scale_p05,validation_quality,reduced,72,689.3001741170879,693.0,2.3472222222222223,1.3194444444444444
fold_01,all,hour_scale_p05,validation_quality,severe,72,848.3147993554434,850.0,2.638888888888889,2.5
fold_01,all,hour_scale_p05,validation_quality,outage,288,3728.907004545128,3696.0,2.75,2.375
fold_01,exclude_outage_severe,global_mean,region,core,168,4326.125,4174.0,4.428571428571429,3.5595238095238093
fold_01,exclude_outage_severe,global_mean,region,near,168,1706.7695833333337,1364.0,2.4642857142857144,1.8095238095238095
fold_01,exclude_outage_severe,global_mean,region,outer,168,411.35499999999996,433.0,1.3988095238095237,0.6488095238095238
fold_01,exclude_outage_severe,global_mean,validation_quality,normal,72,684.6737499999999,652.0,2.3333333333333335,0.6666666666666666
fold_01,exclude_outage_severe,global_mean,validation_quality,reduced,72,675.9404166666666,631.0,2.263888888888889,1.125
fold_01,exclude_outage_severe,global_mean,validation_quality,severe,72,947.4404166666667,862.0,2.888888888888889,2.6666666666666665
fold_01,exclude_outage_severe,global_mean,validation_quality,outage,288,4136.195,3826.0,2.9652777777777777,2.3958333333333335
fold_01,exclude_outage_severe,hour_mean,region,core,168,4193.84,4174.0,4.273809523809524,3.642857142857143
fold_01,exclude_outage_severe,hour_mean,region,near,168,1743.87,1655.0,2.625,2.1845238095238093
fold_01,exclude_outage_severe,hour_mean,region,outer,168,332.73999999999995,359.0,1.1607142857142858,0.5654761904761905
fold_01,exclude_outage_severe,hour_mean,validation_quality,normal,72,515.15,519.0,2.0972222222222223,0.7916666666666666
fold_01,exclude_outage_severe,hour_mean,validation_quality,reduced,72,674.35,680.0,2.3333333333333335,1.25
fold_01,exclude_outage_severe,hour_mean,validation_quality,severe,72,1027.3500000000001,1001.0,2.875,2.7916666666666665
fold_01,exclude_outage_severe,hour_mean,validation_quality,outage,288,4053.6000000000004,3988.0,2.875,2.5208333333333335
fold_01,exclude_outage_severe,dow_hour_mean,region,core,168,5562.5,5609.0,4.803571428571429,3.7202380952380953
fold_01,exclude_outage_severe,dow_hour_mean,region,near,168,2456.0,2452.0,3.0476190476190474,2.3214285714285716
fold_01,exclude_outage_severe,dow_hour_mean,region,outer,168,507.5,517.0,1.3035714285714286,0.5416666666666666
fold_01,exclude_outage_severe,dow_hour_mean,validation_quality,normal,72,1072.0,1072.0,3.0555555555555554,0.7222222222222222
fold_01,exclude_outage_severe,dow_hour_mean,validation_quality,reduced,72,965.0,965.0,2.7083333333333335,1.2916666666666667
fold_01,exclude_outage_severe,dow_hour_mean,validation_quality,severe,72,1183.25,1241.0,2.9305555555555554,2.763888888888889
fold_01,exclude_outage_severe,dow_hour_mean,validation_quality,outage,288,5305.75,5300.0,3.1666666666666665,2.6458333333333335
fold_01,exclude_outage_severe,recent_7d_hour,region,core,168,3799.285714285714,3743.0,4.0773809523809526,3.3511904761904763
fold_01,exclude_outage_severe,recent_7d_hour,region,near,168,1659.142857142857,1736.0,2.6904761904761907,2.2261904761904763
fold_01,exclude_outage_severe,recent_7d_hour,region,outer,168,294.28571428571433,311.0,1.0773809523809523,0.39880952380952384
fold_01,exclude_outage_severe,recent_7d_hour,validation_quality,normal,72,523.5102040816325,523.0,2.0694444444444446,0.6527777777777778
fold_01,exclude_outage_severe,recent_7d_hour,validation_quality,reduced,72,630.2244897959183,630.0,2.3333333333333335,1.1111111111111112
fold_01,exclude_outage_severe,recent_7d_hour,validation_quality,severe,72,906.3673469387755,901.0,2.763888888888889,2.6527777777777777
fold_01,exclude_outage_severe,recent_7d_hour,validation_quality,outage,288,3692.612244897959,3736.0,2.7847222222222223,2.3819444444444446
fold_01,exclude_outage_severe,recent_14d_hour,region,core,168,4193.84,4174.0,4.273809523809524,3.642857142857143
fold_01,exclude_outage_severe,recent_14d_hour,region,near,168,1743.87,1655.0,2.625,2.1845238095238093
fold_01,exclude_outage_severe,recent_14d_hour,region,outer,168,332.73999999999995,359.0,1.1607142857142858,0.5654761904761905
fold_01,exclude_outage_severe,recent_14d_hour,validation_quality,normal,72,515.15,519.0,2.0972222222222223,0.7916666666666666
fold_01,exclude_outage_severe,recent_14d_hour,validation_quality,reduced,72,674.35,680.0,2.3333333333333335,1.25
