training_policy,method,n_folds,mean_sse_rounded,median_sse_rounded,min_sse_rounded,max_sse_rounded,std_sse_rounded,last_fold_sse_rounded,mean_mae_rounded,mean_bias_rounded,fold_win_count,rank_by_median_sse
all,dow_hour_mean,8,7448.875,7757.5,6185.0,8578.0,880.3044014917308,6185.0,2.8092757936507935,1.0880456349206349,0,24
all,global_mean,8,5877.0,5838.0,5451.0,6463.0,369.2691623812017,5653.0,2.7232142857142856,1.1498015873015872,0,19
all,hour_mean,8,5312.625,5115.0,4524.0,6188.0,709.6703334245113,4905.0,2.477926587301587,1.0577876984126984,0,5
all,hour_scale_p025,8,5095.125,4920.0,4415.0,5965.0,601.9595234375338,4898.0,2.420386904761905,0.9660218253968255,0,3
all,hour_scale_p05,8,4936.625,4857.0,4293.0,5741.0,535.9048256387109,4957.0,2.378224206349206,0.8891369047619047,6,1
all,mixed_075_hour_dow,8,5562.5,5500.5,4754.0,6468.0,680.4422931341895,4985.0,2.5148809523809526,1.0674603174603174,0,11
all,recent_14d_hour,8,5368.0,5290.5,4517.0,6188.0,676.5741433343218,5256.0,2.4875992063492065,0.9866071428571428,0,7
all,recent_7d_hour,8,5572.75,5447.5,4755.0,7484.0,870.0836987653215,7484.0,2.4632936507936507,0.4032738095238095,0,10
exclude_outage_severe,dow_hour_mean,8,7065.5,7238.0,5456.0,8578.0,1165.810325175461,5456.0,2.7425595238095237,1.3893849206349207,0,23
exclude_outage_severe,global_mean,8,6011.25,6035.5,5595.0,6463.0,298.553058218181,5595.0,2.760416666666667,1.316468253968254,0,20
exclude_outage_severe,hour_mean,8,5479.625,5620.0,4559.0,6188.0,655.5952447966657,4559.0,2.536954365079365,1.3841765873015872,0,13
exclude_outage_severe,hour_scale_p025,8,5174.5,5202.0,4468.0,5965.0,585.382414690236,4494.0,2.456845238095238,1.2490079365079365,0,6
exclude_outage_severe,hour_scale_p05,8,4959.5,4901.0,4372.0,5741.0,519.4070795490895,4428.0,2.3998015873015874,1.1473214285714286,5,2
exclude_outage_severe,mixed_075_hour_dow,8,5594.625,5737.0,4577.0,6468.0,734.5332701790982,4577.0,2.531001984126984,1.3623511904761905,0,18
exclude_outage_severe,recent_14d_hour,8,5478.25,5620.0,4665.0,6188.0,649.8311319104372,4684.0,2.541170634920635,1.316468253968254,0,13
exclude_outage_severe,recent_7d_hour,8,5507.5,5319.0,5038.0,6462.0,470.2543384777464,6462.0,2.506448412698413,0.8338293650793651,0,8
quality_weighted,dow_hour_mean,8,7048.125,7210.0,5457.0,8578.0,1168.7433345875634,5457.0,2.739335317460317,1.419890873015873,0,22
quality_weighted,global_mean,8,6011.25,6035.5,5595.0,6463.0,298.553058218181,5595.0,2.760416666666667,1.316468253968254,0,20
quality_weighted,hour_mean,8,5464.375,5634.0,4494.0,6188.0,676.395897913556,4494.0,2.531498015873016,1.394593253968254,0,15
quality_weighted,hour_scale_p025,8,5253.0,5366.0,4466.0,5965.0,590.8357277135982,4466.0,2.4722222222222223,1.2837301587301588,0,9
quality_weighted,hour_scale_p05,8,5030.375,5030.5,4430.0,5741.0,498.7564356906657,4482.0,2.421875,1.1808035714285714,2,4
quality_weighted,mixed_075_hour_dow,8,5559.25,5684.0,4516.0,6468.0,763.7179266120257,4516.0,2.53125,1.382936507936508,0,17
quality_weighted,recent_14d_hour,8,5472.125,5634.0,4587.0,6188.0,662.3355725871031,4587.0,2.5374503968253967,1.332093253968254,0,15
quality_weighted,recent_7d_hour,8,5555.25,5535.0,5035.0,6195.0,367.30981473410156,6195.0,2.515873015873016,0.8685515873015873,0,12
