training_policy,method,n_prediction_rows,n_unique_target_dates,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,rank_by_mse_rounded
quality_weighted,hour_mean,1584,7,13911.0,8.782196969696969,2.249368686868687,-0.12310606060606061,1
quality_weighted,hour_scale_p025,1584,7,13953.0,8.808712121212121,2.2443181818181817,-0.2039141414141414,2
exclude_outage_severe,hour_scale_p025,1584,7,13981.0,8.82638888888889,2.2518939393939394,-0.2380050505050505,3
quality_weighted,mixed_075_hour_dow,1584,7,13981.0,8.82638888888889,2.2443181818181817,-0.14457070707070707,3
exclude_outage_severe,hour_scale_p05,1584,7,13984.0,8.828282828282829,2.2487373737373737,-0.3194444444444444,5
exclude_outage_severe,hour_mean,1584,7,14042.0,8.86489898989899,2.265151515151515,-0.13636363636363635,6
quality_weighted,hour_scale_p05,1584,7,14102.0,8.902777777777779,2.2664141414141414,-0.2689393939393939,7
quality_weighted,recent_14d_hour,1584,7,14171.0,8.946338383838384,2.278409090909091,-0.2481060606060606,8
exclude_outage_severe,mixed_075_hour_dow,1584,7,14354.0,9.061868686868687,2.2525252525252526,-0.1856060606060606,9
exclude_outage_severe,recent_14d_hour,1584,7,14368.0,9.070707070707071,2.2967171717171717,-0.2689393939393939,10
all,hour_scale_p025,1584,7,15421.0,9.735479797979798,2.3289141414141414,-0.7190656565656566,11
all,hour_mean,1584,7,15451.0,9.754419191919192,2.337752525252525,-0.6685606060606061,12
all,hour_scale_p05,1584,7,15500.0,9.785353535353535,2.332070707070707,-0.7638888888888888,13
all,mixed_075_hour_dow,1584,7,16062.0,10.140151515151516,2.345959595959596,-0.7386363636363636,14
all,recent_14d_hour,1584,7,16078.0,10.150252525252526,2.3813131313131315,-0.8093434343434344,15
quality_weighted,recent_7d_hour,1584,7,17474.0,11.031565656565656,2.5063131313131315,-0.8573232323232324,16
exclude_outage_severe,recent_7d_hour,1584,7,17915.0,11.309974747474747,2.5448232323232323,-0.889520202020202,17
exclude_outage_severe,global_mean,1584,7,17977.0,11.34911616161616,2.6079545454545454,-0.19507575757575757,18
quality_weighted,global_mean,1584,7,17977.0,11.34911616161616,2.6079545454545454,-0.19507575757575757,18
quality_weighted,dow_hour_mean,1584,7,18409.0,11.621843434343434,2.524621212121212,-0.12058080808080808,20
exclude_outage_severe,dow_hour_mean,1584,7,18548.0,11.70959595959596,2.532828282828283,-0.19823232323232323,21
all,global_mean,1584,7,18555.0,11.714015151515152,2.625631313131313,-0.4678030303030303,22
all,recent_7d_hour,1584,7,21460.0,13.547979797979798,2.688131313131313,-1.60479797979798,23
all,dow_hour_mean,1584,7,21615.0,13.645833333333334,2.702651515151515,-0.9652777777777778,24
