training_policy,method,step03_median_sse,step03_last_fold_sse,fold08_normal_sse,fold08_normal_rank,final_analog_sse,final_analog_rank,all_folds_normal_mse,all_folds_normal_rank,final_analog_mean_bias,final_analog_core_sse,final_analog_near_sse,final_analog_outer_sse
all,dow_hour_mean,7757.5,6185.0,5642.0,21,5642.0,20,13.645833333333334,24,-1.125,3605.0,1497.0,540.0
all,global_mean,5838.0,5653.0,5016.0,20,5842.0,21,11.714015151515152,22,-1.3101851851851851,3469.0,1986.0,387.0
all,hour_mean,5115.0,4905.0,4498.0,11,4510.0,11,9.754419191919192,12,-1.0462962962962963,2691.0,1416.0,403.0
all,hour_scale_p025,4920.0,4898.0,4528.0,12,4614.0,13,9.735479797979798,11,-1.1388888888888888,2753.0,1444.0,417.0
all,hour_scale_p05,4857.0,4957.0,4619.0,14,4601.0,12,9.785353535353535,13,-1.1643518518518519,2742.0,1444.0,415.0
all,mixed_075_hour_dow,5500.5,4985.0,4573.0,13,4692.0,14,10.140151515151516,14,-1.0972222222222223,2877.0,1410.0,405.0
all,recent_14d_hour,5290.5,5256.0,4894.0,17,5120.0,19,10.150252525252526,15,-1.462962962962963,3035.0,1602.0,483.0
all,recent_7d_hour,5447.5,7484.0,7192.0,24,7898.0,23,13.547979797979798,23,-2.560185185185185,4907.0,2378.0,613.0
exclude_outage_severe,dow_hour_mean,7238.0,5456.0,4913.0,18,4913.0,17,11.70959595959596,21,-0.2199074074074074,3185.0,1262.0,466.0
exclude_outage_severe,global_mean,6035.5,5595.0,4814.0,15,4814.0,15,11.34911616161616,18,-0.3101851851851852,2777.0,1650.0,387.0
exclude_outage_severe,hour_mean,5620.0,4559.0,3928.0,4,3928.0,2,8.86489898989899,6,-0.25462962962962965,2315.0,1236.0,377.0
exclude_outage_severe,hour_scale_p025,5202.0,4494.0,3957.0,5,3957.0,5,8.82638888888889,3,-0.3958333333333333,2314.0,1270.0,373.0
exclude_outage_severe,hour_scale_p05,4901.0,4428.0,3961.0,6,3961.0,6,8.828282828282829,5,-0.48842592592592593,2292.0,1296.0,373.0
exclude_outage_severe,mixed_075_hour_dow,5737.0,4577.0,3981.0,7,3981.0,7,9.061868686868687,9,-0.2847222222222222,2422.0,1180.0,379.0
exclude_outage_severe,recent_14d_hour,5620.0,4684.0,4100.0,10,4100.0,10,9.070707070707071,10,-0.5740740740740741,2371.0,1332.0,397.0
exclude_outage_severe,recent_7d_hour,5319.0,6462.0,5926.0,23,8192.0,24,11.309974747474747,17,-1.4351851851851851,5259.0,2268.0,665.0
quality_weighted,dow_hour_mean,7210.0,5457.0,4914.0,19,4914.0,18,11.621843434343434,20,-0.21296296296296297,3172.0,1293.0,449.0
quality_weighted,global_mean,6035.5,5595.0,4814.0,15,4814.0,15,11.34911616161616,18,-0.3101851851851852,2777.0,1650.0,387.0
quality_weighted,hour_mean,5634.0,4494.0,3866.0,1,3880.0,1,8.782196969696969,1,-0.26851851851851855,2297.0,1212.0,371.0
quality_weighted,hour_scale_p025,5366.0,4466.0,3926.0,3,3954.0,4,8.808712121212121,2,-0.37962962962962965,2315.0,1272.0,367.0
quality_weighted,hour_scale_p05,5030.5,4482.0,4000.0,8,4022.0,9,8.902777777777779,7,-0.47685185185185186,2315.0,1342.0,365.0
quality_weighted,mixed_075_hour_dow,5684.0,4516.0,3924.0,2,3941.0,3,8.82638888888889,3,-0.2847222222222222,2358.0,1204.0,379.0
quality_weighted,recent_14d_hour,5634.0,4587.0,4004.0,9,3992.0,8,8.946338383838384,8,-0.5879629629629629,2329.0,1280.0,383.0
quality_weighted,recent_7d_hour,5535.0,6195.0,5690.0,22,7650.0,22,11.031565656565656,16,-1.837962962962963,4717.0,2288.0,645.0
