training_policy,method,train_day_count_used,excluded_train_day_count,effective_train_day_weight,sse_float,sse_rounded,mae_rounded,mean_bias_rounded,actual_total,predicted_total_rounded,core_sse_rounded,near_sse_rounded,outer_sse_rounded,rank_by_sse_rounded
quality_weighted,hour_mean,14,4,11.7,3920.472496164804,3880.0,2.25,-0.26851851851851855,2006.0,1890.0,2297.0,1212.0,371.0,1
exclude_outage_severe,hour_mean,12,6,12.0,3947.083333333333,3928.0,2.259259259259259,-0.25462962962962965,2006.0,1896.0,2315.0,1236.0,377.0,2
quality_weighted,mixed_075_hour_dow,14,4,11.7,3864.222812386789,3941.0,2.261574074074074,-0.2847222222222222,2006.0,1883.0,2358.0,1204.0,379.0,3
quality_weighted,hour_scale_p025,14,4,11.7,3925.7184278182344,3954.0,2.2546296296296298,-0.37962962962962965,2006.0,1842.0,2315.0,1272.0,367.0,4
exclude_outage_severe,hour_scale_p025,12,6,12.0,3953.424544048261,3957.0,2.2569444444444446,-0.3958333333333333,2006.0,1835.0,2314.0,1270.0,373.0,5
exclude_outage_severe,hour_scale_p05,12,6,12.0,3971.091298676496,3961.0,2.252314814814815,-0.48842592592592593,2006.0,1795.0,2292.0,1296.0,373.0,6
exclude_outage_severe,mixed_075_hour_dow,12,6,12.0,3884.84375,3981.0,2.2569444444444446,-0.2847222222222222,2006.0,1883.0,2422.0,1180.0,379.0,7
quality_weighted,recent_14d_hour,14,4,11.7,4001.2123460954626,3992.0,2.2777777777777777,-0.5879629629629629,2006.0,1752.0,2329.0,1280.0,383.0,8
quality_weighted,hour_scale_p05,14,4,11.7,3941.624719981417,4022.0,2.2777777777777777,-0.47685185185185186,2006.0,1800.0,2315.0,1342.0,365.0,9
exclude_outage_severe,recent_14d_hour,12,6,12.0,4050.34375,4100.0,2.3194444444444446,-0.5740740740740741,2006.0,1758.0,2371.0,1332.0,397.0,10
all,hour_mean,18,0,18.0,4554.4629629629635,4510.0,2.375,-1.0462962962962963,2006.0,1554.0,2691.0,1416.0,403.0,11
all,hour_scale_p05,18,0,18.0,4628.523769333021,4601.0,2.386574074074074,-1.1643518518518519,2006.0,1503.0,2742.0,1444.0,415.0,12
all,hour_scale_p025,18,0,18.0,4589.943632852979,4614.0,2.3935185185185186,-1.1388888888888888,2006.0,1514.0,2753.0,1444.0,417.0,13
all,mixed_075_hour_dow,18,0,18.0,4650.784722222223,4692.0,2.3796296296296298,-1.0972222222222223,2006.0,1532.0,2877.0,1410.0,405.0,14
exclude_outage_severe,global_mean,12,6,12.0,4792.059027777777,4814.0,2.5416666666666665,-0.3101851851851852,2006.0,1872.0,2777.0,1650.0,387.0,15
quality_weighted,global_mean,14,4,11.7,4789.446672510774,4814.0,2.5416666666666665,-0.3101851851851852,2006.0,1872.0,2777.0,1650.0,387.0,15
exclude_outage_severe,dow_hour_mean,12,6,12.0,4872.25,4913.0,2.502314814814815,-0.2199074074074074,2006.0,1911.0,3185.0,1262.0,466.0,17
quality_weighted,dow_hour_mean,14,4,11.7,4851.167233560091,4914.0,2.4953703703703702,-0.21296296296296297,2006.0,1914.0,3172.0,1293.0,449.0,18
all,recent_14d_hour,18,0,18.0,5065.938775510204,5120.0,2.5231481481481484,-1.462962962962963,2006.0,1374.0,3035.0,1602.0,483.0,19
all,dow_hour_mean,18,0,18.0,5602.0,5642.0,2.634259259259259,-1.125,2006.0,1520.0,3605.0,1497.0,540.0,20
all,global_mean,18,0,18.0,5394.858796296296,5842.0,2.699074074074074,-1.3101851851851851,2006.0,1440.0,3469.0,1986.0,387.0,21
quality_weighted,recent_7d_hour,14,4,11.7,7525.877551020408,7650.0,3.125,-1.837962962962963,2006.0,1212.0,4717.0,2288.0,645.0,22
all,recent_7d_hour,18,0,18.0,7780.122448979592,7898.0,3.125,-2.560185185185185,2006.0,900.0,4907.0,2378.0,613.0,23
exclude_outage_severe,recent_7d_hour,12,6,12.0,8192.0,8192.0,3.212962962962963,-1.4351851851851851,2006.0,1386.0,5259.0,2268.0,665.0,24
