training_policy,method,n_dates,n_rows,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,core_sse_rounded,near_sse_rounded,outer_sse_rounded,rank_by_sse_rounded
quality_weighted,hour_mean,6,432,3866.0,8.949074074074074,2.240740740740741,-0.24074074074074073,2277.0,1212.0,377.0,1
quality_weighted,mixed_075_hour_dow,6,432,3924.0,9.083333333333334,2.259259259259259,-0.27314814814814814,2343.0,1200.0,381.0,2
quality_weighted,hour_scale_p025,6,432,3926.0,9.087962962962964,2.2453703703703702,-0.3611111111111111,2315.0,1246.0,365.0,3
exclude_outage_severe,hour_mean,6,432,3928.0,9.092592592592593,2.259259259259259,-0.25462962962962965,2315.0,1236.0,377.0,4
exclude_outage_severe,hour_scale_p025,6,432,3957.0,9.159722222222221,2.2569444444444446,-0.3958333333333333,2314.0,1270.0,373.0,5
exclude_outage_severe,hour_scale_p05,6,432,3961.0,9.168981481481481,2.252314814814815,-0.48842592592592593,2292.0,1296.0,373.0,6
exclude_outage_severe,mixed_075_hour_dow,6,432,3981.0,9.215277777777779,2.2569444444444446,-0.2847222222222222,2422.0,1180.0,379.0,7
quality_weighted,hour_scale_p05,6,432,4000.0,9.25925925925926,2.2777777777777777,-0.46296296296296297,2309.0,1319.0,372.0,8
quality_weighted,recent_14d_hour,6,432,4004.0,9.268518518518519,2.287037037037037,-0.5324074074074074,2351.0,1264.0,389.0,9
exclude_outage_severe,recent_14d_hour,6,432,4100.0,9.49074074074074,2.310185185185185,-0.5462962962962963,2381.0,1304.0,415.0,10
all,hour_mean,6,432,4498.0,10.412037037037036,2.3796296296296298,-1.0324074074074074,2661.0,1414.0,423.0,11
all,hour_scale_p025,6,432,4528.0,10.481481481481481,2.384259259259259,-1.0694444444444444,2679.0,1424.0,425.0,12
all,mixed_075_hour_dow,6,432,4573.0,10.585648148148149,2.3680555555555554,-1.0439814814814814,2763.0,1397.0,413.0,13
all,hour_scale_p05,6,432,4619.0,10.69212962962963,2.3958333333333335,-1.1226851851851851,2738.0,1458.0,423.0,14
exclude_outage_severe,global_mean,6,432,4814.0,11.143518518518519,2.5416666666666665,-0.3101851851851852,2777.0,1650.0,387.0,15
quality_weighted,global_mean,6,432,4814.0,11.143518518518519,2.5416666666666665,-0.3101851851851852,2777.0,1650.0,387.0,15
all,recent_14d_hour,6,432,4894.0,11.328703703703704,2.486111111111111,-1.3240740740740742,2877.0,1538.0,479.0,17
exclude_outage_severe,dow_hour_mean,6,432,4913.0,11.372685185185185,2.502314814814815,-0.2199074074074074,3185.0,1262.0,466.0,18
quality_weighted,dow_hour_mean,6,432,4914.0,11.375,2.4953703703703702,-0.21296296296296297,3172.0,1293.0,449.0,19
all,global_mean,6,432,5016.0,11.61111111111111,2.5694444444444446,-0.6435185185185185,2979.0,1650.0,387.0,20
all,dow_hour_mean,6,432,5642.0,13.060185185185185,2.634259259259259,-1.125,3605.0,1497.0,540.0,21
quality_weighted,recent_7d_hour,6,432,5690.0,13.171296296296296,2.712962962962963,-1.2824074074074074,3327.0,1910.0,453.0,22
exclude_outage_severe,recent_7d_hour,6,432,5926.0,13.717592592592593,2.8055555555555554,-1.2407407407407407,3471.0,1976.0,479.0,23
all,recent_7d_hour,6,432,7192.0,16.64814814814815,2.925925925925926,-2.2685185185185186,4545.0,2156.0,491.0,24
