group,region,hour,n_days,mean_profile_share,median_profile_share,std_profile_share,q25_profile_share,q75_profile_share,mean_hourly_count,median_hourly_count
normal_all,core,0,17,0.03518495146827526,0.03164556962025317,0.019734565999922186,0.019704433497536946,0.04827586206896552,5.9411764705882355,5.0
normal_all,core,1,17,0.01498549787621359,0.012195121951219513,0.01710747215069481,0.0049261083743842365,0.020833333333333332,2.5294117647058822,2.0
normal_all,core,2,17,0.029483859619391352,0.03125,0.022415665686566933,0.007246376811594203,0.041379310344827586,5.235294117647059,6.0
normal_all,core,3,17,0.052130357692759116,0.054878048780487805,0.020737370185541115,0.04375,0.06806282722513089,9.058823529411764,9.0
normal_all,core,4,17,0.0374943825937895,0.033783783783783786,0.02226571179199125,0.023809523809523808,0.054187192118226604,6.529411764705882,5.0
normal_all,core,5,17,0.01567924828306658,0.01485148514851485,0.01662741678054686,0.0,0.02054794520547945,2.823529411764706,3.0
normal_all,core,6,17,0.043212742929238324,0.04878048780487805,0.02732803621071224,0.014492753623188406,0.06741573033707865,7.470588235294118,9.0
normal_all,core,7,17,0.05345749735802076,0.054455445544554455,0.025379377321756196,0.047619047619047616,0.06741573033707865,8.941176470588236,10.0
normal_all,core,8,17,0.038837215003390574,0.03940886699507389,0.015319724834057897,0.03015075376884422,0.050724637681159424,6.647058823529412,7.0
normal_all,core,9,17,0.024415521700151266,0.021739130434782608,0.013666218884963534,0.014778325123152709,0.0297029702970297,4.176470588235294,4.0
normal_all,core,10,17,0.04684603042749134,0.047619047619047616,0.018354816310301312,0.03349282296650718,0.05625,8.0,7.0
normal_all,core,11,17,0.05984463178176225,0.050724637681159424,0.018582250508549503,0.04712041884816754,0.07303370786516854,10.0,10.0
normal_all,core,12,17,0.04425512188988537,0.04522613065326633,0.018452509888026613,0.031413612565445025,0.05384615384615385,7.411764705882353,7.0
normal_all,core,13,17,0.032640641708706786,0.02702702702702703,0.022081274822536617,0.015873015873015872,0.041884816753926704,5.529411764705882,4.0
normal_all,core,14,17,0.04161502011443789,0.0430622009569378,0.019577342076190385,0.03125,0.05235602094240838,7.117647058823529,7.0
normal_all,core,15,17,0.0587501586897607,0.06806282722513089,0.022641847991049395,0.0472972972972973,0.07317073170731707,9.764705882352942,9.0
normal_all,core,16,17,0.04456266938178263,0.05,0.020129455597816637,0.027586206896551724,0.06179775280898876,7.764705882352941,8.0
normal_all,core,17,17,0.030836765231741864,0.02617801047120419,0.020209538760159865,0.02027027027027027,0.034653465346534656,5.117647058823529,5.0
normal_all,core,18,17,0.04914405657038692,0.05405405405405406,0.015122886024544778,0.039603960396039604,0.06164383561643835,8.176470588235293,8.0
normal_all,core,19,17,0.07616980088860563,0.07432432432432433,0.014444174928321799,0.0684931506849315,0.08376963350785341,12.705882352941176,12.0
normal_all,core,20,17,0.04902093172358956,0.041884816753926704,0.0250634466135852,0.028089887640449437,0.06923076923076923,7.9411764705882355,8.0
normal_all,core,21,17,0.02211004421081372,0.019138755980861243,0.01774811233672496,0.015384615384615385,0.028089887640449437,3.823529411764706,4.0
normal_all,core,22,17,0.038162989591440266,0.0375,0.0225579957271511,0.023923444976076555,0.04926108374384237,6.411764705882353,6.0
normal_all,core,23,17,0.06115986326529879,0.06097560975609756,0.027048363142373383,0.04020100502512563,0.07586206896551724,9.882352941176471,10.0
normal_all,near,0,17,0.02869570361730914,0.02197802197802198,0.02226753041652172,0.015151515151515152,0.0392156862745098,3.0588235294117645,2.0
normal_all,near,1,17,0.010363942729932895,0.0,0.01738898058742879,0.0,0.012195121951219513,1.1764705882352942,0.0
normal_all,near,2,17,0.019028683295999396,0.018518518518518517,0.013577284055940088,0.014705882352941176,0.02702702702702703,2.1176470588235294,2.0
normal_all,near,3,17,0.04134688003577162,0.04424778761061947,0.02308327734215795,0.027777777777777776,0.05504587155963303,4.588235294117647,4.0
normal_all,near,4,17,0.021584504787674035,0.018518518518518517,0.0214399432341278,0.008849557522123894,0.024193548387096774,2.4705882352941178,2.0
normal_all,near,5,17,0.014803312991181827,0.009009009009009009,0.017100555157633455,0.0,0.01904761904761905,1.6470588235294117,1.0
normal_all,near,6,17,0.031786110321326104,0.035398230088495575,0.016640814878979636,0.024193548387096774,0.04395604395604396,3.411764705882353,3.0
normal_all,near,7,17,0.054788655749120674,0.058823529411764705,0.028577054312217656,0.039473684210526314,0.06593406593406594,5.882352941176471,6.0
normal_all,near,8,17,0.050253923718616596,0.05128205128205128,0.023108312371738427,0.04,0.06422018348623854,5.470588235294118,6.0
normal_all,near,9,17,0.036953912075123024,0.04,0.01811558048004626,0.02654867256637168,0.047619047619047616,4.0588235294117645,4.0
normal_all,near,10,17,0.055415389660394415,0.056451612903225805,0.022159787322255185,0.037037037037037035,0.06837606837606838,5.882352941176471,6.0
normal_all,near,11,17,0.07130279246710206,0.06837606837606838,0.029751714701251663,0.05555555555555555,0.09210526315789473,7.588235294117647,7.0
normal_all,near,12,17,0.04766108246521046,0.039473684210526314,0.0279231216454314,0.024193548387096774,0.06306306306306306,5.0,4.0
normal_all,near,13,17,0.03950476095225132,0.04032258064516129,0.019775070727621025,0.024390243902439025,0.054945054945054944,4.235294117647059,4.0
normal_all,near,14,17,0.0490749434099995,0.05309734513274336,0.02296275743803127,0.035398230088495575,0.058823529411764705,5.294117647058823,6.0
normal_all,near,15,17,0.0674308610237211,0.06837606837606838,0.030356360513247953,0.05504587155963303,0.08333333333333333,7.352941176470588,8.0
normal_all,near,16,17,0.04478736032042003,0.044444444444444446,0.022734461756400034,0.027777777777777776,0.06,4.9411764705882355,4.0
normal_all,near,17,17,0.02938913811755539,0.02,0.028277039584188684,0.008064516129032258,0.039473684210526314,3.0588235294117645,2.0
normal_all,near,18,17,0.05196549211150808,0.04838709677419355,0.026383067563298016,0.03669724770642202,0.06666666666666667,5.705882352941177,5.0
normal_all,near,19,17,0.07750450466627196,0.07692307692307693,0.025871168396905342,0.061946902654867256,0.0967741935483871,8.235294117647058,8.0
normal_all,near,20,17,0.05189482164513232,0.04504504504504504,0.027674433066922504,0.02654867256637168,0.07258064516129033,5.529411764705882,5.0
normal_all,near,21,17,0.020076041885399597,0.01834862385321101,0.017055914195446813,0.0,0.03418803418803419,2.2941176470588234,2.0
normal_all,near,22,17,0.03107087739816175,0.027777777777777776,0.023616822517946987,0.018018018018018018,0.05303030303030303,3.3529411764705883,3.0
normal_all,near,23,17,0.05331630455481667,0.04838709677419355,0.025463470632857695,0.03669724770642202,0.06,5.470588235294118,5.0
normal_all,outer,0,17,0.032106718714327964,0.024390243902439025,0.03215527344781457,0.0,0.041666666666666664,1.6470588235294117,1.0
normal_all,outer,1,17,0.03448698650347379,0.02631578947368421,0.026640191000833827,0.022222222222222223,0.0425531914893617,1.8235294117647058,1.0
normal_all,outer,2,17,0.016780590037072034,0.0,0.026537947130572864,0.0,0.02631578947368421,0.8235294117647058,0.0
normal_all,outer,3,17,0.021473137661149097,0.015384615384615385,0.02671802471283908,0.0,0.03225806451612903,1.0,1.0
normal_all,outer,4,17,0.029555784630198523,0.02631578947368421,0.022953896575323766,0.015384615384615385,0.04838709677419355,1.3529411764705883,1.0
normal_all,outer,5,17,0.035008551997070585,0.02631578947368421,0.0216703581283252,0.022222222222222223,0.04838709677419355,1.6470588235294117,1.0
normal_all,outer,6,17,0.023086065569756533,0.022222222222222223,0.018790215390888435,0.016129032258064516,0.03076923076923077,1.0588235294117647,1.0
normal_all,outer,7,17,0.04231112421851151,0.046511627906976744,0.03701502372709814,0.0,0.06666666666666667,2.0588235294117645,2.0
normal_all,outer,8,17,0.04922040416579943,0.05263157894736842,0.022485644707941187,0.03571428571428571,0.06666666666666667,2.411764705882353,2.0
normal_all,outer,9,17,0.06159365115161101,0.05555555555555555,0.030495923645682096,0.03571428571428571,0.0851063829787234,3.0,3.0
