date,hour,region,quality_regime,period,day_type,dayofweek,unique_vessel_count,y_true,daily_total,profile_share
2018-01-01,0,core,normal,pre_outage,weekday,0,49,2,178,0.011235955056179775
2018-01-01,1,core,normal,pre_outage,weekday,0,49,0,178,0.0
2018-01-01,2,core,normal,pre_outage,weekday,0,49,6,178,0.033707865168539325
2018-01-01,3,core,normal,pre_outage,weekday,0,49,13,178,0.07303370786516854
2018-01-01,4,core,normal,pre_outage,weekday,0,49,5,178,0.028089887640449437
2018-01-01,5,core,normal,pre_outage,weekday,0,49,1,178,0.0056179775280898875
2018-01-01,6,core,normal,pre_outage,weekday,0,49,12,178,0.06741573033707865
2018-01-01,7,core,normal,pre_outage,weekday,0,49,12,178,0.06741573033707865
2018-01-01,8,core,normal,pre_outage,weekday,0,49,10,178,0.056179775280898875
2018-01-01,9,core,normal,pre_outage,weekday,0,49,2,178,0.011235955056179775
2018-01-01,10,core,normal,pre_outage,weekday,0,49,4,178,0.02247191011235955
2018-01-01,11,core,normal,pre_outage,weekday,0,49,13,178,0.07303370786516854
2018-01-01,12,core,normal,pre_outage,weekday,0,49,10,178,0.056179775280898875
2018-01-01,13,core,normal,pre_outage,weekday,0,49,2,178,0.011235955056179775
2018-01-01,14,core,normal,pre_outage,weekday,0,49,8,178,0.0449438202247191
2018-01-01,15,core,normal,pre_outage,weekday,0,49,9,178,0.05056179775280899
2018-01-01,16,core,normal,pre_outage,weekday,0,49,11,178,0.06179775280898876
2018-01-01,17,core,normal,pre_outage,weekday,0,49,3,178,0.016853932584269662
2018-01-01,18,core,normal,pre_outage,weekday,0,49,11,178,0.06179775280898876
2018-01-01,19,core,normal,pre_outage,weekday,0,49,13,178,0.07303370786516854
2018-01-01,20,core,normal,pre_outage,weekday,0,49,5,178,0.028089887640449437
2018-01-01,21,core,normal,pre_outage,weekday,0,49,5,178,0.028089887640449437
2018-01-01,22,core,normal,pre_outage,weekday,0,49,6,178,0.033707865168539325
2018-01-01,23,core,normal,pre_outage,weekday,0,49,15,178,0.08426966292134831
2018-01-01,0,near,normal,pre_outage,weekday,0,49,0,108,0.0
2018-01-01,1,near,normal,pre_outage,weekday,0,49,2,108,0.018518518518518517
2018-01-01,2,near,normal,pre_outage,weekday,0,49,2,108,0.018518518518518517
2018-01-01,3,near,normal,pre_outage,weekday,0,49,3,108,0.027777777777777776
2018-01-01,4,near,normal,pre_outage,weekday,0,49,2,108,0.018518518518518517
2018-01-01,5,near,normal,pre_outage,weekday,0,49,0,108,0.0
2018-01-01,6,near,normal,pre_outage,weekday,0,49,5,108,0.046296296296296294
2018-01-01,7,near,normal,pre_outage,weekday,0,49,13,108,0.12037037037037036
2018-01-01,8,near,normal,pre_outage,weekday,0,49,9,108,0.08333333333333333
2018-01-01,9,near,normal,pre_outage,weekday,0,49,3,108,0.027777777777777776
2018-01-01,10,near,normal,pre_outage,weekday,0,49,4,108,0.037037037037037035
2018-01-01,11,near,normal,pre_outage,weekday,0,49,6,108,0.05555555555555555
2018-01-01,12,near,normal,pre_outage,weekday,0,49,3,108,0.027777777777777776
2018-01-01,13,near,normal,pre_outage,weekday,0,49,2,108,0.018518518518518517
