region,component,explained_variance_ratio,cumulative_explained_variance_ratio
core,PC1,0.23084801270772068,0.23084801270772068
core,PC2,0.16804618735193486,0.39889420005965553
core,PC3,0.12775964618936692,0.5266538462490225
core,PC4,0.09340693387063606,0.6200607801196585
core,PC5,0.0829246511000318,0.7029854312196903
near,PC1,0.20511448671723076,0.20511448671723076
near,PC2,0.15455720601868647,0.35967169273591726
near,PC3,0.1348263924336174,0.49449808516953464
near,PC4,0.12301784420323288,0.6175159293727676
near,PC5,0.10438164212030875,0.7218975714930763
outer,PC1,0.23270933711327552,0.23270933711327552
outer,PC2,0.1738434677316901,0.4065528048449656
outer,PC3,0.15925670074262177,0.5658095055875874
outer,PC4,0.09615114537230077,0.6619606509598881
outer,PC5,0.08680489786148254,0.7487655488213707
