training_policy,method,selected_alpha,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,actual_total,predicted_total_rounded,core_sse_rounded,near_sse_rounded,outer_sse_rounded,rank_by_sse_rounded
exclude_outage_severe,decomp_mean_daytype_shrunk,,3886.6287269831146,3872.0,8.962962962962964,2.2314814814814814,-0.32407407407407407,2006.0,1866.0,2303.0,1206.0,363.0,1
quality_weighted,hour_mean,,3920.472496164804,3880.0,8.981481481481481,2.25,-0.26851851851851855,2006.0,1890.0,2297.0,1212.0,371.0,2
quality_weighted,decomp_mean_daytype_shrunk,,3848.497899434291,3902.0,9.032407407407407,2.2314814814814814,-0.32407407407407407,2006.0,1866.0,2305.0,1232.0,365.0,3
quality_weighted,decomp_mean_mean,,3903.4329850866907,3910.0,9.050925925925926,2.2546296296296298,-0.3101851851851852,2006.0,1872.0,2293.0,1234.0,383.0,4
exclude_outage_severe,decomp_mean_mean,,3934.537558095907,3922.0,9.078703703703704,2.263888888888889,-0.2824074074074074,2006.0,1884.0,2337.0,1212.0,373.0,5
exclude_outage_severe,hour_mean,,3947.083333333333,3928.0,9.092592592592593,2.259259259259259,-0.25462962962962965,2006.0,1896.0,2315.0,1236.0,377.0,6
quality_weighted,decomp_ewm7_daytype_shrunk,,3915.617696885771,3946.0,9.13425925925926,2.240740740740741,-0.5787037037037037,2006.0,1756.0,2305.0,1282.0,359.0,7
exclude_outage_severe,decomp_ewm7_daytype_shrunk,,3936.3125702176476,4030.0,9.328703703703704,2.2546296296296298,-0.5277777777777778,2006.0,1778.0,2409.0,1262.0,359.0,8
all,hour_mean,,4554.4629629629635,4510.0,10.439814814814815,2.375,-1.0462962962962963,2006.0,1554.0,2691.0,1416.0,403.0,9
all,decomp_mean_mean,,4656.5696637797955,4704.0,10.88888888888889,2.4166666666666665,-1.1435185185185186,2006.0,1512.0,2753.0,1510.0,441.0,10
all,decomp_mean_daytype_shrunk,,4698.58817667315,4760.0,11.018518518518519,2.4166666666666665,-1.0787037037037037,2006.0,1540.0,2859.0,1460.0,441.0,11
all,decomp_ewm7_daytype_shrunk,,5484.290830852824,5488.0,12.703703703703704,2.5972222222222223,-1.6435185185185186,2006.0,1296.0,3351.0,1674.0,463.0,12
exclude_outage_severe,decomp_poisson_calendar_mean,1.0,5937.53993797694,5916.0,13.694444444444445,2.6666666666666665,-1.9305555555555556,2006.0,1172.0,3599.0,1876.0,441.0,13
exclude_outage_severe,decomp_poisson_calendar_daytype,1.0,5900.664027924543,5987.0,13.858796296296296,2.701388888888889,-1.9652777777777777,2006.0,1157.0,3652.0,1891.0,444.0,14
quality_weighted,decomp_poisson_calendar_mean,1.0,6124.063992324762,6142.0,14.217592592592593,2.7083333333333335,-2.013888888888889,2006.0,1136.0,3805.0,1892.0,445.0,15
quality_weighted,decomp_poisson_calendar_daytype,1.0,6083.8233517908375,6178.0,14.300925925925926,2.7268518518518516,-2.0324074074074074,2006.0,1128.0,3837.0,1896.0,445.0,16
exclude_outage_severe,poisson_direct_calendar,0.01,6192.972351633902,6198.0,14.347222222222221,2.7268518518518516,-2.009259259259259,2006.0,1138.0,3778.0,1986.0,434.0,17
quality_weighted,poisson_direct_calendar,0.01,6403.288797520989,6485.0,15.011574074074074,2.7708333333333335,-2.0810185185185186,2006.0,1107.0,4082.0,1970.0,433.0,18
exclude_outage_severe,decomp_poisson_calendar_vessel_daytype,0.01,6515.500530940926,6500.0,15.046296296296296,2.8055555555555554,-2.175925925925926,2006.0,1066.0,3921.0,2139.0,440.0,19
exclude_outage_severe,decomp_poisson_calendar_vessel_mean,0.01,6548.538919421178,6555.0,15.17361111111111,2.7847222222222223,-2.1689814814814814,2006.0,1069.0,3998.0,2126.0,431.0,20
exclude_outage_severe,poisson_direct_calendar_vessel,0.001,6560.922158828336,6620.0,15.324074074074074,2.8194444444444446,-2.2037037037037037,2006.0,1054.0,4005.0,2155.0,460.0,21
quality_weighted,decomp_poisson_calendar_vessel_daytype,0.0001,6750.404056157526,6787.0,15.710648148148149,2.8680555555555554,-2.2893518518518516,2006.0,1017.0,4164.0,2158.0,465.0,22
exclude_outage_severe,decomp_ridge_calendar_daytype,0.1,6872.278873374584,6848.0,15.851851851851851,2.8981481481481484,-2.3981481481481484,2006.0,970.0,4089.0,2250.0,509.0,23
quality_weighted,decomp_poisson_calendar_vessel_mean,0.0001,6786.1912564636705,6850.0,15.856481481481481,2.8703703703703702,-2.2824074074074074,2006.0,1020.0,4209.0,2174.0,467.0,24
exclude_outage_severe,decomp_ridge_calendar_mean,0.1,6904.873735344016,6909.0,15.993055555555555,2.9189814814814814,-2.4097222222222223,2006.0,965.0,4147.0,2240.0,522.0,25
quality_weighted,poisson_direct_calendar_vessel,0.01,6919.590496917616,6937.0,16.05787037037037,2.877314814814815,-2.3078703703703702,2006.0,1009.0,4306.0,2171.0,460.0,26
quality_weighted,ridge_direct_calendar,1.0,7031.426611645991,7028.0,16.26851851851852,2.949074074074074,-2.4305555555555554,2006.0,956.0,4387.0,2144.0,497.0,27
quality_weighted,decomp_ridge_calendar_daytype,0.1,7109.535779185173,7128.0,16.5,2.949074074074074,-2.4768518518518516,2006.0,936.0,4409.0,2212.0,507.0,28
quality_weighted,decomp_ridge_calendar_mean,0.1,7144.753787346185,7211.0,16.69212962962963,2.9560185185185186,-2.4837962962962963,2006.0,933.0,4463.0,2228.0,520.0,29
exclude_outage_severe,ridge_direct_calendar,10.0,7629.706188245458,7704.0,17.833333333333332,3.0277777777777777,-2.3518518518518516,2006.0,990.0,5037.0,2196.0,471.0,30
exclude_outage_severe,ridge_direct_calendar_vessel,10.0,7645.595069359311,7763.0,17.96990740740741,3.113425925925926,-2.6643518518518516,2006.0,855.0,4538.0,2598.0,627.0,31
exclude_outage_severe,decomp_ridge_calendar_vessel_daytype,0.1,8108.799149743819,8173.0,18.91898148148148,3.1412037037037037,-2.7060185185185186,2006.0,837.0,4988.0,2706.0,479.0,32
quality_weighted,decomp_ridge_calendar_vessel_mean,0.1,8160.000392181446,8181.0,18.9375,3.127314814814815,-2.7291666666666665,2006.0,827.0,5058.0,2634.0,489.0,33
quality_weighted,ridge_direct_calendar_vessel,10.0,8123.453396561388,8187.0,18.95138888888889,3.136574074074074,-2.673611111111111,2006.0,851.0,5205.0,2486.0,496.0,34
exclude_outage_severe,decomp_ridge_calendar_vessel_mean,0.1,8134.034698113611,8189.0,18.95601851851852,3.136574074074074,-2.7106481481481484,2006.0,835.0,4985.0,2731.0,473.0,35
quality_weighted,decomp_ridge_calendar_vessel_daytype,0.1,8131.600834724204,8249.0,19.09490740740741,3.1550925925925926,-2.747685185185185,2006.0,819.0,5094.0,2661.0,494.0,36
all,poisson_direct_calendar_vessel,0.0001,9167.303683781263,9168.0,21.22222222222222,3.3287037037037037,-2.9953703703703702,2006.0,712.0,5832.0,2786.0,550.0,37
all,decomp_poisson_calendar_vessel_daytype,0.0001,9169.442141606749,9198.0,21.291666666666668,3.3518518518518516,-3.0046296296296298,2006.0,708.0,5851.0,2784.0,563.0,38
all,decomp_poisson_calendar_mean,0.1,9193.622214284787,9201.0,21.29861111111111,3.3402777777777777,-3.0300925925925926,2006.0,697.0,5868.0,2775.0,558.0,39
all,decomp_poisson_calendar_daytype,0.1,9193.323074122389,9204.0,21.305555555555557,3.3472222222222223,-3.0324074074074074,2006.0,696.0,5846.0,2795.0,563.0,40
all,decomp_poisson_calendar_vessel_mean,0.0001,9169.380037089835,9215.0,21.33101851851852,3.3541666666666665,-3.011574074074074,2006.0,705.0,5826.0,2832.0,557.0,41
all,poisson_direct_calendar,0.001,9240.839873740442,9246.0,21.40277777777778,3.337962962962963,-3.0185185185185186,2006.0,702.0,5919.0,2799.0,528.0,42
all,ridge_direct_calendar_vessel,0.1,10217.936243727929,10297.0,23.83564814814815,3.6041666666666665,-3.3356481481481484,2006.0,565.0,6650.0,3043.0,604.0,43
