training_policy,method,n_prediction_rows,n_unique_target_dates,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,rank_by_mse_rounded
exclude_outage_severe,decomp_mean_daytype_shrunk,1584,7,13759.0,8.686237373737374,2.2190656565656566,-0.20643939393939395,1
quality_weighted,decomp_ewm7_daytype_shrunk,1584,7,13820.0,8.724747474747474,2.215909090909091,-0.3611111111111111,2
quality_weighted,decomp_mean_daytype_shrunk,1584,7,13838.0,8.73611111111111,2.226010101010101,-0.1553030303030303,3
quality_weighted,hour_mean,1584,7,13911.0,8.782196969696969,2.249368686868687,-0.12310606060606061,4
quality_weighted,decomp_mean_mean,1584,7,13963.0,8.815025252525253,2.2531565656565657,-0.16982323232323232,5
exclude_outage_severe,decomp_mean_mean,1584,7,13995.0,8.835227272727273,2.2582070707070705,-0.16224747474747475,6
exclude_outage_severe,hour_mean,1584,7,14042.0,8.86489898989899,2.265151515151515,-0.13636363636363635,7
exclude_outage_severe,decomp_ewm7_daytype_shrunk,1584,7,14309.0,9.033459595959595,2.235479797979798,-0.3970959595959596,8
all,hour_mean,1584,7,15451.0,9.754419191919192,2.337752525252525,-0.6685606060606061,9
all,decomp_mean_mean,1584,7,15841.0,10.000631313131313,2.365530303030303,-0.6786616161616161,10
all,decomp_mean_daytype_shrunk,1584,7,16050.0,10.132575757575758,2.340909090909091,-0.6553030303030303,11
all,decomp_ewm7_daytype_shrunk,1584,7,17645.0,11.139520202020202,2.44760101010101,-1.0890151515151516,12
quality_weighted,decomp_poisson_calendar_daytype,1584,7,19605.0,12.37689393939394,2.537247474747475,-1.668560606060606,13
quality_weighted,decomp_poisson_calendar_mean,1584,7,19743.0,12.464015151515152,2.5410353535353534,-1.6534090909090908,14
exclude_outage_severe,decomp_poisson_calendar_mean,1584,7,19747.0,12.466540404040405,2.548611111111111,-1.682449494949495,15
exclude_outage_severe,decomp_poisson_calendar_daytype,1584,7,19972.0,12.608585858585858,2.5782828282828283,-1.7095959595959596,16
exclude_outage_severe,decomp_poisson_calendar_vessel_daytype,1584,7,21539.0,13.597853535353535,2.662247474747475,-1.8996212121212122,17
quality_weighted,decomp_poisson_calendar_vessel_daytype,1584,7,21638.0,13.660353535353535,2.657828282828283,-1.8901515151515151,18
exclude_outage_severe,decomp_poisson_calendar_vessel_mean,1584,7,21648.0,13.666666666666666,2.6414141414141414,-1.8888888888888888,19
quality_weighted,poisson_direct_calendar_vessel,1584,7,21722.0,13.71338383838384,2.6603535353535355,-1.8914141414141414,20
quality_weighted,decomp_poisson_calendar_vessel_mean,1584,7,21870.0,13.806818181818182,2.669191919191919,-1.880050505050505,21
quality_weighted,decomp_ridge_calendar_daytype,1584,7,21907.0,13.830176767676768,2.664772727272727,-1.8933080808080809,22
exclude_outage_severe,poisson_direct_calendar_vessel,1584,7,21946.0,13.85479797979798,2.669191919191919,-1.9128787878787878,23
exclude_outage_severe,poisson_direct_calendar,1584,7,22119.0,13.964015151515152,2.7089646464646466,-1.7127525252525253,24
quality_weighted,decomp_ridge_calendar_mean,1584,7,22150.0,13.983585858585858,2.6755050505050506,-1.8914141414141414,25
