training_policy,method,model_family,estimator,uses_vessel_count,profile_method,rolling_mean_sse,rolling_median_sse,rolling_max_sse,rolling_normal_mse,rolling_normal_rank,final_analog_sse,final_analog_rank,final_analog_mean_bias,final_analog_core_sse,final_analog_near_sse,final_analog_outer_sse,rolling_fold_win_count,median_selected_alpha
all,decomp_ewm7_daytype_shrunk,baseline,ewm,False,daytype_shrunk,5205.5,5065.5,5954.0,11.139520202020202,12,5488.0,12,-1.6435185185185186,3351.0,1674.0,463.0,0,
all,decomp_mean_daytype_shrunk,baseline,weighted_mean,False,daytype_shrunk,5437.75,5189.5,6381.0,10.132575757575758,11,4760.0,11,-1.0787037037037037,2859.0,1460.0,441.0,0,
all,decomp_mean_mean,baseline,weighted_mean,False,mean,5394.75,5156.5,6281.0,10.000631313131313,10,4704.0,10,-1.1435185185185186,2753.0,1510.0,441.0,0,
all,decomp_poisson_calendar_daytype,decomposition,poisson,False,daytype_shrunk,5635.875,4975.0,9765.0,18.984217171717173,38,9204.0,40,-3.0324074074074074,5846.0,2795.0,563.0,0,1.0
all,decomp_poisson_calendar_mean,decomposition,poisson,False,mean,5622.25,4939.0,9718.0,18.96590909090909,37,9201.0,39,-3.0300925925925926,5868.0,2775.0,558.0,0,1.0
all,decomp_poisson_calendar_vessel_daytype,decomposition,poisson,True,daytype_shrunk,5609.75,5052.0,10090.0,19.804924242424242,42,9198.0,38,-3.0046296296296298,5851.0,2784.0,563.0,0,0.0001
all,decomp_poisson_calendar_vessel_mean,decomposition,poisson,True,mean,5620.875,5056.5,10038.0,19.741161616161616,40,9215.0,41,-3.011574074074074,5826.0,2832.0,557.0,0,0.0001
all,decomp_ridge_calendar_daytype,decomposition,ridge,False,daytype_shrunk,6872.375,5762.0,13509.0,25.532828282828284,46,12162.0,48,-3.7268518518518516,7984.0,3584.0,594.0,0,0.1
all,decomp_ridge_calendar_mean,decomposition,ridge,False,mean,6882.75,5841.5,13437.0,25.41919191919192,45,12106.0,47,-3.712962962962963,7956.0,3570.0,580.0,0,0.1
all,decomp_ridge_calendar_vessel_daytype,decomposition,ridge,True,daytype_shrunk,6838.5,6351.5,13247.0,25.78409090909091,47,11386.0,45,-3.5324074074074074,7393.0,3401.0,592.0,0,0.1
all,decomp_ridge_calendar_vessel_mean,decomposition,ridge,True,mean,6837.625,6365.5,13269.0,25.815025252525253,48,11456.0,46,-3.537037037037037,7447.0,3431.0,578.0,2,0.1
all,hour_mean,baseline,weighted_mean,False,,5312.625,5115.0,6188.0,9.754419191919192,9,4510.0,9,-1.0462962962962963,2691.0,1416.0,403.0,2,
all,poisson_direct_calendar,direct,poisson,False,,5708.125,5071.5,10087.0,19.67739898989899,39,9246.0,42,-3.0185185185185186,5919.0,2799.0,528.0,0,0.01
all,poisson_direct_calendar_vessel,direct,poisson,True,,5593.75,5045.5,10029.0,19.75631313131313,41,9168.0,37,-2.9953703703703702,5832.0,2786.0,550.0,0,0.00055
all,ridge_direct_calendar,direct,ridge,False,,6755.0,6059.0,11692.0,24.381944444444443,44,10884.0,44,-3.462962962962963,7138.0,3176.0,570.0,0,1.0
all,ridge_direct_calendar_vessel,direct,ridge,True,,6261.875,5790.0,11536.0,22.86426767676768,43,10297.0,43,-3.3356481481481484,6650.0,3043.0,604.0,0,1.0
exclude_outage_severe,decomp_ewm7_daytype_shrunk,baseline,ewm,False,daytype_shrunk,5128.375,5106.0,5954.0,9.033459595959595,8,4030.0,8,-0.5277777777777778,2409.0,1262.0,359.0,0,
exclude_outage_severe,decomp_mean_daytype_shrunk,baseline,weighted_mean,False,daytype_shrunk,5461.75,5509.0,6381.0,8.686237373737374,1,3872.0,1,-0.32407407407407407,2303.0,1206.0,363.0,0,
exclude_outage_severe,decomp_mean_mean,baseline,weighted_mean,False,mean,5480.875,5595.0,6281.0,8.835227272727273,6,3922.0,5,-0.2824074074074074,2337.0,1212.0,373.0,0,
exclude_outage_severe,decomp_poisson_calendar_daytype,decomposition,poisson,False,daytype_shrunk,4485.125,4328.5,6253.0,12.608585858585858,16,5987.0,14,-1.9652777777777777,3652.0,1891.0,444.0,0,1.0
exclude_outage_severe,decomp_poisson_calendar_mean,decomposition,poisson,False,mean,4465.375,4318.5,6195.0,12.466540404040405,15,5916.0,13,-1.9305555555555556,3599.0,1876.0,441.0,0,1.0
exclude_outage_severe,decomp_poisson_calendar_vessel_daytype,decomposition,poisson,True,daytype_shrunk,4465.0,4261.0,6758.0,13.597853535353535,17,6500.0,19,-2.175925925925926,3921.0,2139.0,440.0,1,0.0001
exclude_outage_severe,decomp_poisson_calendar_vessel_mean,decomposition,poisson,True,mean,4494.25,4313.0,6811.0,13.666666666666666,19,6555.0,20,-2.1689814814814814,3998.0,2126.0,431.0,0,0.0001
exclude_outage_severe,decomp_ridge_calendar_daytype,decomposition,ridge,False,daytype_shrunk,4699.875,4422.5,7085.0,14.081439393939394,26,6848.0,23,-2.3981481481481484,4089.0,2250.0,509.0,0,0.55
exclude_outage_severe,decomp_ridge_calendar_mean,decomposition,ridge,False,mean,4725.0,4479.5,7127.0,14.1875,27,6909.0,25,-2.4097222222222223,4147.0,2240.0,522.0,0,0.55
exclude_outage_severe,decomp_ridge_calendar_vessel_daytype,decomposition,ridge,True,daytype_shrunk,4919.75,4600.5,8465.0,16.470959595959595,35,8173.0,32,-2.7060185185185186,4988.0,2706.0,479.0,0,0.1
exclude_outage_severe,decomp_ridge_calendar_vessel_mean,decomposition,ridge,True,mean,4916.125,4614.0,8461.0,16.54419191919192,36,8189.0,35,-2.7106481481481484,4985.0,2731.0,473.0,2,0.1
exclude_outage_severe,hour_mean,baseline,weighted_mean,False,,5479.625,5620.0,6188.0,8.86489898989899,7,3928.0,6,-0.25462962962962965,2315.0,1236.0,377.0,0,
exclude_outage_severe,poisson_direct_calendar,direct,poisson,False,,4713.75,4332.0,6478.0,13.964015151515152,24,6198.0,17,-2.009259259259259,3778.0,1986.0,434.0,0,0.01
exclude_outage_severe,poisson_direct_calendar_vessel,direct,poisson,True,,4507.75,4335.0,6875.0,13.85479797979798,23,6620.0,21,-2.2037037037037037,4005.0,2155.0,460.0,0,0.00055
