date,audit_quality_regime,period,day_type,unique_vessel_count,ais_record_count,representative_vessel_hours,linkable_vessel_hours,stay_vessel_hours,outflow_vessel_hours,no_consecutive_vessel_hours,overall_link_rate,overall_outflow_rate_among_present,overall_outflow_rate_among_linkable,core_present_total,near_present_total,outer_present_total,core_linkable_total,near_linkable_total,outer_linkable_total,b_core_to_near,b_core_to_outer,b_near_to_core,b_near_to_outer,b_outer_to_core,b_outer_to_near,b_total,zero_flow_hour_count
2018-01-01,normal,pre_outage,weekday,49,113491,932,922,840,82,10,0.9892703862660944,0.08798283261802575,0.08893709327548807,322,513,97,320,507,95,28,3,30,8,2,11,82,2
2018-01-02,normal,pre_outage,weekday,53,149794,1070,1057,971,86,13,0.9878504672897196,0.08037383177570094,0.08136234626300852,307,615,148,305,609,143,22,5,24,13,8,14,86,3
2018-01-03,normal,pre_outage,weekday,58,141403,1088,1071,979,92,17,0.984375,0.08455882352941177,0.08590102707749767,309,653,126,309,642,120,34,7,32,8,3,8,92,1
2018-01-04,normal,pre_outage,weekday,55,104676,1075,1055,975,80,20,0.9813953488372092,0.07441860465116279,0.07582938388625593,292,660,123,290,653,112,26,4,28,7,4,11,80,4
2018-01-05,normal,pre_outage,weekday,57,130152,1121,1103,1027,76,18,0.983942908117752,0.06779661016949153,0.06890299184043518,326,672,123,323,664,116,24,3,28,8,3,10,76,2
2018-01-06,normal,pre_outage,weekend,61,134287,1148,1128,1064,64,20,0.9825783972125436,0.05574912891986063,0.05673758865248227,296,728,124,296,717,115,16,3,15,15,4,11,64,4
2018-01-07,normal,pre_outage,weekend,60,101437,1089,1073,994,79,16,0.9853076216712581,0.07254361799816346,0.07362534948741846,327,595,167,327,591,155,30,4,29,6,2,8,79,3
2018-01-08,normal,pre_outage,weekday,56,140953,1152,1136,1074,62,16,0.9861111111111112,0.05381944444444445,0.05457746478873239,326,669,157,325,661,150,19,5,18,5,5,10,62,6
2018-01-09,normal,pre_outage,weekday,54,81419,1063,1043,953,90,20,0.9811853245531514,0.08466603951081844,0.0862895493767977,275,639,149,274,626,143,21,10,30,11,6,12,90,3
2018-01-10,normal,pre_outage,weekday,54,69851,1068,1043,961,82,25,0.9765917602996255,0.07677902621722846,0.07861936720997123,285,632,151,283,615,145,32,6,32,4,3,5,82,3
2018-01-11,normal,pre_outage,weekday,54,89923,1041,1019,931,88,22,0.978866474543708,0.0845341018251681,0.08635917566241413,245,626,170,245,609,165,27,6,27,11,6,11,88,3
2018-01-12,reduced,degraded_period,weekday,57,40369,1052,1017,931,86,35,0.9667300380228137,0.0817490494296578,0.08456243854473942,314,583,155,311,565,141,26,8,31,7,4,10,86,2
2018-01-13,outage,degraded_period,weekend,55,10621,1052,1030,942,88,22,0.9790874524714829,0.08365019011406843,0.0854368932038835,281,597,174,280,582,168,27,9,28,9,4,11,88,1
2018-01-14,outage,degraded_period,weekend,53,6849,694,622,566,56,72,0.8962536023054755,0.08069164265129683,0.09003215434083602,152,408,134,143,363,116,18,3,13,8,5,9,56,11
2018-01-15,outage,degraded_period,weekday,47,6632,697,667,595,72,30,0.9569583931133429,0.10329985652797705,0.10794602698650675,206,406,85,205,380,82,28,2,28,3,4,7,72,6
2018-01-16,outage,degraded_period,weekday,53,9971,1045,1019,938,81,26,0.9751196172248804,0.07751196172248803,0.07948969578017664,345,582,118,345,564,110,23,5,20,15,7,11,81,4
2018-01-17,severe,degraded_period,weekday,48,7786,828,767,679,88,61,0.9263285024154589,0.10628019323671498,0.11473272490221642,311,418,99,303,373,91,38,2,33,6,3,6,88,3
2018-01-18,severe,degraded_period,weekday,46,10271,825,742,652,90,83,0.8993939393939394,0.10909090909090909,0.12129380053908356,312,392,121,301,333,108,32,4,31,9,5,9,90,3
2018-01-19,normal,post_recovery,weekday,52,81147,774,722,661,61,52,0.9328165374677002,0.07881136950904392,0.08448753462603878,257,400,117,242,372,108,20,4,19,8,3,7,61,4
2018-01-20,normal,post_recovery,weekend,55,129476,1102,1092,999,93,10,0.9909255898366606,0.08439201451905626,0.08516483516483517,310,656,136,309,650,133,30,7,26,7,5,18,93,1
2018-01-21,normal,post_recovery,weekend,54,139585,1058,1039,950,89,19,0.9820415879017014,0.08412098298676748,0.08565928777670838,275,671,112,275,660,104,22,7,32,11,5,12,89,0
2018-01-22,normal,post_recovery,weekday,52,136958,1036,1024,972,52,12,0.9884169884169884,0.05019305019305019,0.05078125,322,621,93,320,614,90,18,6,18,3,5,2,52,7
2018-01-23,normal,post_recovery,weekday,48,96934,980,963,876,87,17,0.9826530612244898,0.08877551020408163,0.09034267912772585,278,576,126,277,566,120,29,9,28,7,8,6,87,2
2018-01-24,normal,post_recovery,weekday,48,105861,963,906,820,86,57,0.940809968847352,0.0893042575285566,0.09492273730684327,320,521,122,308,485,113,34,2,33,8,3,6,86,3
