date,hour,source_region,target_region,task_key,audit_quality_regime,period,day_type,daily_unique_vessel_count,source_present_count,source_linkable_count,source_outflow_count,y,pair_rate_among_present,pair_rate_among_linkable
2018-01-01,2018-01-01 00:00:00,core,near,core->near,normal,pre_outage,weekday,49,14,14,0,0,0.0,0.0
2018-01-01,2018-01-01 00:00:00,core,outer,core->outer,normal,pre_outage,weekday,49,14,14,0,0,0.0,0.0
2018-01-01,2018-01-01 00:00:00,near,core,near->core,normal,pre_outage,weekday,49,19,19,0,0,0.0,0.0
2018-01-01,2018-01-01 00:00:00,near,outer,near->outer,normal,pre_outage,weekday,49,19,19,0,0,0.0,0.0
2018-01-01,2018-01-01 00:00:00,outer,core,outer->core,normal,pre_outage,weekday,49,2,2,0,0,0.0,0.0
2018-01-01,2018-01-01 00:00:00,outer,near,outer->near,normal,pre_outage,weekday,49,2,2,0,0,0.0,0.0
2018-01-01,2018-01-01 01:00:00,core,near,core->near,normal,pre_outage,weekday,49,14,14,0,0,0.0,0.0
2018-01-01,2018-01-01 01:00:00,core,outer,core->outer,normal,pre_outage,weekday,49,14,14,0,0,0.0,0.0
2018-01-01,2018-01-01 01:00:00,near,core,near->core,normal,pre_outage,weekday,49,19,19,0,0,0.0,0.0
2018-01-01,2018-01-01 01:00:00,near,outer,near->outer,normal,pre_outage,weekday,49,19,19,0,0,0.0,0.0
2018-01-01,2018-01-01 01:00:00,outer,core,outer->core,normal,pre_outage,weekday,49,2,2,1,0,0.0,0.0
2018-01-01,2018-01-01 01:00:00,outer,near,outer->near,normal,pre_outage,weekday,49,2,2,1,1,0.5,0.5
2018-01-01,2018-01-01 02:00:00,core,near,core->near,normal,pre_outage,weekday,49,14,14,1,1,0.07142857142857142,0.07142857142857142
2018-01-01,2018-01-01 02:00:00,core,outer,core->outer,normal,pre_outage,weekday,49,14,14,1,0,0.0,0.0
2018-01-01,2018-01-01 02:00:00,near,core,near->core,normal,pre_outage,weekday,49,20,20,2,2,0.1,0.1
2018-01-01,2018-01-01 02:00:00,near,outer,near->outer,normal,pre_outage,weekday,49,20,20,2,0,0.0,0.0
2018-01-01,2018-01-01 02:00:00,outer,core,outer->core,normal,pre_outage,weekday,49,1,1,0,0,0.0,0.0
2018-01-01,2018-01-01 02:00:00,outer,near,outer->near,normal,pre_outage,weekday,49,1,1,0,0,0.0,0.0
2018-01-01,2018-01-01 03:00:00,core,near,core->near,normal,pre_outage,weekday,49,15,15,2,2,0.13333333333333333,0.13333333333333333
2018-01-01,2018-01-01 03:00:00,core,outer,core->outer,normal,pre_outage,weekday,49,15,15,2,0,0.0,0.0
2018-01-01,2018-01-01 03:00:00,near,core,near->core,normal,pre_outage,weekday,49,19,19,1,0,0.0,0.0
