date,hour,source_region,audit_quality_regime,period,day_type,daily_unique_vessel_count,source_present_count,source_linkable_count,stay_count,to_core_count,to_near_count,to_outer_count,outflow_count,no_consecutive_count,link_rate,outflow_rate_among_present,outflow_rate_among_linkable
2018-01-01,2018-01-01 00:00:00,core,normal,pre_outage,weekday,49,14,14,14,14,0,0,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 00:00:00,near,normal,pre_outage,weekday,49,19,19,19,0,19,0,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 00:00:00,outer,normal,pre_outage,weekday,49,2,2,2,0,0,2,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 01:00:00,core,normal,pre_outage,weekday,49,14,14,14,14,0,0,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 01:00:00,near,normal,pre_outage,weekday,49,19,19,19,0,19,0,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 01:00:00,outer,normal,pre_outage,weekday,49,2,2,1,0,1,1,1,0,1.0,0.5,0.5
2018-01-01,2018-01-01 02:00:00,core,normal,pre_outage,weekday,49,14,14,13,13,1,0,1,0,1.0,0.07142857142857142,0.07142857142857142
2018-01-01,2018-01-01 02:00:00,near,normal,pre_outage,weekday,49,20,20,18,2,18,0,2,0,1.0,0.1,0.1
2018-01-01,2018-01-01 02:00:00,outer,normal,pre_outage,weekday,49,1,1,1,0,0,1,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 03:00:00,core,normal,pre_outage,weekday,49,15,15,13,13,2,0,2,0,1.0,0.13333333333333333,0.13333333333333333
2018-01-01,2018-01-01 03:00:00,near,normal,pre_outage,weekday,49,19,19,18,0,18,1,1,0,1.0,0.05263157894736842,0.05263157894736842
2018-01-01,2018-01-01 03:00:00,outer,normal,pre_outage,weekday,49,1,1,1,0,0,1,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 04:00:00,core,normal,pre_outage,weekday,49,13,13,13,13,0,0,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 04:00:00,near,normal,pre_outage,weekday,49,20,20,18,2,18,0,2,0,1.0,0.1,0.1
2018-01-01,2018-01-01 04:00:00,outer,normal,pre_outage,weekday,49,2,2,2,0,0,2,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 05:00:00,core,normal,pre_outage,weekday,49,15,15,15,15,0,0,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 05:00:00,near,normal,pre_outage,weekday,49,18,18,18,0,18,0,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 05:00:00,outer,normal,pre_outage,weekday,49,2,2,1,1,0,1,1,0,1.0,0.5,0.5
2018-01-01,2018-01-01 06:00:00,core,normal,pre_outage,weekday,49,16,16,7,7,9,0,9,0,1.0,0.5625,0.5625
2018-01-01,2018-01-01 06:00:00,near,normal,pre_outage,weekday,49,18,18,18,0,18,0,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 06:00:00,outer,normal,pre_outage,weekday,49,1,1,1,0,0,1,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 07:00:00,core,normal,pre_outage,weekday,49,7,7,7,7,0,0,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 07:00:00,near,normal,pre_outage,weekday,49,27,27,17,8,17,2,10,0,1.0,0.37037037037037035,0.37037037037037035
2018-01-01,2018-01-01 07:00:00,outer,normal,pre_outage,weekday,49,1,1,1,0,0,1,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 08:00:00,core,normal,pre_outage,weekday,49,15,15,13,13,1,1,2,0,1.0,0.13333333333333333,0.13333333333333333
2018-01-01,2018-01-01 08:00:00,near,normal,pre_outage,weekday,49,20,19,18,1,18,0,1,1,0.95,0.05,0.05263157894736842
2018-01-01,2018-01-01 08:00:00,outer,normal,pre_outage,weekday,49,5,5,5,0,0,5,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 09:00:00,core,normal,pre_outage,weekday,49,14,13,13,13,0,0,0,1,0.9285714285714286,0.0,0.0
2018-01-01,2018-01-01 09:00:00,near,normal,pre_outage,weekday,49,19,19,18,0,18,1,1,0,1.0,0.05263157894736842,0.05263157894736842
2018-01-01,2018-01-01 09:00:00,outer,normal,pre_outage,weekday,49,6,6,3,1,2,3,3,0,1.0,0.5,0.5
2018-01-01,2018-01-01 10:00:00,core,normal,pre_outage,weekday,49,14,14,12,12,2,0,2,0,1.0,0.14285714285714285,0.14285714285714285
2018-01-01,2018-01-01 10:00:00,near,normal,pre_outage,weekday,49,20,20,19,1,19,0,1,0,1.0,0.05,0.05
2018-01-01,2018-01-01 10:00:00,outer,normal,pre_outage,weekday,49,4,4,4,0,0,4,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 11:00:00,core,normal,pre_outage,weekday,49,13,13,12,12,0,1,1,0,1.0,0.07692307692307693,0.07692307692307693
2018-01-01,2018-01-01 11:00:00,near,normal,pre_outage,weekday,49,22,21,18,2,18,1,3,1,0.9545454545454546,0.13636363636363635,0.14285714285714285
2018-01-01,2018-01-01 11:00:00,outer,normal,pre_outage,weekday,49,5,5,5,0,0,5,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 12:00:00,core,normal,pre_outage,weekday,49,15,15,15,15,0,0,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 12:00:00,near,normal,pre_outage,weekday,49,18,18,18,0,18,0,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 12:00:00,outer,normal,pre_outage,weekday,49,8,8,8,0,0,8,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 13:00:00,core,normal,pre_outage,weekday,49,15,14,14,14,0,0,0,1,0.9333333333333333,0.0,0.0
2018-01-01,2018-01-01 13:00:00,near,normal,pre_outage,weekday,49,18,18,17,1,17,0,1,0,1.0,0.05555555555555555,0.05555555555555555
2018-01-01,2018-01-01 13:00:00,outer,normal,pre_outage,weekday,49,8,7,5,0,2,5,2,1,0.875,0.25,0.2857142857142857
2018-01-01,2018-01-01 14:00:00,core,normal,pre_outage,weekday,49,15,15,11,11,4,0,4,0,1.0,0.26666666666666666,0.26666666666666666
2018-01-01,2018-01-01 14:00:00,near,normal,pre_outage,weekday,49,20,19,18,1,18,0,1,1,0.95,0.05,0.05263157894736842
2018-01-01,2018-01-01 14:00:00,outer,normal,pre_outage,weekday,49,5,5,4,0,1,4,1,0,1.0,0.2,0.2
2018-01-01,2018-01-01 15:00:00,core,normal,pre_outage,weekday,49,12,12,12,12,0,0,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 15:00:00,near,normal,pre_outage,weekday,49,23,23,21,1,21,1,2,0,1.0,0.08695652173913043,0.08695652173913043
2018-01-01,2018-01-01 15:00:00,outer,normal,pre_outage,weekday,49,6,6,6,0,0,6,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 16:00:00,core,normal,pre_outage,weekday,49,13,13,12,12,1,0,1,0,1.0,0.07692307692307693,0.07692307692307693
2018-01-01,2018-01-01 16:00:00,near,normal,pre_outage,weekday,49,21,21,20,1,20,0,1,0,1.0,0.047619047619047616,0.047619047619047616
2018-01-01,2018-01-01 16:00:00,outer,normal,pre_outage,weekday,49,7,6,4,0,2,4,2,1,0.8571428571428571,0.2857142857142857,0.3333333333333333
2018-01-01,2018-01-01 17:00:00,core,normal,pre_outage,weekday,49,13,13,12,12,1,0,1,0,1.0,0.07692307692307693,0.07692307692307693
2018-01-01,2018-01-01 17:00:00,near,normal,pre_outage,weekday,49,24,23,23,0,23,0,0,1,0.9583333333333334,0.0,0.0
2018-01-01,2018-01-01 17:00:00,outer,normal,pre_outage,weekday,49,4,4,3,0,1,3,1,0,1.0,0.25,0.25
2018-01-01,2018-01-01 18:00:00,core,normal,pre_outage,weekday,49,12,12,6,6,6,0,6,0,1.0,0.5,0.5
2018-01-01,2018-01-01 18:00:00,near,normal,pre_outage,weekday,49,25,25,24,1,24,0,1,0,1.0,0.04,0.04
2018-01-01,2018-01-01 18:00:00,outer,normal,pre_outage,weekday,49,4,4,3,0,1,3,1,0,1.0,0.25,0.25
2018-01-01,2018-01-01 19:00:00,core,normal,pre_outage,weekday,49,7,7,7,7,0,0,0,0,1.0,0.0,0.0
2018-01-01,2018-01-01 19:00:00,near,normal,pre_outage,weekday,49,31,31,26,4,26,1,5,0,1.0,0.16129032258064516,0.16129032258064516
2018-01-01,2018-01-01 19:00:00,outer,normal,pre_outage,weekday,49,4,4,4,0,0,4,0,0,1.0,0.0,0.0
