subset,source_region,target_region,task_key,n_days,n_hour_rows,total_flow,mean_hourly_flow,variance_hourly_flow,variance_to_mean_ratio,zero_hour_rate,mean_source_present,mean_source_linkable,mean_pair_rate_among_present,mean_pair_rate_among_linkable,pearson_hourly_source_present,spearman_hourly_source_present,pearson_hourly_source_linkable,spearman_hourly_source_linkable,pearson_daily_vessels,spearman_daily_vessels,pearson_daily_source_present,spearman_daily_source_present
all,core,near,core->near,24,576,624.0,1.0833333333333333,2.163478260869565,1.997056856187291,0.5121527777777778,12.140625,12.006944444444445,0.08661970557368519,0.08716159018802691,0.22451451128395078,0.1963923138939819,0.22840606744905817,0.1975744926787084,-0.36484105847484655,-0.2305180515257808,0.23402335074905523,0.156243282979295
all,core,outer,core->outer,24,576,124.0,0.2152777777777778,0.2874879227053141,1.3354277699859751,0.8315972222222222,12.140625,12.006944444444445,0.017973031955109162,0.018077399775469627,0.06489170946298857,0.03105956828981347,0.06834774710969908,0.030805587602145,0.23849293526307985,0.3057954820078193,0.05875046662622785,-0.16623269101217902
all,near,core,near->core,24,576,633.0,1.0989583333333333,1.8667119565217392,1.6986194106738102,0.4479166666666667,24.015625,23.265625,0.043572418441613865,0.045603278088300746,0.290338477664636,0.3195595532245023,0.2815621773774633,0.31518666053604716,-0.2510973739055742,-0.14665792831432245,-0.022656414887471846,-0.11854990474170875
all,near,outer,near->outer,24,576,197.0,0.3420138888888889,0.5558665458937199,1.6252747737806226,0.7638888888888888,24.015625,23.265625,0.013153163847197146,0.013783945103340342,0.22561741747520167,0.2542374091944905,0.2171033389022156,0.2521532738651834,0.24752578297768688,0.10214669392018183,0.26468996101557946,0.13988194609625512
all,outer,core,outer->core,24,576,107.0,0.1857638888888889,0.2280404589371981,1.227582283624543,0.8506944444444444,5.428819444444445,5.109375,0.031113461191586193,0.032592706290622955,0.23550986734536483,0.1945593277624656,0.24027573793371068,0.20258255988571697,-0.17014855644300472,-0.18137325808543503,0.1507782891899761,0.16673768314231052
all,outer,near,outer->near,24,576,225.0,0.390625,0.561929347826087,1.4385391304347825,0.7239583333333334,5.428819444444445,5.109375,0.0608521542115292,0.06412865683699016,0.389873033472172,0.3836069642262421,0.4031934991607702,0.38567342400228083,0.3298518722666776,0.37271401350528177,0.3382295378800472,0.2768757636632371
degraded_period,core,near,core->near,7,168,192.0,1.1428571428571428,2.458511548331908,2.1511976047904198,0.5357142857142857,11.43452380952381,11.238095238095237,0.0922322027101439,0.09347704845341401,0.32548553593780133,0.351914893739393,0.3264878712758896,0.3484714279391429,-0.5808502506966446,-0.594618725379069,0.4895572109446648,0.03571428571428572
degraded_period,core,outer,core->outer,7,168,33.0,0.19642857142857142,0.2785500427715996,1.4180729450190526,0.8511904761904762,11.43452380952381,11.238095238095237,0.01567229310138974,0.015765038532895674,0.12109433348240103,0.08626622953163665,0.12730440735214382,0.09057885150290311,0.7852568964800238,0.7090909090909091,0.3818104032939052,0.43244998209386837
degraded_period,near,core,near->core,7,168,184.0,1.0952380952380953,1.7633304818933562,1.609997396511325,0.4642857142857143,20.154761904761905,18.80952380952381,0.05043022261466383,0.05523819527383022,0.31956342207570904,0.3173471832849832,0.3130135160557963,0.32488078060689385,-0.2956110957767713,-0.2018433569398328,0.010354860261260288,-0.0363696483726654
degraded_period,near,outer,near->outer,7,168,57.0,0.3392857142857143,0.7045551753635585,2.076583674755751,0.7916666666666666,20.154761904761905,18.80952380952381,0.014260592025929143,0.015275402646641664,0.2620229655652603,0.3170945631726852,0.26266390037023224,0.3085739709515499,0.34778662965789203,0.18181818181818182,0.5271700307154313,0.25226248955475655
degraded_period,outer,core,outer->core,7,168,32.0,0.19047619047619047,0.2629027658967779,1.3802395209580842,0.8630952380952381,5.273809523809524,4.857142857142857,0.03039212771355629,0.03227268762983049,0.2945195768454428,0.24577274660848325,0.2927636496163452,0.2576382687770459,0.1489738617618898,-0.08496617760555311,0.015776652557294147,0.09356014857063998
degraded_period,outer,near,outer->near,7,168,63.0,0.375,0.48727544910179643,1.2994011976047906,0.7202380952380952,5.273809523809524,4.857142857142857,0.059713054802340515,0.06359842208056493,0.35343084482442905,0.3910162278092746,0.36730838445702574,0.3942061565501345,0.7133313959953668,0.6422288629903771,0.767719467435932,0.6728384948943099
normal_all,core,near,core->near,17,408,432.0,1.0588235294117647,2.0456713397889867,1.9320229320229318,0.5024509803921569,12.431372549019608,12.323529411764707,0.08430867734102572,0.08456110737286752,0.16707817407894163,0.12232345554136813,0.1750260875679007,0.12530302484061973,-0.21567224212063443,-0.0860164984078207,0.12090689164965694,0.11746617466174661
normal_all,core,outer,core->outer,17,408,91.0,0.22303921568627452,0.2916546225369755,1.3076383076383076,0.8235294117647058,12.431372549019608,12.323529411764707,0.01892039501252304,0.019029548522411843,0.026526261461753502,0.005924249774105223,0.029337323117667742,0.003358139888688777,-0.10428966042659886,-0.062422167117147286,-0.4271515400300567,-0.45100956526842506
normal_all,near,core,near->core,17,408,449.0,1.1004901960784315,1.91370983282748,1.7389612734824316,0.4411764705882353,25.605392156862745,25.100490196078432,0.040748616723299165,0.04163595924720037,0.3408915358458329,0.3579125117026692,0.33383369598743845,0.3557215097226002,-0.2551672788159474,-0.17775046434261932,-0.0632432269530745,-0.16646432275053955
normal_all,near,outer,near->outer,17,408,140.0,0.3431372549019608,0.49621814327696684,1.4461214461214462,0.7524509803921569,25.605392156862745,25.100490196078432,0.012697164008895737,0.013169815526686857,0.24047903902312193,0.23040569716665985,0.22759489201488495,0.23459158482039513,0.21180829645740135,0.04148518761343478,0.20614256247341634,0.15214288334432235
normal_all,outer,core,outer->core,17,408,75.0,0.18382352941176472,0.21428313340078048,1.1657002457002457,0.8455882352941176,5.492647058823529,5.213235294117647,0.03141048085901027,0.03272447868036103,0.2005006575848938,0.17217454022415135,0.21114942352809446,0.1779493236850221,-0.2631064478175589,-0.22020860318167676,0.21637887547920331,0.2581972672476732
normal_all,outer,near,outer->near,17,408,162.0,0.39705882352941174,0.5937996820349761,1.4954954954954955,0.7254901960784313,5.492647058823529,5.213235294117647,0.061321195144724554,0.0643469887955182,0.42942701942026723,0.3819673284977489,0.44110352610422104,0.3853358286275934,0.2586788463623175,0.2654206122651445,0.2548996287488302,0.1670838146231437
normal_post_recovery,core,near,core->near,6,144,153.0,1.0625,1.8631993006993006,1.7535993418346358,0.4930555555555556,12.23611111111111,12.020833333333334,0.08463207600768875,0.08489136532947807,0.18087558739739543,0.12425926948815443,0.19810333211180886,0.1253218117081428,-0.441083956434625,-0.17654696590094993,0.34221192822065194,0.14285714285714288
normal_post_recovery,core,outer,core->outer,6,144,35.0,0.24305555555555555,0.3391122766122766,1.3952047952047952,0.8125,12.23611111111111,12.020833333333334,0.01934552715802716,0.01940865847115847,0.11507273237283745,0.09641400158458359,0.12331799343118505,0.09878550913772369,0.23209407740011917,0.23883257361061286,-0.24075717204080943,-0.20291986247835697
