source_configuration,subset,component,n_hour_rows,full_total,ablated_total,retained_total_ratio,sse_against_full,mae_against_full,mean_bias_against_full,exact_match_rate
full,all,overall,3456,1910.0,1910.0,1.0,0.0,0.0,0.0,1.0
full,all,core->near,576,624.0,624.0,1.0,0.0,0.0,0.0,1.0
full,all,core->outer,576,124.0,124.0,1.0,0.0,0.0,0.0,1.0
full,all,near->core,576,633.0,633.0,1.0,0.0,0.0,0.0,1.0
full,all,near->outer,576,197.0,197.0,1.0,0.0,0.0,0.0,1.0
full,all,outer->core,576,107.0,107.0,1.0,0.0,0.0,0.0,1.0
full,all,outer->near,576,225.0,225.0,1.0,0.0,0.0,0.0,1.0
full,pre_outage,overall,1584,881.0,881.0,1.0,0.0,0.0,0.0,1.0
full,pre_outage,core->near,264,279.0,279.0,1.0,0.0,0.0,0.0,1.0
full,pre_outage,core->outer,264,56.0,56.0,1.0,0.0,0.0,0.0,1.0
full,pre_outage,near->core,264,293.0,293.0,1.0,0.0,0.0,0.0,1.0
full,pre_outage,near->outer,264,96.0,96.0,1.0,0.0,0.0,0.0,1.0
full,pre_outage,outer->core,264,46.0,46.0,1.0,0.0,0.0,0.0,1.0
full,pre_outage,outer->near,264,111.0,111.0,1.0,0.0,0.0,0.0,1.0
full,degraded_period,overall,1008,561.0,561.0,1.0,0.0,0.0,0.0,1.0
full,degraded_period,core->near,168,192.0,192.0,1.0,0.0,0.0,0.0,1.0
full,degraded_period,core->outer,168,33.0,33.0,1.0,0.0,0.0,0.0,1.0
full,degraded_period,near->core,168,184.0,184.0,1.0,0.0,0.0,0.0,1.0
full,degraded_period,near->outer,168,57.0,57.0,1.0,0.0,0.0,0.0,1.0
full,degraded_period,outer->core,168,32.0,32.0,1.0,0.0,0.0,0.0,1.0
full,degraded_period,outer->near,168,63.0,63.0,1.0,0.0,0.0,0.0,1.0
full,post_recovery,overall,864,468.0,468.0,1.0,0.0,0.0,0.0,1.0
full,post_recovery,core->near,144,153.0,153.0,1.0,0.0,0.0,0.0,1.0
full,post_recovery,core->outer,144,35.0,35.0,1.0,0.0,0.0,0.0,1.0
full,post_recovery,near->core,144,156.0,156.0,1.0,0.0,0.0,0.0,1.0
full,post_recovery,near->outer,144,44.0,44.0,1.0,0.0,0.0,0.0,1.0
full,post_recovery,outer->core,144,29.0,29.0,1.0,0.0,0.0,0.0,1.0
full,post_recovery,outer->near,144,51.0,51.0,1.0,0.0,0.0,0.0,1.0
without_china_coastal,all,overall,3456,1910.0,1886.0,0.987434554973822,616.0,0.11689814814814815,-0.006944444444444444,0.8993055555555556
without_china_coastal,all,core->near,576,624.0,622.0,0.9967948717948718,230.0,0.21180555555555555,-0.003472222222222222,0.8315972222222222
without_china_coastal,all,core->outer,576,124.0,119.0,0.9596774193548387,33.0,0.050347222222222224,-0.008680555555555556,0.953125
without_china_coastal,all,near->core,576,633.0,622.0,0.9826224328593997,219.0,0.22743055555555555,-0.019097222222222224,0.8125
without_china_coastal,all,near->outer,576,197.0,196.0,0.9949238578680203,51.0,0.078125,-0.001736111111111111,0.9270833333333334
without_china_coastal,all,outer->core,576,107.0,111.0,1.0373831775700935,36.0,0.05555555555555555,0.006944444444444444,0.9479166666666666
without_china_coastal,all,outer->near,576,225.0,216.0,0.96,47.0,0.078125,-0.015625,0.9236111111111112
without_china_coastal,pre_outage,overall,1584,881.0,856.0,0.9716231555051078,457.0,0.16603535353535354,-0.015782828282828284,0.8636363636363636
without_china_coastal,pre_outage,core->near,264,279.0,274.0,0.982078853046595,173.0,0.2840909090909091,-0.01893939393939394,0.7916666666666666
without_china_coastal,pre_outage,core->outer,264,56.0,56.0,1.0,22.0,0.06818181818181818,0.0,0.9393939393939394
without_china_coastal,pre_outage,near->core,264,293.0,281.0,0.9590443686006825,168.0,0.3333333333333333,-0.045454545454545456,0.7386363636363636
without_china_coastal,pre_outage,near->outer,264,96.0,92.0,0.9583333333333334,32.0,0.09848484848484848,-0.015151515151515152,0.9128787878787878
without_china_coastal,pre_outage,outer->core,264,46.0,52.0,1.1304347826086956,28.0,0.09090909090909091,0.022727272727272728,0.9166666666666666
without_china_coastal,pre_outage,outer->near,264,111.0,101.0,0.9099099099099099,34.0,0.12121212121212122,-0.03787878787878788,0.8825757575757576
without_china_coastal,degraded_period,overall,1008,561.0,564.0,1.0053475935828877,21.0,0.016865079365079364,0.002976190476190476,0.9851190476190477
