predictor_method,independent_rolling_mean_mse,paired_rolling_mean_mse,independent_rolling_median_mse,paired_rolling_median_mse,independent_rolling_max_mse,paired_rolling_max_mse,independent_final_analog_sse,paired_final_analog_sse,paired_better_fold_count,independent_better_fold_count,tie_fold_count
pair_hour_mean,0.9214472840034218,0.9537027136203783,0.921900247124798,0.9623015873015873,0.9890873015873016,1.0228174603174602,793.0,815.0,0,8,0
pair_hour_fixed085,0.9217903478756773,0.9199428523904571,0.908234126984127,0.9112103174603174,1.005952380952381,0.9930555555555556,760.0,773.0,5,3,0
pair_recent14_hour,0.9157310379241518,0.9517148738237811,0.9166666666666666,0.9623015873015873,0.9890873015873016,1.0228174603174602,780.0,807.0,0,8,0
pair_recent14_fixed085,0.9240269461077845,0.9232947794886417,0.908234126984127,0.9112103174603174,1.005952380952381,0.9930555555555556,764.0,764.0,4,4,0
pair_hour_hier_tau_cv,0.9421306197129551,0.9261521599657827,0.9131944444444444,0.9154221319266229,1.0456349206349207,1.003968253968254,750.0,755.0,6,2,0
pair_hour_hier_tau_scale_cv,0.9246365899154072,0.9284890041345879,0.8998015873015873,0.8925274451097804,1.0396825396825398,1.0357142857142858,742.0,750.0,4,4,0
pair_hour_circular_cv,0.9039398880809809,0.9261536450907708,0.8950254253397967,0.92237251687102,0.9990079365079365,0.9990079365079365,766.0,776.0,1,6,1
pair_hour_circular_scale_cv,0.9270120473339036,0.9501963335234294,0.898524379811805,0.9389880952380952,1.0505952380952381,1.0426587301587302,764.0,752.0,3,5,0
present_shrunk20,0.9131283563824731,0.9415410250926718,0.9109459652124323,0.9365079365079365,0.9920634920634921,1.0257936507936507,785.0,795.0,0,8,0
present_shrunk20_scale_cv,0.9152201549282388,0.920926747695086,0.9092261904761905,0.9171626984126984,0.9990079365079365,1.0257936507936507,760.0,762.0,3,5,0
pair_hour_direction_scale_cv,0.929113499192092,0.9371792130025662,0.908234126984127,0.9243120901055033,1.0307539682539681,1.0486111111111112,762.0,764.0,3,5,0
present_shrunk20_direction_scale_cv,0.9299919506225645,0.9405266847257865,0.9129241516966068,0.9384920634920635,1.0317460317460319,1.0426587301587302,758.0,762.0,3,5,0
