predictor_method,rounding_method,model_family,rolling_mean_mse,rolling_median_mse,rolling_max_mse,rolling_mean_sse,final_analog_sse,final_analog_mse,final_analog_mean_bias,final_analog_rank,rolling_fold_win_count,selected_scale_mode,median_selected_global_scale,selected_tau_mode,selected_smoother_mode,core_to_near_total_sse,core_to_outer_total_sse,near_to_core_total_sse,near_to_outer_total_sse,outer_to_core_total_sse,outer_to_near_total_sse
pair_hour_mean,independent,direct_mean,0.9214472840034218,0.921900247124798,0.9890873015873016,928.125,793.0,0.9242424242424242,-0.06643356643356643,21,1,,,,,2768.0,385.0,2203.0,838.0,403.0,828.0
pair_hour_mean,paired,direct_mean,0.9537027136203783,0.9623015873015873,1.0228174603174602,960.625,815.0,0.9498834498834499,-0.0034965034965034965,24,0,,,,,2742.0,409.0,2316.0,864.0,408.0,946.0
pair_hour_fixed085,independent,direct_mean,0.9217903478756773,0.908234126984127,1.005952380952381,928.5,760.0,0.8857808857808858,-0.12121212121212122,8,0,,,,,2747.0,373.0,2256.0,849.0,394.0,809.0
pair_hour_fixed085,paired,direct_mean,0.9199428523904571,0.9112103174603174,0.9930555555555556,926.625,773.0,0.9009324009324009,-0.08741258741258741,17,0,,,,,2665.0,396.0,2196.0,876.0,406.0,874.0
pair_recent14_hour,independent,direct_mean,0.9157310379241518,0.9166666666666666,0.9890873015873016,922.375,780.0,0.9090909090909091,-0.10722610722610723,19,1,,,,,2689.0,385.0,2240.0,834.0,403.0,828.0
pair_recent14_hour,paired,direct_mean,0.9517148738237811,0.9623015873015873,1.0228174603174602,958.625,807.0,0.9405594405594405,-0.024475524475524476,23,0,,,,,2702.0,404.0,2344.0,864.0,423.0,932.0
pair_recent14_fixed085,independent,direct_mean,0.9240269461077845,0.908234126984127,1.005952380952381,930.75,764.0,0.8904428904428905,-0.19114219114219114,15,0,,,,,2748.0,373.0,2269.0,847.0,395.0,814.0
pair_recent14_fixed085,paired,direct_mean,0.9232947794886417,0.9112103174603174,0.9930555555555556,930.0,764.0,0.8904428904428905,-0.08624708624708624,14,0,,,,,2669.0,392.0,2223.0,879.0,420.0,857.0
pair_hour_hier_tau_cv,independent,hierarchical_mean,0.9421306197129551,0.9131944444444444,1.0456349206349207,949.0,750.0,0.8741258741258742,-0.05827505827505827,2,0,,,,,2876.0,399.0,2205.0,881.0,393.0,838.0
pair_hour_hier_tau_cv,paired,hierarchical_mean,0.9261521599657827,0.9154221319266229,1.003968253968254,932.875,755.0,0.87995337995338,-0.0034965034965034965,5,0,,,,,2601.0,395.0,2211.0,908.0,399.0,949.0
pair_hour_hier_tau_scale_cv,independent,hierarchical_mean,0.9246365899154072,0.8998015873015873,1.0396825396825398,931.375,742.0,0.8648018648018648,-0.09324009324009325,1,1,,,,,2799.0,385.0,2182.0,857.0,393.0,835.0
pair_hour_hier_tau_scale_cv,paired,hierarchical_mean,0.9284890041345879,0.8925274451097804,1.0357142857142858,935.25,750.0,0.8741258741258742,-0.06526806526806526,3,1,,,,,2778.0,382.0,2175.0,868.0,396.0,883.0
pair_hour_circular_cv,independent,circular_mean,0.9039398880809809,0.8950254253397967,0.9990079365079365,910.5,766.0,0.8927738927738927,-0.05128205128205128,16,2,,,,,2661.0,366.0,2176.0,816.0,393.0,872.0
pair_hour_circular_cv,paired,circular_mean,0.9261536450907708,0.92237251687102,0.9990079365079365,932.875,776.0,0.9044289044289044,0.004662004662004662,18,0,,,,,2624.0,395.0,2167.0,981.0,395.0,901.0
pair_hour_circular_scale_cv,independent,circular_mean,0.9270120473339036,0.898524379811805,1.0505952380952381,933.75,764.0,0.8904428904428905,-0.016317016317016316,13,1,,,,,2766.0,380.0,2180.0,868.0,394.0,882.0
pair_hour_circular_scale_cv,paired,circular_mean,0.9501963335234294,0.9389880952380952,1.0426587301587302,957.125,752.0,0.8764568764568764,-0.023310023310023312,4,0,,,,,2865.0,396.0,2166.0,919.0,393.0,918.0
present_shrunk20,independent,present_transition,0.9131283563824731,0.9109459652124323,0.9920634920634921,919.75,785.0,0.914918414918415,-0.05944055944055944,20,0,,,,,2720.0,373.0,2189.0,838.0,398.0,840.0
present_shrunk20,paired,present_transition,0.9415410250926718,0.9365079365079365,1.0257936507936507,948.375,795.0,0.9265734265734266,0.0034965034965034965,22,0,,,,,2695.0,404.0,2289.0,875.0,419.0,905.0
present_shrunk20_scale_cv,independent,present_transition,0.9152201549282388,0.9092261904761905,0.9990079365079365,921.875,760.0,0.8857808857808858,-0.12121212121212122,7,0,,,,,2744.0,371.0,2202.0,851.0,393.0,814.0
present_shrunk20_scale_cv,paired,present_transition,0.920926747695086,0.9171626984126984,1.0257936507936507,927.625,762.0,0.8881118881118881,-0.11421911421911422,9,2,,,,,2717.0,391.0,2198.0,824.0,401.0,890.0
pair_hour_direction_scale_cv,independent,direct_mean,0.929113499192092,0.908234126984127,1.0307539682539681,935.875,762.0,0.8881118881118881,-0.14918414918414918,10,0,,,,,2820.0,373.0,2196.0,851.0,393.0,854.0
pair_hour_direction_scale_cv,paired,direct_mean,0.9371792130025662,0.9243120901055033,1.0486111111111112,944.0,764.0,0.8904428904428905,-0.11421911421911422,12,0,,,,,2775.0,405.0,2199.0,896.0,398.0,879.0
present_shrunk20_direction_scale_cv,independent,present_transition,0.9299919506225645,0.9129241516966068,1.0317460317460319,936.75,758.0,0.8834498834498834,-0.11421911421911422,6,0,,,,,2805.0,378.0,2205.0,854.0,394.0,858.0
present_shrunk20_direction_scale_cv,paired,present_transition,0.9405266847257865,0.9384920634920635,1.0426587301587302,947.375,762.0,0.8881118881118881,-0.1282051282051282,11,0,,,,,2738.0,387.0,2224.0,902.0,408.0,920.0
