evaluation_id,evaluation_type,rounding_method,predictor_method,task_key,tau,smoother,scale,n_inner_splits,inner_validation_dates,inner_sse_rounded,inner_sse_float,inner_mae_rounded,mean_bias_rounded,selected
fold_01,rolling_7d,independent,pair_hour_hier_tau_cv,all,0.0,,,3,"2018-01-07,2018-01-08,2018-01-09",537.0,478.60379535147393,0.6134259259259259,-0.04398148148148148,False
fold_01,rolling_7d,independent,pair_hour_hier_tau_cv,all,5.0,,,3,"2018-01-07,2018-01-08,2018-01-09",456.0,414.5808590679296,0.587962962962963,-0.06944444444444443,False
fold_01,rolling_7d,independent,pair_hour_hier_tau_cv,all,10.0,,,3,"2018-01-07,2018-01-08,2018-01-09",445.0,402.9952760597206,0.5856481481481481,-0.07175925925925926,False
fold_01,rolling_7d,independent,pair_hour_hier_tau_cv,all,20.0,,,3,"2018-01-07,2018-01-08,2018-01-09",430.0,399.56407917309105,0.5648148148148149,-0.10648148148148147,False
fold_01,rolling_7d,independent,pair_hour_hier_tau_cv,all,50.0,,,3,"2018-01-07,2018-01-08,2018-01-09",427.0,401.8871172082107,0.5486111111111112,-0.16898148148148148,True
fold_01,rolling_7d,independent,pair_hour_hier_tau_cv,all,100.0,,,3,"2018-01-07,2018-01-08,2018-01-09",433.0,404.37889291507616,0.5439814814814815,-0.19675925925925927,False
fold_01,rolling_7d,paired,pair_hour_hier_tau_cv,all,0.0,,,3,"2018-01-07,2018-01-08,2018-01-09",546.0,478.60379535147393,0.6435185185185185,0.009259259259259259,False
fold_01,rolling_7d,paired,pair_hour_hier_tau_cv,all,5.0,,,3,"2018-01-07,2018-01-08,2018-01-09",447.0,414.5808590679296,0.6087962962962963,0.025462962962962965,False
fold_01,rolling_7d,paired,pair_hour_hier_tau_cv,all,10.0,,,3,"2018-01-07,2018-01-08,2018-01-09",425.0,402.9952760597206,0.5995370370370371,0.020833333333333332,True
fold_01,rolling_7d,paired,pair_hour_hier_tau_cv,all,20.0,,,3,"2018-01-07,2018-01-08,2018-01-09",442.0,399.56407917309105,0.6157407407407408,0.009259259259259264,False
