predictor_method,rounding_method,model_family,base_window,uses_hour_hierarchy,uses_circular_smoothing,uses_global_scale,uses_direction_scale,uses_present_structure,requires_inner_selection,deployable
pair_hour_mean,independent,direct_mean,long,False,False,False,False,False,False,True
pair_hour_mean,paired,direct_mean,long,False,False,False,False,False,False,True
pair_hour_fixed085,independent,direct_mean,long,False,False,True,False,False,False,True
pair_hour_fixed085,paired,direct_mean,long,False,False,True,False,False,False,True
pair_recent14_hour,independent,direct_mean,recent14,False,False,False,False,False,False,True
pair_recent14_hour,paired,direct_mean,recent14,False,False,False,False,False,False,True
pair_recent14_fixed085,independent,direct_mean,recent14,False,False,True,False,False,False,True
pair_recent14_fixed085,paired,direct_mean,recent14,False,False,True,False,False,False,True
pair_hour_hier_tau_cv,independent,hierarchical_mean,long,True,False,False,False,False,True,True
pair_hour_hier_tau_cv,paired,hierarchical_mean,long,True,False,False,False,False,True,True
pair_hour_hier_tau_scale_cv,independent,hierarchical_mean,long,True,False,True,False,False,True,True
pair_hour_hier_tau_scale_cv,paired,hierarchical_mean,long,True,False,True,False,False,True,True
pair_hour_circular_cv,independent,circular_mean,long,False,True,False,False,False,True,True
pair_hour_circular_cv,paired,circular_mean,long,False,True,False,False,False,True,True
pair_hour_circular_scale_cv,independent,circular_mean,long,False,True,True,False,False,True,True
pair_hour_circular_scale_cv,paired,circular_mean,long,False,True,True,False,False,True,True
present_shrunk20,independent,present_transition,long,False,False,False,False,True,False,True
present_shrunk20,paired,present_transition,long,False,False,False,False,True,False,True
present_shrunk20_scale_cv,independent,present_transition,long,False,False,True,False,True,True,True
present_shrunk20_scale_cv,paired,present_transition,long,False,False,True,False,True,True,True
pair_hour_direction_scale_cv,independent,direct_mean,long,False,False,False,True,False,True,True
pair_hour_direction_scale_cv,paired,direct_mean,long,False,False,False,True,False,True,True
present_shrunk20_direction_scale_cv,independent,present_transition,long,False,False,False,True,True,True,True
present_shrunk20_direction_scale_cv,paired,present_transition,long,False,False,False,True,True,True,True
