row_number,time_window,old_order_zone,new_source_row_zone,output_zone,old_a_vessel_count,new_a_vessel_count,output_vessel_count,new_a_original_row_number,zone_position_changed,value_matches_new_a,output_order_matches_old_a
1,1/25/2018 0:00,外围区,核心区,外围区,1,1,1,3,True,True,True
2,1/25/2018 0:00,核心区,近港区,核心区,4,6,6,1,True,True,True
3,1/25/2018 0:00,近港区,外围区,近港区,2,4,4,2,True,True,True
4,1/25/2018 1:00,外围区,核心区,外围区,1,1,1,6,True,True,True
5,1/25/2018 1:00,核心区,近港区,核心区,2,2,2,4,True,True,True
6,1/25/2018 1:00,近港区,外围区,近港区,1,1,1,5,True,True,True
7,1/25/2018 2:00,外围区,核心区,外围区,1,1,1,9,True,True,True
8,1/25/2018 2:00,核心区,近港区,核心区,4,5,5,7,True,True,True
9,1/25/2018 2:00,近港区,外围区,近港区,2,2,2,8,True,True,True
10,1/25/2018 3:00,外围区,核心区,外围区,1,1,1,12,True,True,True
11,1/25/2018 3:00,核心区,近港区,核心区,6,9,9,10,True,True,True
12,1/25/2018 3:00,近港区,外围区,近港区,3,4,4,11,True,True,True
13,1/25/2018 4:00,外围区,核心区,外围区,1,2,2,15,True,True,True
14,1/25/2018 4:00,核心区,近港区,核心区,5,6,6,13,True,True,True
15,1/25/2018 4:00,近港区,外围区,近港区,2,2,2,14,True,True,True
16,1/25/2018 5:00,外围区,核心区,外围区,1,2,2,18,True,True,True
17,1/25/2018 5:00,核心区,近港区,核心区,2,3,3,16,True,True,True
18,1/25/2018 5:00,近港区,外围区,近港区,1,2,2,17,True,True,True
19,1/25/2018 6:00,外围区,核心区,外围区,1,1,1,21,True,True,True
20,1/25/2018 6:00,核心区,近港区,核心区,6,8,8,19,True,True,True
21,1/25/2018 6:00,近港区,外围区,近港区,2,4,4,20,True,True,True
22,1/25/2018 7:00,外围区,核心区,外围区,2,2,2,24,True,True,True
23,1/25/2018 7:00,核心区,近港区,核心区,7,9,9,22,True,True,True
24,1/25/2018 7:00,近港区,外围区,近港区,5,6,6,23,True,True,True
25,1/25/2018 8:00,外围区,核心区,外围区,2,2,2,27,True,True,True
26,1/25/2018 8:00,核心区,近港区,核心区,5,6,6,25,True,True,True
27,1/25/2018 8:00,近港区,外围区,近港区,4,5,5,26,True,True,True
28,1/25/2018 9:00,外围区,核心区,外围区,3,3,3,30,True,True,True
29,1/25/2018 9:00,核心区,近港区,核心区,3,4,4,28,True,True,True
30,1/25/2018 9:00,近港区,外围区,近港区,3,3,3,29,True,True,True
31,1/25/2018 10:00,外围区,核心区,外围区,2,3,3,33,True,True,True
32,1/25/2018 10:00,核心区,近港区,核心区,6,8,8,31,True,True,True
33,1/25/2018 10:00,近港区,外围区,近港区,5,6,6,32,True,True,True
34,1/25/2018 11:00,外围区,核心区,外围区,2,3,3,36,True,True,True
35,1/25/2018 11:00,核心区,近港区,核心区,7,10,10,34,True,True,True
36,1/25/2018 11:00,近港区,外围区,近港区,6,7,7,35,True,True,True
37,1/25/2018 12:00,外围区,核心区,外围区,3,3,3,39,True,True,True
38,1/25/2018 12:00,核心区,近港区,核心区,6,8,8,37,True,True,True
39,1/25/2018 12:00,近港区,外围区,近港区,4,5,5,38,True,True,True
40,1/25/2018 13:00,外围区,核心区,外围区,2,4,4,42,True,True,True
41,1/25/2018 13:00,核心区,近港区,核心区,4,5,5,40,True,True,True
42,1/25/2018 13:00,近港区,外围区,近港区,3,4,4,41,True,True,True
43,1/25/2018 14:00,外围区,核心区,外围区,2,2,2,45,True,True,True
44,1/25/2018 14:00,核心区,近港区,核心区,5,7,7,43,True,True,True
45,1/25/2018 14:00,近港区,外围区,近港区,4,5,5,44,True,True,True
46,1/25/2018 15:00,外围区,核心区,外围区,2,2,2,48,True,True,True
47,1/25/2018 15:00,核心区,近港区,核心区,6,10,10,46,True,True,True
48,1/25/2018 15:00,近港区,外围区,近港区,6,8,8,47,True,True,True
49,1/25/2018 16:00,外围区,核心区,外围区,2,2,2,51,True,True,True
50,1/25/2018 16:00,核心区,近港区,核心区,5,7,7,49,True,True,True
51,1/25/2018 16:00,近港区,外围区,近港区,4,5,5,50,True,True,True
52,1/25/2018 17:00,外围区,核心区,外围区,1,2,2,54,True,True,True
53,1/25/2018 17:00,核心区,近港区,核心区,4,5,5,52,True,True,True
54,1/25/2018 17:00,近港区,外围区,近港区,2,3,3,53,True,True,True
55,1/25/2018 18:00,外围区,核心区,外围区,1,2,2,57,True,True,True
56,1/25/2018 18:00,核心区,近港区,核心区,6,8,8,55,True,True,True
57,1/25/2018 18:00,近港区,外围区,近港区,4,5,5,56,True,True,True
58,1/25/2018 19:00,外围区,核心区,外围区,1,1,1,60,True,True,True
59,1/25/2018 19:00,核心区,近港区,核心区,8,12,12,58,True,True,True
60,1/25/2018 19:00,近港区,外围区,近港区,6,9,9,59,True,True,True
61,1/25/2018 20:00,外围区,核心区,外围区,2,2,2,63,True,True,True
62,1/25/2018 20:00,核心区,近港区,核心区,5,8,8,61,True,True,True
63,1/25/2018 20:00,近港区,外围区,近港区,4,6,6,62,True,True,True
64,1/25/2018 21:00,外围区,核心区,外围区,2,3,3,66,True,True,True
65,1/25/2018 21:00,核心区,近港区,核心区,2,4,4,64,True,True,True
66,1/25/2018 21:00,近港区,外围区,近港区,2,2,2,65,True,True,True
67,1/25/2018 22:00,外围区,核心区,外围区,1,1,1,69,True,True,True
68,1/25/2018 22:00,核心区,近港区,核心区,5,7,7,67,True,True,True
69,1/25/2018 22:00,近港区,外围区,近港区,2,3,3,68,True,True,True
70,1/25/2018 23:00,外围区,核心区,外围区,1,1,1,72,True,True,True
71,1/25/2018 23:00,核心区,近港区,核心区,6,10,10,70,True,True,True
72,1/25/2018 23:00,近港区,外围区,近港区,4,6,6,71,True,True,True
