date,pair,audit_quality_regime,period,day_type,T,mean_X,std_X,cv_X,zero_hour_count,peak_hour,net_flow_daily,abs_net_flow,r_daily
2018-01-01,core_near,normal,pre_outage,weekday,58.0,2.4166666666666665,2.5861952356891873,1.070149752698974,6,6,-2.0,2.0,0.4827586206896552
2018-01-02,core_near,normal,pre_outage,weekday,46.0,1.9166666666666667,1.8630658852422861,0.9720343749090188,6,18,-2.0,2.0,0.4782608695652174
2018-01-03,core_near,normal,pre_outage,weekday,66.0,2.75,2.0054274183910974,0.7292463339603991,4,22,2.0,2.0,0.5151515151515151
2018-01-04,core_near,normal,pre_outage,weekday,54.0,2.25,1.7257638510425513,0.7670061560189116,6,11,-2.0,2.0,0.48148148148148145
2018-01-05,core_near,normal,pre_outage,weekday,52.0,2.1666666666666665,1.9486152645597752,0.899360891335281,6,18,-4.0,4.0,0.46153846153846156
2018-01-06,core_near,normal,pre_outage,weekend,31.0,1.2916666666666667,1.3981094896064241,1.0824073467920703,8,7,1.0,1.0,0.5161290322580645
2018-01-07,core_near,normal,pre_outage,weekend,59.0,2.4583333333333335,2.021174145771767,0.8221725338732611,6,2,1.0,1.0,0.5084745762711864
2018-01-08,core_near,normal,pre_outage,weekday,37.0,1.5416666666666667,1.5030162910010298,0.974929486054722,7,15,1.0,1.0,0.5135135135135135
2018-01-09,core_near,normal,pre_outage,weekday,51.0,2.125,1.895360468182194,0.8919343379680913,8,4,-9.0,9.0,0.4117647058823529
2018-01-10,core_near,normal,pre_outage,weekday,64.0,2.6666666666666665,1.9034674690672027,0.7138003009002011,3,3,0.0,0.0,0.5
2018-01-11,core_near,normal,pre_outage,weekday,54.0,2.25,1.9167454300136626,0.8518868577838501,4,11,0.0,0.0,0.5
2018-01-12,core_near,reduced,degraded_period,weekday,57.0,2.375,2.102017664262022,0.8850600691629565,5,15,-5.0,5.0,0.45614035087719296
2018-01-13,core_near,outage,degraded_period,weekend,55.0,2.2916666666666665,1.7062332443303203,0.7445381429805035,4,14,-1.0,1.0,0.4909090909090909
2018-01-14,core_near,outage,degraded_period,weekend,31.0,1.2916666666666667,1.9666605256597811,1.5225758908333789,13,7,5.0,5.0,0.5806451612903226
2018-01-15,core_near,outage,degraded_period,weekday,56.0,2.3333333333333335,2.5650945684180018,1.099326243607715,10,18,0.0,0.0,0.5
2018-01-16,core_near,outage,degraded_period,weekday,43.0,1.7916666666666667,1.5597983890531344,0.8705851473784936,7,6,3.0,3.0,0.5348837209302325
2018-01-17,core_near,severe,degraded_period,weekday,71.0,2.9583333333333335,1.9219366742195607,0.6496687349474571,4,10,5.0,5.0,0.5352112676056338
2018-01-18,core_near,severe,degraded_period,weekday,63.0,2.625,2.242136015732203,0.8541470536122678,5,7,1.0,1.0,0.5079365079365079
2018-01-19,core_near,normal,post_recovery,weekday,39.0,1.625,1.7398775569112552,1.070693881176157,9,13,1.0,1.0,0.5128205128205128
2018-01-20,core_near,normal,post_recovery,weekend,56.0,2.3333333333333335,1.7362294645648624,0.7440983419563696,4,11,4.0,4.0,0.5357142857142857
2018-01-21,core_near,normal,post_recovery,weekend,54.0,2.25,1.4218787326754636,0.6319461034113172,2,19,-10.0,10.0,0.4074074074074074
2018-01-22,core_near,normal,post_recovery,weekday,36.0,1.5,1.7693034738587656,1.179535649239177,10,18,0.0,0.0,0.5
2018-01-23,core_near,normal,post_recovery,weekday,57.0,2.375,1.3452816094393218,0.5664343618691882,3,6,1.0,1.0,0.5087719298245614
2018-01-24,core_near,normal,post_recovery,weekday,67.0,2.9130434782608696,2.574579285635561,0.8838107995465359,3,20,1.0,1.0,0.5074626865671642
2018-01-01,near_outer,normal,pre_outage,weekday,19.0,0.7916666666666666,0.8329709356935241,1.0521738135076095,10,9,-3.0,3.0,0.42105263157894735
2018-01-02,near_outer,normal,pre_outage,weekday,27.0,1.125,1.0759222535351585,0.9563753364756964,8,10,-1.0,1.0,0.48148148148148145
2018-01-03,near_outer,normal,pre_outage,weekday,16.0,0.6666666666666666,0.6370220572706061,0.9555330859059092,10,13,0.0,0.0,0.5
2018-01-04,near_outer,normal,pre_outage,weekday,18.0,0.75,0.9440891630699332,1.2587855507599108,12,7,-4.0,4.0,0.3888888888888889
2018-01-05,near_outer,normal,pre_outage,weekday,18.0,0.75,0.8469895538599198,1.1293194051465598,11,15,-2.0,2.0,0.4444444444444444
2018-01-06,near_outer,normal,pre_outage,weekend,26.0,1.0833333333333333,1.4116492564332,1.3030608520921847,10,11,4.0,4.0,0.5769230769230769
2018-01-07,near_outer,normal,pre_outage,weekend,14.0,0.5833333333333334,0.7755316082290384,1.3294827569640657,14,8,-2.0,2.0,0.42857142857142855
2018-01-08,near_outer,normal,pre_outage,weekday,15.0,0.625,1.0134958870382644,1.6215934192612231,15,13,-5.0,5.0,0.3333333333333333
2018-01-09,near_outer,normal,pre_outage,weekday,23.0,0.9583333333333334,1.3014763077790332,1.3580622342042086,12,7,-1.0,1.0,0.4782608695652174
2018-01-10,near_outer,normal,pre_outage,weekday,9.0,0.375,0.6468989572333266,1.7250638859555376,17,7,-1.0,1.0,0.4444444444444444
2018-01-11,near_outer,normal,pre_outage,weekday,22.0,0.9166666666666666,1.3486439781165913,1.4712479761271906,13,10,0.0,0.0,0.5
2018-01-12,near_outer,reduced,degraded_period,weekday,17.0,0.7083333333333334,0.954584665735822,1.3476489398623368,13,5,-3.0,3.0,0.4117647058823529
2018-01-13,near_outer,outage,degraded_period,weekend,20.0,0.8333333333333334,1.3405601251996728,1.6086721502396073,12,8,-2.0,2.0,0.45
2018-01-14,near_outer,outage,degraded_period,weekend,17.0,0.7083333333333334,1.0417028979206266,1.4706393852997082,14,9,-1.0,1.0,0.47058823529411764
2018-01-15,near_outer,outage,degraded_period,weekday,10.0,0.4166666666666667,0.6538625481582945,1.5692701155799067,16,12,-4.0,4.0,0.3
2018-01-16,near_outer,outage,degraded_period,weekday,26.0,1.0833333333333333,1.665941871387048,1.5377924966649674,12,8,4.0,4.0,0.5769230769230769
2018-01-17,near_outer,severe,degraded_period,weekday,12.0,0.5,0.7801894976054939,1.5603789952109879,15,20,0.0,0.0,0.5
2018-01-18,near_outer,severe,degraded_period,weekday,18.0,0.75,0.8968544062928813,1.195805875057175,12,9,0.0,0.0,0.5
2018-01-19,near_outer,normal,post_recovery,weekday,15.0,0.625,0.8242255917447338,1.318760946791574,13,19,1.0,1.0,0.5333333333333333
2018-01-20,near_outer,normal,post_recovery,weekend,25.0,1.0416666666666667,1.545798419465872,1.483966482687237,14,8,-11.0,11.0,0.28
2018-01-21,near_outer,normal,post_recovery,weekend,23.0,0.9583333333333334,1.3666578295932037,1.4260777352276908,12,15,-1.0,1.0,0.4782608695652174
2018-01-22,near_outer,normal,post_recovery,weekday,5.0,0.20833333333333334,0.4148511169990534,1.9912853615954562,19,3,1.0,1.0,0.6
2018-01-23,near_outer,normal,post_recovery,weekday,13.0,0.5416666666666666,0.883627241233132,1.6313118299688592,15,7,1.0,1.0,0.5384615384615384
2018-01-24,near_outer,normal,post_recovery,weekday,14.0,0.6086956521739131,0.7827184815397383,1.2858946482438558,12,8,2.0,2.0,0.5714285714285714
2018-01-01,core_outer,normal,pre_outage,weekday,5.0,0.20833333333333334,0.4148511169990534,1.9912853615954562,19,5,1.0,1.0,0.6
2018-01-02,core_outer,normal,pre_outage,weekday,13.0,0.5416666666666666,0.883627241233132,1.6313118299688592,16,6,-3.0,3.0,0.38461538461538464
2018-01-03,core_outer,normal,pre_outage,weekday,10.0,0.4166666666666667,0.7172815023567723,1.7214756056562535,16,10,4.0,4.0,0.7
2018-01-04,core_outer,normal,pre_outage,weekday,8.0,0.3333333333333333,0.8681147322824311,2.6043441968472933,19,6,0.0,0.0,0.5
2018-01-05,core_outer,normal,pre_outage,weekday,6.0,0.25,0.531609533071195,2.12643813228478,19,15,0.0,0.0,0.5
2018-01-06,core_outer,normal,pre_outage,weekend,7.0,0.2916666666666667,0.750603621828092,2.5734981319820296,20,12,-1.0,1.0,0.42857142857142855
2018-01-07,core_outer,normal,pre_outage,weekend,6.0,0.25,0.4423258684646914,1.7693034738587656,18,2,2.0,2.0,0.6666666666666666
2018-01-08,core_outer,normal,pre_outage,weekday,10.0,0.4166666666666667,0.6538625481582945,1.5692701155799067,16,7,0.0,0.0,0.5
2018-01-09,core_outer,normal,pre_outage,weekday,16.0,0.6666666666666666,0.8681147322824312,1.302172098423647,13,6,4.0,4.0,0.625
2018-01-10,core_outer,normal,pre_outage,weekday,9.0,0.375,0.6468989572333266,1.7250638859555376,17,3,3.0,3.0,0.6666666666666666
2018-01-11,core_outer,normal,pre_outage,weekday,12.0,0.5,0.8340576562282991,1.6681153124565982,16,18,0.0,0.0,0.5
2018-01-12,core_outer,reduced,degraded_period,weekday,12.0,0.5,0.7223151185146152,1.4446302370292303,15,9,4.0,4.0,0.6666666666666666
2018-01-13,core_outer,outage,degraded_period,weekend,13.0,0.5416666666666666,0.8329709356935241,1.5377924966649676,15,6,5.0,5.0,0.6923076923076923
2018-01-14,core_outer,outage,degraded_period,weekend,8.0,0.3333333333333333,0.6370220572706061,1.9110661718118185,18,7,-2.0,2.0,0.375
2018-01-15,core_outer,outage,degraded_period,weekday,6.0,0.25,0.531609533071195,2.12643813228478,19,9,-2.0,2.0,0.3333333333333333
2018-01-16,core_outer,outage,degraded_period,weekday,12.0,0.5,0.9325048082403138,1.8650096164806276,17,6,-2.0,2.0,0.4166666666666667
2018-01-17,core_outer,severe,degraded_period,weekday,5.0,0.20833333333333334,0.5882299658752717,2.823503836201304,21,5,-1.0,1.0,0.4
