date,hour,hour_of_day,dayofweek,day_type,audit_quality_regime,period,pair,y_ab,y_ba,X,r,F,T_daily,p
2018-01-01,2018-01-01 00:00:00,0,0,weekday,normal,pre_outage,core_near,0,0,0,,0,58,0.0
2018-01-01,2018-01-01 01:00:00,1,0,weekday,normal,pre_outage,core_near,0,0,0,,0,58,0.0
2018-01-01,2018-01-01 02:00:00,2,0,weekday,normal,pre_outage,core_near,1,2,3,0.3333333333333333,-1,58,0.05172413793103448
2018-01-01,2018-01-01 03:00:00,3,0,weekday,normal,pre_outage,core_near,2,0,2,1.0,2,58,0.034482758620689655
2018-01-01,2018-01-01 04:00:00,4,0,weekday,normal,pre_outage,core_near,0,2,2,0.0,-2,58,0.034482758620689655
2018-01-01,2018-01-01 05:00:00,5,0,weekday,normal,pre_outage,core_near,0,0,0,,0,58,0.0
2018-01-01,2018-01-01 06:00:00,6,0,weekday,normal,pre_outage,core_near,9,0,9,1.0,9,58,0.15517241379310345
2018-01-01,2018-01-01 07:00:00,7,0,weekday,normal,pre_outage,core_near,0,8,8,0.0,-8,58,0.13793103448275862
2018-01-01,2018-01-01 08:00:00,8,0,weekday,normal,pre_outage,core_near,1,1,2,0.5,0,58,0.034482758620689655
2018-01-01,2018-01-01 09:00:00,9,0,weekday,normal,pre_outage,core_near,0,0,0,,0,58,0.0
2018-01-01,2018-01-01 10:00:00,10,0,weekday,normal,pre_outage,core_near,2,1,3,0.6666666666666666,1,58,0.05172413793103448
2018-01-01,2018-01-01 11:00:00,11,0,weekday,normal,pre_outage,core_near,0,2,2,0.0,-2,58,0.034482758620689655
2018-01-01,2018-01-01 12:00:00,12,0,weekday,normal,pre_outage,core_near,0,0,0,,0,58,0.0
2018-01-01,2018-01-01 13:00:00,13,0,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,58,0.017241379310344827
2018-01-01,2018-01-01 14:00:00,14,0,weekday,normal,pre_outage,core_near,4,1,5,0.8,3,58,0.08620689655172414
2018-01-01,2018-01-01 15:00:00,15,0,weekday,normal,pre_outage,core_near,0,1,1,0.0,-1,58,0.017241379310344827
2018-01-01,2018-01-01 16:00:00,16,0,weekday,normal,pre_outage,core_near,1,1,2,0.5,0,58,0.034482758620689655
