date,pair,net_flow_daily,cum_net_flow
2018-01-01,core_near,-2.0,-2.0
2018-01-02,core_near,-2.0,-4.0
2018-01-03,core_near,2.0,-2.0
2018-01-04,core_near,-2.0,-4.0
2018-01-05,core_near,-4.0,-8.0
2018-01-06,core_near,1.0,-7.0
2018-01-07,core_near,1.0,-6.0
2018-01-08,core_near,1.0,-5.0
2018-01-09,core_near,-9.0,-14.0
2018-01-10,core_near,0.0,-14.0
2018-01-11,core_near,0.0,-14.0
2018-01-12,core_near,-5.0,-19.0
2018-01-13,core_near,-1.0,-20.0
2018-01-14,core_near,5.0,-15.0
2018-01-15,core_near,0.0,-15.0
2018-01-16,core_near,3.0,-12.0
2018-01-17,core_near,5.0,-7.0
2018-01-18,core_near,1.0,-6.0
2018-01-19,core_near,1.0,-5.0
2018-01-20,core_near,4.0,-1.0
2018-01-21,core_near,-10.0,-11.0
2018-01-22,core_near,0.0,-11.0
2018-01-23,core_near,1.0,-10.0
2018-01-24,core_near,1.0,-9.0
2018-01-01,near_outer,-3.0,-3.0
2018-01-02,near_outer,-1.0,-4.0
2018-01-03,near_outer,0.0,-4.0
2018-01-04,near_outer,-4.0,-8.0
2018-01-05,near_outer,-2.0,-10.0
2018-01-06,near_outer,4.0,-6.0
2018-01-07,near_outer,-2.0,-8.0
2018-01-08,near_outer,-5.0,-13.0
2018-01-09,near_outer,-1.0,-14.0
2018-01-10,near_outer,-1.0,-15.0
2018-01-11,near_outer,0.0,-15.0
2018-01-12,near_outer,-3.0,-18.0
2018-01-13,near_outer,-2.0,-20.0
2018-01-14,near_outer,-1.0,-21.0
2018-01-15,near_outer,-4.0,-25.0
2018-01-16,near_outer,4.0,-21.0
2018-01-17,near_outer,0.0,-21.0
2018-01-18,near_outer,0.0,-21.0
2018-01-19,near_outer,1.0,-20.0
2018-01-20,near_outer,-11.0,-31.0
2018-01-21,near_outer,-1.0,-32.0
2018-01-22,near_outer,1.0,-31.0
2018-01-23,near_outer,1.0,-30.0
2018-01-24,near_outer,2.0,-28.0
2018-01-01,core_outer,1.0,1.0
2018-01-02,core_outer,-3.0,-2.0
2018-01-03,core_outer,4.0,2.0
2018-01-04,core_outer,0.0,2.0
2018-01-05,core_outer,0.0,2.0
2018-01-06,core_outer,-1.0,1.0
2018-01-07,core_outer,2.0,3.0
2018-01-08,core_outer,0.0,3.0
2018-01-09,core_outer,4.0,7.0
2018-01-10,core_outer,3.0,10.0
2018-01-11,core_outer,0.0,10.0
2018-01-12,core_outer,4.0,14.0
2018-01-13,core_outer,5.0,19.0
2018-01-14,core_outer,-2.0,17.0
2018-01-15,core_outer,-2.0,15.0
2018-01-16,core_outer,-2.0,13.0
2018-01-17,core_outer,-1.0,12.0
2018-01-18,core_outer,-1.0,11.0
2018-01-19,core_outer,1.0,12.0
2018-01-20,core_outer,2.0,14.0
2018-01-21,core_outer,2.0,16.0
2018-01-22,core_outer,1.0,17.0
2018-01-23,core_outer,1.0,18.0
2018-01-24,core_outer,-1.0,17.0
