evaluation_id,evaluation_type,method,n_prediction_rows,n_scored_rows,sse_float,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,actual_total,predicted_total,rolling_rank
final_analog,final_analog,circular3_all,864,858,698.7019909543338,766.0,0.8927738927738927,0.5407925407925408,-0.05128205128205128,468.0,424.0,
final_analog,final_analog,hybrid_core_near_bypaircv,864,858,706.8887309659392,746.0,0.8694638694638694,0.5314685314685315,-0.05827505827505827,468.0,418.0,
final_analog,final_analog,hybrid_core_near_default,864,858,709.2142619303248,746.0,0.8694638694638694,0.5268065268065268,-0.07226107226107226,468.0,406.0,
final_analog,final_analog,hybrid_core_near_globalcv,864,858,706.8887309659392,746.0,0.8694638694638694,0.5314685314685315,-0.05827505827505827,468.0,418.0,
fold_01,rolling_7d,circular3_all,1008,1008,912.8457407407408,1007.0,0.9990079365079365,0.564484126984127,-0.09623015873015874,559.0,462.0,4.0
fold_01,rolling_7d,hybrid_core_near_bypaircv,1008,1008,925.7570978263464,943.0,0.935515873015873,0.5446428571428571,-0.09623015873015874,559.0,462.0,2.0
fold_01,rolling_7d,hybrid_core_near_default,1008,1008,919.7220383351221,963.0,0.9553571428571429,0.5466269841269841,-0.09623015873015874,559.0,462.0,3.0
fold_01,rolling_7d,hybrid_core_near_globalcv,1008,1008,925.1126962214091,937.0,0.9295634920634921,0.5505952380952381,-0.08234126984126984,559.0,476.0,1.0
fold_02,rolling_7d,circular3_all,1008,1008,903.3389772727273,967.0,0.9593253968253969,0.5565476190476191,-0.08432539682539683,561.0,476.0,4.0
fold_02,rolling_7d,hybrid_core_near_bypaircv,1008,1008,923.1196687024051,962.0,0.9543650793650794,0.5634920634920635,-0.07738095238095238,561.0,483.0,3.0
fold_02,rolling_7d,hybrid_core_near_default,1008,1008,906.5748529503431,955.0,0.9474206349206349,0.5565476190476191,-0.08432539682539683,561.0,476.0,2.0
fold_02,rolling_7d,hybrid_core_near_globalcv,1008,1008,914.3591220302909,926.0,0.9186507936507936,0.5496031746031746,-0.07738095238095238,561.0,483.0,1.0
fold_03,rolling_7d,circular3_all,1008,1008,850.0387037993572,914.0,0.9067460317460317,0.5436507936507936,-0.05952380952380952,536.0,476.0,1.0
