evaluation_id,evaluation_type,method,forecast_horizon,n_scored_rows,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded
fold_01,rolling_7d,circular3_all,1,144,146.0,1.0138888888888888,0.5555555555555556,-0.1527777777777778
fold_01,rolling_7d,circular3_all,2,144,152.0,1.0555555555555556,0.5694444444444444,-0.1388888888888889
fold_01,rolling_7d,circular3_all,3,144,150.0,1.0416666666666667,0.5555555555555556,-0.1527777777777778
fold_01,rolling_7d,circular3_all,4,144,124.0,0.8611111111111112,0.5555555555555556,0.06944444444444445
fold_01,rolling_7d,circular3_all,5,144,158.0,1.0972222222222223,0.5694444444444444,-0.041666666666666664
fold_01,rolling_7d,circular3_all,6,144,117.0,0.8125,0.5208333333333334,-0.10416666666666667
fold_01,rolling_7d,circular3_all,7,144,160.0,1.1111111111111112,0.625,-0.1527777777777778
fold_01,rolling_7d,hybrid_core_near_default,1,144,140.0,0.9722222222222222,0.5416666666666666,-0.1527777777777778
fold_01,rolling_7d,hybrid_core_near_default,2,144,144.0,1.0,0.5555555555555556,-0.1388888888888889
fold_01,rolling_7d,hybrid_core_near_default,3,144,136.0,0.9444444444444444,0.5416666666666666,-0.1527777777777778
fold_01,rolling_7d,hybrid_core_near_default,4,144,136.0,0.9444444444444444,0.5555555555555556,0.06944444444444445
fold_01,rolling_7d,hybrid_core_near_default,5,144,148.0,1.0277777777777777,0.5416666666666666,-0.041666666666666664
fold_01,rolling_7d,hybrid_core_near_default,6,144,111.0,0.7708333333333334,0.4930555555555556,-0.10416666666666667
fold_01,rolling_7d,hybrid_core_near_default,7,144,148.0,1.0277777777777777,0.5972222222222222,-0.1527777777777778
fold_01,rolling_7d,hybrid_core_near_globalcv,1,144,144.0,1.0,0.5555555555555556,-0.1388888888888889
fold_01,rolling_7d,hybrid_core_near_globalcv,2,144,132.0,0.9166666666666666,0.5555555555555556,-0.125
fold_01,rolling_7d,hybrid_core_near_globalcv,3,144,130.0,0.9027777777777778,0.5416666666666666,-0.1388888888888889
fold_01,rolling_7d,hybrid_core_near_globalcv,4,144,138.0,0.9583333333333334,0.5694444444444444,0.08333333333333333
fold_01,rolling_7d,hybrid_core_near_globalcv,5,144,140.0,0.9722222222222222,0.5416666666666666,-0.027777777777777776
fold_01,rolling_7d,hybrid_core_near_globalcv,6,144,113.0,0.7847222222222222,0.5069444444444444,-0.09027777777777778
fold_01,rolling_7d,hybrid_core_near_globalcv,7,144,140.0,0.9722222222222222,0.5833333333333334,-0.1388888888888889
fold_01,rolling_7d,hybrid_core_near_bypaircv,1,144,148.0,1.0277777777777777,0.5555555555555556,-0.1527777777777778
fold_01,rolling_7d,hybrid_core_near_bypaircv,2,144,136.0,0.9444444444444444,0.5555555555555556,-0.1388888888888889
fold_01,rolling_7d,hybrid_core_near_bypaircv,3,144,128.0,0.8888888888888888,0.5277777777777778,-0.1527777777777778
fold_01,rolling_7d,hybrid_core_near_bypaircv,4,144,136.0,0.9444444444444444,0.5555555555555556,0.06944444444444445
fold_01,rolling_7d,hybrid_core_near_bypaircv,5,144,138.0,0.9583333333333334,0.5277777777777778,-0.041666666666666664
fold_01,rolling_7d,hybrid_core_near_bypaircv,6,144,115.0,0.7986111111111112,0.5069444444444444,-0.10416666666666667
fold_01,rolling_7d,hybrid_core_near_bypaircv,7,144,142.0,0.9861111111111112,0.5833333333333334,-0.1527777777777778
fold_02,rolling_7d,circular3_all,1,144,144.0,1.0,0.5416666666666666,-0.125
fold_02,rolling_7d,circular3_all,2,144,142.0,0.9861111111111112,0.5277777777777778,-0.1388888888888889
fold_02,rolling_7d,circular3_all,3,144,126.0,0.875,0.5555555555555556,0.08333333333333333
fold_02,rolling_7d,circular3_all,4,144,154.0,1.0694444444444444,0.5555555555555556,-0.027777777777777776
fold_02,rolling_7d,circular3_all,5,144,127.0,0.8819444444444444,0.5486111111111112,-0.09027777777777778
fold_02,rolling_7d,circular3_all,6,144,144.0,1.0,0.5833333333333334,-0.1388888888888889
fold_02,rolling_7d,circular3_all,7,144,130.0,0.9027777777777778,0.5833333333333334,-0.1527777777777778
fold_02,rolling_7d,hybrid_core_near_default,1,144,138.0,0.9583333333333334,0.5555555555555556,-0.125
fold_02,rolling_7d,hybrid_core_near_default,2,144,136.0,0.9444444444444444,0.5277777777777778,-0.1388888888888889
fold_02,rolling_7d,hybrid_core_near_default,3,144,138.0,0.9583333333333334,0.5694444444444444,0.08333333333333333
fold_02,rolling_7d,hybrid_core_near_default,4,144,144.0,1.0,0.5416666666666666,-0.027777777777777776
fold_02,rolling_7d,hybrid_core_near_default,5,144,119.0,0.8263888888888888,0.5347222222222222,-0.09027777777777778
fold_02,rolling_7d,hybrid_core_near_default,6,144,142.0,0.9861111111111112,0.5694444444444444,-0.1388888888888889
fold_02,rolling_7d,hybrid_core_near_default,7,144,138.0,0.9583333333333334,0.5972222222222222,-0.1527777777777778
fold_02,rolling_7d,hybrid_core_near_globalcv,1,144,131.0,0.9097222222222222,0.5486111111111112,-0.11805555555555555
fold_02,rolling_7d,hybrid_core_near_globalcv,2,144,123.0,0.8541666666666666,0.5069444444444444,-0.13194444444444445
fold_02,rolling_7d,hybrid_core_near_globalcv,3,144,141.0,0.9791666666666666,0.5763888888888888,0.09027777777777778
fold_02,rolling_7d,hybrid_core_near_globalcv,4,144,139.0,0.9652777777777778,0.5347222222222222,-0.020833333333333332
fold_02,rolling_7d,hybrid_core_near_globalcv,5,144,120.0,0.8333333333333334,0.5277777777777778,-0.08333333333333333
fold_02,rolling_7d,hybrid_core_near_globalcv,6,144,131.0,0.9097222222222222,0.5486111111111112,-0.13194444444444445
fold_02,rolling_7d,hybrid_core_near_globalcv,7,144,141.0,0.9791666666666666,0.6041666666666666,-0.14583333333333334
fold_02,rolling_7d,hybrid_core_near_bypaircv,1,144,135.0,0.9375,0.5486111111111112,-0.11805555555555555
fold_02,rolling_7d,hybrid_core_near_bypaircv,2,144,137.0,0.9513888888888888,0.5347222222222222,-0.13194444444444445
fold_02,rolling_7d,hybrid_core_near_bypaircv,3,144,137.0,0.9513888888888888,0.5625,0.09027777777777778
fold_02,rolling_7d,hybrid_core_near_bypaircv,4,144,147.0,1.0208333333333333,0.5625,-0.020833333333333332
fold_02,rolling_7d,hybrid_core_near_bypaircv,5,144,126.0,0.875,0.5555555555555556,-0.08333333333333333
fold_02,rolling_7d,hybrid_core_near_bypaircv,6,144,141.0,0.9791666666666666,0.5763888888888888,-0.13194444444444445
fold_02,rolling_7d,hybrid_core_near_bypaircv,7,144,139.0,0.9652777777777778,0.6041666666666666,-0.14583333333333334
fold_03,rolling_7d,circular3_all,1,144,136.0,0.9444444444444444,0.5277777777777778,-0.1388888888888889
fold_03,rolling_7d,circular3_all,2,144,132.0,0.9166666666666666,0.5694444444444444,0.08333333333333333
fold_03,rolling_7d,circular3_all,3,144,142.0,0.9861111111111112,0.5416666666666666,-0.027777777777777776
fold_03,rolling_7d,circular3_all,4,144,129.0,0.8958333333333334,0.5347222222222222,-0.09027777777777778
fold_03,rolling_7d,circular3_all,5,144,138.0,0.9583333333333334,0.5694444444444444,-0.1388888888888889
fold_03,rolling_7d,circular3_all,6,144,136.0,0.9444444444444444,0.5972222222222222,-0.1527777777777778
fold_03,rolling_7d,circular3_all,7,144,101.0,0.7013888888888888,0.4652777777777778,0.04861111111111111
fold_03,rolling_7d,hybrid_core_near_default,1,144,136.0,0.9444444444444444,0.5277777777777778,-0.1527777777777778
fold_03,rolling_7d,hybrid_core_near_default,2,144,140.0,0.9722222222222222,0.5694444444444444,0.06944444444444445
fold_03,rolling_7d,hybrid_core_near_default,3,144,148.0,1.0277777777777777,0.5416666666666666,-0.041666666666666664
fold_03,rolling_7d,hybrid_core_near_default,4,144,125.0,0.8680555555555556,0.5208333333333334,-0.10416666666666667
fold_03,rolling_7d,hybrid_core_near_default,5,144,140.0,0.9722222222222222,0.5694444444444444,-0.1527777777777778
fold_03,rolling_7d,hybrid_core_near_default,6,144,132.0,0.9166666666666666,0.5833333333333334,-0.16666666666666666
fold_03,rolling_7d,hybrid_core_near_default,7,144,105.0,0.7291666666666666,0.4791666666666667,0.034722222222222224
fold_03,rolling_7d,hybrid_core_near_globalcv,1,144,138.0,0.9583333333333334,0.5416666666666666,-0.1388888888888889
fold_03,rolling_7d,hybrid_core_near_globalcv,2,144,142.0,0.9861111111111112,0.5833333333333334,0.08333333333333333
fold_03,rolling_7d,hybrid_core_near_globalcv,3,144,150.0,1.0416666666666667,0.5555555555555556,-0.027777777777777776
fold_03,rolling_7d,hybrid_core_near_globalcv,4,144,123.0,0.8541666666666666,0.5208333333333334,-0.09027777777777778
fold_03,rolling_7d,hybrid_core_near_globalcv,5,144,138.0,0.9583333333333334,0.5694444444444444,-0.1388888888888889
fold_03,rolling_7d,hybrid_core_near_globalcv,6,144,134.0,0.9305555555555556,0.5972222222222222,-0.1527777777777778
fold_03,rolling_7d,hybrid_core_near_globalcv,7,144,107.0,0.7430555555555556,0.4930555555555556,0.04861111111111111
fold_03,rolling_7d,hybrid_core_near_bypaircv,1,144,138.0,0.9583333333333334,0.5416666666666666,-0.1388888888888889
fold_03,rolling_7d,hybrid_core_near_bypaircv,2,144,142.0,0.9861111111111112,0.5833333333333334,0.08333333333333333
fold_03,rolling_7d,hybrid_core_near_bypaircv,3,144,150.0,1.0416666666666667,0.5555555555555556,-0.027777777777777776
fold_03,rolling_7d,hybrid_core_near_bypaircv,4,144,123.0,0.8541666666666666,0.5208333333333334,-0.09027777777777778
fold_03,rolling_7d,hybrid_core_near_bypaircv,5,144,138.0,0.9583333333333334,0.5694444444444444,-0.1388888888888889
fold_03,rolling_7d,hybrid_core_near_bypaircv,6,144,134.0,0.9305555555555556,0.5972222222222222,-0.1527777777777778
fold_03,rolling_7d,hybrid_core_near_bypaircv,7,144,107.0,0.7430555555555556,0.4930555555555556,0.04861111111111111
