method,block,target_start,target_end,n_scored_rows,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded
circular3_all,nonoverlap_block_1,2018-01-11,2018-01-17,1008,1007.0,0.9990079365079365,0.564484126984127,-0.09623015873015874
circular3_all,nonoverlap_block_2,2018-01-18,2018-01-24,1002,897.0,0.8952095808383234,0.5399201596806387,-0.07684630738522955
circular3_all,nonoverlap_combined,2018-01-11,2018-01-24,2010,1904.0,0.9472636815920398,0.5522388059701493,-0.08656716417910448
hybrid_core_near_default,nonoverlap_block_1,2018-01-11,2018-01-17,1008,963.0,0.9553571428571429,0.5466269841269841,-0.09623015873015874
hybrid_core_near_default,nonoverlap_block_2,2018-01-18,2018-01-24,1002,893.0,0.8912175648702595,0.5299401197604791,-0.09081836327345309
hybrid_core_near_default,nonoverlap_combined,2018-01-11,2018-01-24,2010,1856.0,0.9233830845771144,0.5383084577114428,-0.09353233830845771
hybrid_core_near_globalcv,nonoverlap_block_1,2018-01-11,2018-01-17,1008,937.0,0.9295634920634921,0.5505952380952381,-0.08234126984126984
hybrid_core_near_globalcv,nonoverlap_block_2,2018-01-18,2018-01-24,1002,898.0,0.8962075848303394,0.5369261477045908,-0.06986027944111776
hybrid_core_near_globalcv,nonoverlap_combined,2018-01-11,2018-01-24,2010,1835.0,0.9129353233830846,0.5437810945273632,-0.07611940298507462
hybrid_core_near_bypaircv,nonoverlap_block_1,2018-01-11,2018-01-17,1008,943.0,0.935515873015873,0.5446428571428571,-0.09623015873015874
hybrid_core_near_bypaircv,nonoverlap_block_2,2018-01-18,2018-01-24,1002,894.0,0.8922155688622755,0.5389221556886228,-0.06986027944111776
hybrid_core_near_bypaircv,nonoverlap_combined,2018-01-11,2018-01-24,2010,1837.0,0.9139303482587064,0.5417910447761194,-0.08308457711442786
