row_number,time_window,source_zone,target_zone,task_key,baseline_vessel_count,hybrid_vessel_count,difference,was_replaced,value_unchanged_when_not_replaced
1,1/25/2018 0:00,核心区,近港区,core->near,0,0,0,True,True
2,1/25/2018 0:00,核心区,外围区,core->outer,0,0,0,False,True
3,1/25/2018 0:00,近港区,核心区,near->core,1,1,0,True,True
4,1/25/2018 0:00,近港区,外围区,near->outer,0,0,0,False,True
5,1/25/2018 0:00,外围区,核心区,outer->core,0,0,0,False,True
6,1/25/2018 0:00,外围区,近港区,outer->near,0,0,0,False,True
7,1/25/2018 1:00,核心区,近港区,core->near,1,1,0,True,True
8,1/25/2018 1:00,核心区,外围区,core->outer,0,0,0,False,True
9,1/25/2018 1:00,近港区,核心区,near->core,0,0,0,True,True
10,1/25/2018 1:00,近港区,外围区,near->outer,0,0,0,False,True
11,1/25/2018 1:00,外围区,核心区,outer->core,0,0,0,False,True
12,1/25/2018 1:00,外围区,近港区,outer->near,0,0,0,False,True
13,1/25/2018 2:00,核心区,近港区,core->near,1,1,0,True,True
14,1/25/2018 2:00,核心区,外围区,core->outer,0,0,0,False,True
15,1/25/2018 2:00,近港区,核心区,near->core,1,1,0,True,True
16,1/25/2018 2:00,近港区,外围区,near->outer,0,0,0,False,True
17,1/25/2018 2:00,外围区,核心区,outer->core,0,0,0,False,True
18,1/25/2018 2:00,外围区,近港区,outer->near,0,0,0,False,True
19,1/25/2018 3:00,核心区,近港区,core->near,1,1,0,True,True
20,1/25/2018 3:00,核心区,外围区,core->outer,0,0,0,False,True
21,1/25/2018 3:00,近港区,核心区,near->core,1,1,0,True,True
22,1/25/2018 3:00,近港区,外围区,near->outer,0,0,0,False,True
23,1/25/2018 3:00,外围区,核心区,outer->core,0,0,0,False,True
24,1/25/2018 3:00,外围区,近港区,outer->near,0,0,0,False,True
25,1/25/2018 4:00,核心区,近港区,core->near,1,0,-1,True,True
26,1/25/2018 4:00,核心区,外围区,core->outer,0,0,0,False,True
27,1/25/2018 4:00,近港区,核心区,near->core,1,1,0,True,True
28,1/25/2018 4:00,近港区,外围区,near->outer,0,0,0,False,True
29,1/25/2018 4:00,外围区,核心区,outer->core,0,0,0,False,True
30,1/25/2018 4:00,外围区,近港区,outer->near,0,0,0,False,True
