evaluation_id,evaluation_type,method,task_key,n_scored_rows,actual_total,predicted_total,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded
fold_01,rolling_7d,baseline_confirmed_structure,core->near,168,187.0,168.0,401.0,2.386904761904762,1.1607142857142858,-0.1130952380952381
fold_01,rolling_7d,baseline_confirmed_structure,near->core,168,180.0,168.0,294.0,1.75,0.9880952380952381,-0.07142857142857142
fold_01,rolling_7d,baseline_confirmed_structure,near->outer,168,59.0,7.0,140.0,0.8333333333333334,0.35714285714285715,-0.30952380952380953
fold_01,rolling_7d,baseline_confirmed_structure,outer->near,168,65.0,35.0,104.0,0.6190476190476191,0.44047619047619047,-0.17857142857142858
fold_01,rolling_7d,baseline_confirmed_structure,core->outer,168,35.0,0.0,57.0,0.3392857142857143,0.20833333333333334,-0.20833333333333334
fold_01,rolling_7d,baseline_confirmed_structure,outer->core,168,33.0,0.0,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142
fold_01,rolling_7d,hybrid_confirmed_core_near,core->near,168,187.0,175.0,330.0,1.9642857142857142,1.0,-0.07142857142857142
fold_01,rolling_7d,hybrid_confirmed_core_near,near->core,168,180.0,175.0,309.0,1.8392857142857142,0.9821428571428571,-0.02976190476190476
fold_01,rolling_7d,hybrid_confirmed_core_near,near->outer,168,59.0,7.0,140.0,0.8333333333333334,0.35714285714285715,-0.30952380952380953
fold_01,rolling_7d,hybrid_confirmed_core_near,outer->near,168,65.0,35.0,104.0,0.6190476190476191,0.44047619047619047,-0.17857142857142858
fold_01,rolling_7d,hybrid_confirmed_core_near,core->outer,168,35.0,0.0,57.0,0.3392857142857143,0.20833333333333334,-0.20833333333333334
fold_01,rolling_7d,hybrid_confirmed_core_near,outer->core,168,33.0,0.0,51.0,0.30357142857142855,0.19642857142857142,-0.19642857142857142
fold_02,rolling_7d,baseline_confirmed_structure,core->near,168,192.0,168.0,414.0,2.4642857142857144,1.2142857142857142,-0.14285714285714285
fold_02,rolling_7d,baseline_confirmed_structure,near->core,168,184.0,168.0,296.0,1.7619047619047619,1.0238095238095237,-0.09523809523809523
fold_02,rolling_7d,baseline_confirmed_structure,near->outer,168,57.0,0.0,137.0,0.8154761904761905,0.3392857142857143,-0.3392857142857143
fold_02,rolling_7d,baseline_confirmed_structure,outer->near,168,63.0,21.0,98.0,0.5833333333333334,0.39285714285714285,-0.25
fold_02,rolling_7d,baseline_confirmed_structure,core->outer,168,33.0,0.0,53.0,0.31547619047619047,0.19642857142857142,-0.19642857142857142
fold_02,rolling_7d,baseline_confirmed_structure,outer->core,168,32.0,0.0,50.0,0.2976190476190476,0.19047619047619047,-0.19047619047619047
fold_02,rolling_7d,hybrid_confirmed_core_near,core->near,168,192.0,175.0,373.0,2.2202380952380953,1.1369047619047619,-0.10119047619047619
fold_02,rolling_7d,hybrid_confirmed_core_near,near->core,168,184.0,189.0,283.0,1.6845238095238095,1.0178571428571428,0.02976190476190476
fold_02,rolling_7d,hybrid_confirmed_core_near,near->outer,168,57.0,0.0,137.0,0.8154761904761905,0.3392857142857143,-0.3392857142857143
fold_02,rolling_7d,hybrid_confirmed_core_near,outer->near,168,63.0,21.0,98.0,0.5833333333333334,0.39285714285714285,-0.25
fold_02,rolling_7d,hybrid_confirmed_core_near,core->outer,168,33.0,0.0,53.0,0.31547619047619047,0.19642857142857142,-0.19642857142857142
fold_02,rolling_7d,hybrid_confirmed_core_near,outer->core,168,32.0,0.0,50.0,0.2976190476190476,0.19047619047619047,-0.19047619047619047
fold_03,rolling_7d,baseline_confirmed_structure,core->near,168,186.0,182.0,384.0,2.2857142857142856,1.2023809523809523,-0.023809523809523808
fold_03,rolling_7d,baseline_confirmed_structure,near->core,168,172.0,175.0,275.0,1.6369047619047619,0.9940476190476191,0.017857142857142856
fold_03,rolling_7d,baseline_confirmed_structure,near->outer,168,58.0,21.0,127.0,0.7559523809523809,0.3392857142857143,-0.22023809523809523
fold_03,rolling_7d,baseline_confirmed_structure,outer->near,168,60.0,49.0,81.0,0.48214285714285715,0.3630952380952381,-0.06547619047619048
fold_03,rolling_7d,baseline_confirmed_structure,core->outer,168,29.0,0.0,45.0,0.26785714285714285,0.17261904761904762,-0.17261904761904762
fold_03,rolling_7d,baseline_confirmed_structure,outer->core,168,31.0,0.0,49.0,0.2916666666666667,0.18452380952380953,-0.18452380952380953
fold_03,rolling_7d,hybrid_confirmed_core_near,core->near,168,186.0,182.0,354.0,2.107142857142857,1.1071428571428572,-0.023809523809523808
