row_number,time_window,source_zone,target_zone,task_key,baseline_vessel_count,step17_hybrid_vessel_count,candidate08_vessel_count,candidate08_difference_from_baseline,step17_difference_from_baseline,is_core_to_near,is_near_to_core,was_replaced,passed
1,1/25/2018 0:00,核心区,近港区,core->near,0,0,0,0,0,True,False,True,True
2,1/25/2018 0:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
3,1/25/2018 0:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
4,1/25/2018 0:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
5,1/25/2018 0:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
6,1/25/2018 0:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
7,1/25/2018 1:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
8,1/25/2018 1:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
9,1/25/2018 1:00,近港区,核心区,near->core,0,0,0,0,0,False,True,False,True
10,1/25/2018 1:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
11,1/25/2018 1:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
12,1/25/2018 1:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
13,1/25/2018 2:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
14,1/25/2018 2:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
15,1/25/2018 2:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
16,1/25/2018 2:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
17,1/25/2018 2:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
18,1/25/2018 2:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
19,1/25/2018 3:00,核心区,近港区,core->near,1,1,1,0,0,True,False,True,True
20,1/25/2018 3:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
21,1/25/2018 3:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
22,1/25/2018 3:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
23,1/25/2018 3:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
24,1/25/2018 3:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
25,1/25/2018 4:00,核心区,近港区,core->near,1,0,0,-1,-1,True,False,True,True
26,1/25/2018 4:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
27,1/25/2018 4:00,近港区,核心区,near->core,1,1,1,0,0,False,True,False,True
28,1/25/2018 4:00,近港区,外围区,near->outer,0,0,0,0,0,False,False,False,True
29,1/25/2018 4:00,外围区,核心区,outer->core,0,0,0,0,0,False,False,False,True
30,1/25/2018 4:00,外围区,近港区,outer->near,0,0,0,0,0,False,False,False,True
31,1/25/2018 5:00,核心区,近港区,core->near,0,0,0,0,0,True,False,True,True
32,1/25/2018 5:00,核心区,外围区,core->outer,0,0,0,0,0,False,False,False,True
