task,date,prediction_total,prediction_mean,prediction_max,zero_prediction_count
A,2018-01-25,321,4.458333333333333,12,0
A,2018-01-26,321,4.458333333333333,12,0
A,2018-01-27,318,4.416666666666667,12,0
A,2018-01-28,318,4.416666666666667,12,0
A,2018-01-29,321,4.458333333333333,12,0
A,2018-01-30,321,4.458333333333333,12,0
A,2018-01-31,321,4.458333333333333,12,0
B,2018-01-25,60,0.4166666666666667,2,89
B,2018-01-26,60,0.4166666666666667,2,89
B,2018-01-27,60,0.4166666666666667,2,89
B,2018-01-28,60,0.4166666666666667,2,89
B,2018-01-29,60,0.4166666666666667,2,89
B,2018-01-30,60,0.4166666666666667,2,89
B,2018-01-31,60,0.4166666666666667,2,89
