evaluation_id,evaluation_type,method,n_scored_rows,sse_rounded,mse_rounded,mae_rounded,mean_bias_rounded,actual_total,predicted_total
final_analog,final_analog,core_near_plus_near_outer_circular,858,736.0,0.8578088578088578,0.5198135198135199,-0.08624708624708624,468.0,394.0
final_analog,final_analog,current_core_near_hybrid,858,738.0,0.8601398601398601,0.5174825174825175,-0.09324009324009325,468.0,388.0
fold_01,rolling_7d,core_near_plus_near_outer_circular,1008,976.0,0.9682539682539683,0.5376984126984127,-0.14484126984126985,559.0,413.0
fold_01,rolling_7d,current_core_near_hybrid,1008,991.0,0.9831349206349206,0.5307539682539683,-0.16567460317460317,559.0,392.0
fold_02,rolling_7d,core_near_plus_near_outer_circular,1008,971.0,0.9632936507936508,0.5505952380952381,-0.13988095238095238,561.0,420.0
fold_02,rolling_7d,current_core_near_hybrid,1008,994.0,0.9861111111111112,0.5456349206349206,-0.1746031746031746,561.0,385.0
fold_03,rolling_7d,core_near_plus_near_outer_circular,1008,916.0,0.9087301587301587,0.5297619047619048,-0.0873015873015873,536.0,448.0
fold_03,rolling_7d,current_core_near_hybrid,1008,928.0,0.9206349206349206,0.5238095238095238,-0.10119047619047619,536.0,434.0
fold_04,rolling_7d,core_near_plus_near_outer_circular,1008,886.0,0.878968253968254,0.5357142857142857,-0.08531746031746032,541.0,455.0
fold_04,rolling_7d,current_core_near_hybrid,1008,885.0,0.8779761904761905,0.5327380952380952,-0.09226190476190477,541.0,448.0
fold_05,rolling_7d,core_near_plus_near_outer_circular,1008,902.0,0.8948412698412699,0.5456349206349206,-0.1111111111111111,574.0,462.0
fold_05,rolling_7d,current_core_near_hybrid,1008,897.0,0.8898809523809523,0.5367063492063492,-0.13194444444444445,574.0,441.0
fold_06,rolling_7d,core_near_plus_near_outer_circular,1008,847.0,0.8402777777777778,0.5307539682539683,-0.09821428571428571,554.0,455.0
fold_06,rolling_7d,current_core_near_hybrid,1008,843.0,0.8363095238095238,0.5248015873015873,-0.11210317460317461,554.0,441.0
fold_07,rolling_7d,core_near_plus_near_outer_circular,1008,825.0,0.8184523809523809,0.5228174603174603,-0.10416666666666667,560.0,455.0
fold_07,rolling_7d,current_core_near_hybrid,1008,825.0,0.8184523809523809,0.5188492063492064,-0.11805555555555555,560.0,441.0
fold_08,rolling_7d,core_near_plus_near_outer_circular,1002,884.0,0.8822355289421158,0.5249500998003992,-0.09780439121756487,558.0,460.0
fold_08,rolling_7d,current_core_near_hybrid,1002,885.0,0.8832335329341318,0.5219560878243513,-0.1187624750499002,558.0,439.0
