hour_of_day,raw_hour_mean,triangular3_smoothed_mean,rounded_prediction,baseline_prediction,difference,training_observation_count
0,0.20833333333333334,0.2653985507246377,0,0,0,24
1,0.16666666666666666,0.14583333333333331,0,0,0,24
2,0.041666666666666664,0.16666666666666669,0,0,0,24
3,0.4166666666666667,0.2604166666666667,0,0,0,24
4,0.16666666666666666,0.20833333333333334,0,0,0,24
5,0.08333333333333333,0.11458333333333333,0,0,0,24
6,0.125,0.22916666666666669,0,0,0,24
7,0.5833333333333334,0.5416666666666667,1,0,1,24
8,0.875,0.7291666666666667,1,1,0,24
9,0.5833333333333334,0.6041666666666667,1,0,1,24
10,0.375,0.53125,1,0,1,24
11,0.7916666666666666,0.625,1,1,0,24
12,0.5416666666666666,0.5,0,0,0,24
13,0.125,0.25,0,0,0,24
14,0.20833333333333334,0.2604166666666667,0,0,0,24
15,0.5,0.34375,0,0,0,24
16,0.16666666666666666,0.3020833333333333,0,0,0,24
17,0.375,0.23958333333333331,0,0,0,24
18,0.041666666666666664,0.375,0,0,0,24
19,1.0416666666666667,0.6145833333333334,1,1,0,24
20,0.3333333333333333,0.42708333333333337,0,0,0,24
21,0.0,0.08333333333333333,0,0,0,24
22,0.0,0.11956521739130435,0,0,0,24
23,0.4782608695652174,0.291213768115942,0,0,0,23
