source_region,hour,destination_1,destination_2,n_positive_outflow_cells,total_outflow,destination_1_total,destination_2_total,destination_1_share,share_standard_error,share_distance_from_global,is_global_row
core,all,near,outer,322,748.0,624.0,124.0,0.8342245989304813,0.013597239293452955,0.0,True
core,0,near,outer,1,1.0,0.0,1.0,0.0,0.0,0.8342245989304813,False
core,1,near,outer,5,9.0,9.0,0.0,1.0,0.0,0.1657754010695187,False
core,2,near,outer,16,33.0,32.0,1.0,0.9696969696969697,0.029840361449535197,0.13547237076648844,False
core,3,near,outer,16,30.0,21.0,9.0,0.7,0.08366600265340757,0.13422459893048133,False
core,4,near,outer,5,13.0,11.0,2.0,0.8461538461538461,0.10006825162892168,0.011929247223364858,False
core,5,near,outer,8,12.0,7.0,5.0,0.5833333333333334,0.14231876063832777,0.2508912655971479,False
core,6,near,outer,21,79.0,55.0,24.0,0.6962025316455697,0.051742371366523744,0.13802206728491162,False
core,7,near,outer,20,50.0,35.0,15.0,0.7,0.06480740698407861,0.13422459893048133,False
core,8,near,outer,16,23.0,15.0,8.0,0.6521739130434783,0.09931134621220186,0.18205068588700302,False
core,9,near,outer,13,23.0,22.0,1.0,0.9565217391304348,0.04252257799320223,0.12229714019995352,False
core,10,near,outer,20,56.0,51.0,5.0,0.9107142857142857,0.03810553379155525,0.07648968678380441,False
core,11,near,outer,21,46.0,36.0,10.0,0.782608695652174,0.06081553097219437,0.05161590327830734,False
core,12,near,outer,13,20.0,15.0,5.0,0.75,0.09682458365518543,0.08422459893048129,False
core,13,near,outer,11,24.0,20.0,4.0,0.8333333333333334,0.07607257743127306,0.0008912655971479166,False
core,14,near,outer,22,59.0,56.0,3.0,0.9491525423728814,0.028600697419485527,0.1149279434424001,False
core,15,near,outer,17,38.0,32.0,6.0,0.8421052631578947,0.05915278809989647,0.007880664227413403,False
core,16,near,outer,12,19.0,17.0,2.0,0.8947368421052632,0.07040590042736196,0.06051224317478188,False
core,17,near,outer,11,18.0,16.0,2.0,0.8888888888888888,0.07407407407407408,0.05466428995840755,False
core,18,near,outer,18,60.0,59.0,1.0,0.9833333333333333,0.016527194200715044,0.149108734402852,False
core,19,near,outer,14,41.0,30.0,11.0,0.7317073170731707,0.06919603104625983,0.10251728185731057,False
core,20,near,outer,4,6.0,5.0,1.0,0.8333333333333334,0.15214515486254612,0.0008912655971479166,False
core,21,near,outer,7,11.0,11.0,0.0,1.0,0.0,0.1657754010695187,False
core,22,near,outer,18,48.0,45.0,3.0,0.9375,0.034938562148434216,0.10327540106951871,False
