date,source_region,daily_outflow,daily_destination_1,daily_destination_2,destination_1_share,mean_present_stock,mean_linkable_stock,mean_present_outflow_rate,mean_linkable_outflow_rate,is_normal_date,day_type
2018-01-01,core,31.0,28.0,3.0,0.9032258064516129,13.416666666666666,13.333333333333334,0.09024534493284493,0.09024534493284493,True,weekday
2018-01-01,near,38.0,30.0,8.0,0.7894736842105263,21.375,21.125,0.0663531604658484,0.06733684864251903,True,weekday
2018-01-01,outer,13.0,2.0,11.0,0.15384615384615385,4.041666666666667,3.9583333333333335,0.12232142857142857,0.1257936507936508,True,weekday
2018-01-02,core,27.0,22.0,5.0,0.8148148148148148,12.791666666666666,12.708333333333334,0.08863778765094554,0.08956371357687147,True,weekday
2018-01-02,near,37.0,24.0,13.0,0.6486486486486487,25.625,25.375,0.056671148962785405,0.05746384519786126,True,weekday
2018-01-02,outer,22.0,8.0,14.0,0.36363636363636365,6.166666666666667,5.958333333333333,0.13348214285714285,0.13625992063492062,True,weekday
2018-01-03,core,41.0,34.0,7.0,0.8292682926829268,12.875,12.875,0.13153382905221142,0.13153382905221142,True,weekday
2018-01-03,near,40.0,32.0,8.0,0.8,27.208333333333332,26.75,0.05785941964327821,0.05883753160825058,True,weekday
2018-01-03,outer,11.0,3.0,8.0,0.2727272727272727,5.25,5.0,0.07549603174603174,0.07926587301587303,True,weekday
2018-01-04,core,30.0,26.0,4.0,0.8666666666666667,12.166666666666666,12.083333333333334,0.10206581612831613,0.10293387168387169,True,weekday
2018-01-04,near,35.0,28.0,7.0,0.8,27.5,27.208333333333332,0.050051513960023414,0.05076594105677348,True,weekday
2018-01-04,outer,15.0,4.0,11.0,0.26666666666666666,5.125,4.666666666666667,0.11378968253968254,0.12509920634920635,True,weekday
2018-01-05,core,27.0,24.0,3.0,0.8888888888888888,13.583333333333334,13.458333333333334,0.08161872849372849,0.08259275446775448,True,weekday
2018-01-05,near,36.0,28.0,8.0,0.7777777777777778,28.0,27.666666666666668,0.05101267333036292,0.051468667046160564,True,weekday
2018-01-05,outer,13.0,3.0,10.0,0.23076923076923078,5.125,4.833333333333333,0.09146825396825398,0.09910714285714284,True,weekday
2018-01-06,core,19.0,16.0,3.0,0.8421052631578947,12.333333333333334,12.333333333333334,0.06691768879268879,0.06691768879268879,True,weekend
