date,hour,source_region,source_outflow,destination_1,destination_1_count,destination_2,destination_2_count,destination_1_share,present_stock,linkable_stock,present_outflow_rate,linkable_outflow_rate,is_complete_label,is_normal_date,hour_of_day
2018-01-01,2018-01-01 00:00:00,core,0.0,near,0.0,outer,0.0,,14.0,14.0,0.0,0.0,True,True,0
2018-01-01,2018-01-01 00:00:00,near,0.0,core,0.0,outer,0.0,,19.0,19.0,0.0,0.0,True,True,0
2018-01-01,2018-01-01 00:00:00,outer,0.0,core,0.0,near,0.0,,2.0,2.0,0.0,0.0,True,True,0
2018-01-01,2018-01-01 01:00:00,core,0.0,near,0.0,outer,0.0,,14.0,14.0,0.0,0.0,True,True,1
2018-01-01,2018-01-01 01:00:00,near,0.0,core,0.0,outer,0.0,,19.0,19.0,0.0,0.0,True,True,1
2018-01-01,2018-01-01 01:00:00,outer,1.0,core,0.0,near,1.0,0.0,2.0,2.0,0.5,0.5,True,True,1
2018-01-01,2018-01-01 02:00:00,core,1.0,near,1.0,outer,0.0,1.0,14.0,14.0,0.07142857142857142,0.07142857142857142,True,True,2
2018-01-01,2018-01-01 02:00:00,near,2.0,core,2.0,outer,0.0,1.0,20.0,20.0,0.1,0.1,True,True,2
2018-01-01,2018-01-01 02:00:00,outer,0.0,core,0.0,near,0.0,,1.0,1.0,0.0,0.0,True,True,2
2018-01-01,2018-01-01 03:00:00,core,2.0,near,2.0,outer,0.0,1.0,15.0,15.0,0.13333333333333333,0.13333333333333333,True,True,3
2018-01-01,2018-01-01 03:00:00,near,1.0,core,0.0,outer,1.0,0.0,19.0,19.0,0.05263157894736842,0.05263157894736842,True,True,3
2018-01-01,2018-01-01 03:00:00,outer,0.0,core,0.0,near,0.0,,1.0,1.0,0.0,0.0,True,True,3
2018-01-01,2018-01-01 04:00:00,core,0.0,near,0.0,outer,0.0,,13.0,13.0,0.0,0.0,True,True,4
2018-01-01,2018-01-01 04:00:00,near,2.0,core,2.0,outer,0.0,1.0,20.0,20.0,0.1,0.1,True,True,4
2018-01-01,2018-01-01 04:00:00,outer,0.0,core,0.0,near,0.0,,2.0,2.0,0.0,0.0,True,True,4
2018-01-01,2018-01-01 05:00:00,core,0.0,near,0.0,outer,0.0,,15.0,15.0,0.0,0.0,True,True,5
2018-01-01,2018-01-01 05:00:00,near,0.0,core,0.0,outer,0.0,,18.0,18.0,0.0,0.0,True,True,5
2018-01-01,2018-01-01 05:00:00,outer,1.0,core,1.0,near,0.0,1.0,2.0,2.0,0.5,0.5,True,True,5
2018-01-01,2018-01-01 06:00:00,core,9.0,near,9.0,outer,0.0,1.0,16.0,16.0,0.5625,0.5625,True,True,6
2018-01-01,2018-01-01 06:00:00,near,0.0,core,0.0,outer,0.0,,18.0,18.0,0.0,0.0,True,True,6
2018-01-01,2018-01-01 06:00:00,outer,0.0,core,0.0,near,0.0,,1.0,1.0,0.0,0.0,True,True,6
2018-01-01,2018-01-01 07:00:00,core,0.0,near,0.0,outer,0.0,,7.0,7.0,0.0,0.0,True,True,7
2018-01-01,2018-01-01 07:00:00,near,10.0,core,8.0,outer,2.0,0.8,27.0,27.0,0.37037037037037035,0.37037037037037035,True,True,7
2018-01-01,2018-01-01 07:00:00,outer,0.0,core,0.0,near,0.0,,1.0,1.0,0.0,0.0,True,True,7
2018-01-01,2018-01-01 08:00:00,core,2.0,near,1.0,outer,1.0,0.5,15.0,15.0,0.13333333333333333,0.13333333333333333,True,True,8
2018-01-01,2018-01-01 08:00:00,near,1.0,core,1.0,outer,0.0,1.0,20.0,19.0,0.05,0.05263157894736842,True,True,8
2018-01-01,2018-01-01 08:00:00,outer,0.0,core,0.0,near,0.0,,5.0,5.0,0.0,0.0,True,True,8
2018-01-01,2018-01-01 09:00:00,core,0.0,near,0.0,outer,0.0,,14.0,13.0,0.0,0.0,True,True,9
2018-01-01,2018-01-01 09:00:00,near,1.0,core,0.0,outer,1.0,0.0,19.0,19.0,0.05263157894736842,0.05263157894736842,True,True,9
2018-01-01,2018-01-01 09:00:00,outer,3.0,core,1.0,near,2.0,0.3333333333333333,6.0,6.0,0.5,0.5,True,True,9
2018-01-01,2018-01-01 10:00:00,core,2.0,near,2.0,outer,0.0,1.0,14.0,14.0,0.14285714285714285,0.14285714285714285,True,True,10
2018-01-01,2018-01-01 10:00:00,near,1.0,core,1.0,outer,0.0,1.0,20.0,20.0,0.05,0.05,True,True,10
2018-01-01,2018-01-01 10:00:00,outer,0.0,core,0.0,near,0.0,,4.0,4.0,0.0,0.0,True,True,10
2018-01-01,2018-01-01 11:00:00,core,1.0,near,0.0,outer,1.0,0.0,13.0,13.0,0.07692307692307693,0.07692307692307693,True,True,11
2018-01-01,2018-01-01 11:00:00,near,3.0,core,2.0,outer,1.0,0.6666666666666666,22.0,21.0,0.13636363636363635,0.14285714285714285,True,True,11
2018-01-01,2018-01-01 11:00:00,outer,0.0,core,0.0,near,0.0,,5.0,5.0,0.0,0.0,True,True,11
2018-01-01,2018-01-01 12:00:00,core,0.0,near,0.0,outer,0.0,,15.0,15.0,0.0,0.0,True,True,12
2018-01-01,2018-01-01 12:00:00,near,0.0,core,0.0,outer,0.0,,18.0,18.0,0.0,0.0,True,True,12
2018-01-01,2018-01-01 12:00:00,outer,0.0,core,0.0,near,0.0,,8.0,8.0,0.0,0.0,True,True,12
2018-01-01,2018-01-01 13:00:00,core,0.0,near,0.0,outer,0.0,,15.0,14.0,0.0,0.0,True,True,13
2018-01-01,2018-01-01 13:00:00,near,1.0,core,1.0,outer,0.0,1.0,18.0,18.0,0.05555555555555555,0.05555555555555555,True,True,13
2018-01-01,2018-01-01 13:00:00,outer,2.0,core,0.0,near,2.0,0.0,8.0,7.0,0.25,0.2857142857142857,True,True,13
2018-01-01,2018-01-01 14:00:00,core,4.0,near,4.0,outer,0.0,1.0,15.0,15.0,0.26666666666666666,0.26666666666666666,True,True,14
2018-01-01,2018-01-01 14:00:00,near,1.0,core,1.0,outer,0.0,1.0,20.0,19.0,0.05,0.05263157894736842,True,True,14
2018-01-01,2018-01-01 14:00:00,outer,1.0,core,0.0,near,1.0,0.0,5.0,5.0,0.2,0.2,True,True,14
2018-01-01,2018-01-01 15:00:00,core,0.0,near,0.0,outer,0.0,,12.0,12.0,0.0,0.0,True,True,15
2018-01-01,2018-01-01 15:00:00,near,2.0,core,1.0,outer,1.0,0.5,23.0,23.0,0.08695652173913043,0.08695652173913043,True,True,15
2018-01-01,2018-01-01 15:00:00,outer,0.0,core,0.0,near,0.0,,6.0,6.0,0.0,0.0,True,True,15
2018-01-01,2018-01-01 16:00:00,core,1.0,near,1.0,outer,0.0,1.0,13.0,13.0,0.07692307692307693,0.07692307692307693,True,True,16
2018-01-01,2018-01-01 16:00:00,near,1.0,core,1.0,outer,0.0,1.0,21.0,21.0,0.047619047619047616,0.047619047619047616,True,True,16
2018-01-01,2018-01-01 16:00:00,outer,2.0,core,0.0,near,2.0,0.0,7.0,6.0,0.2857142857142857,0.3333333333333333,True,True,16
2018-01-01,2018-01-01 17:00:00,core,1.0,near,1.0,outer,0.0,1.0,13.0,13.0,0.07692307692307693,0.07692307692307693,True,True,17
2018-01-01,2018-01-01 17:00:00,near,0.0,core,0.0,outer,0.0,,24.0,23.0,0.0,0.0,True,True,17
2018-01-01,2018-01-01 17:00:00,outer,1.0,core,0.0,near,1.0,0.0,4.0,4.0,0.25,0.25,True,True,17
2018-01-01,2018-01-01 18:00:00,core,6.0,near,6.0,outer,0.0,1.0,12.0,12.0,0.5,0.5,True,True,18
2018-01-01,2018-01-01 18:00:00,near,1.0,core,1.0,outer,0.0,1.0,25.0,25.0,0.04,0.04,True,True,18
2018-01-01,2018-01-01 18:00:00,outer,1.0,core,0.0,near,1.0,0.0,4.0,4.0,0.25,0.25,True,True,18
2018-01-01,2018-01-01 19:00:00,core,0.0,near,0.0,outer,0.0,,7.0,7.0,0.0,0.0,True,True,19
2018-01-01,2018-01-01 19:00:00,near,5.0,core,4.0,outer,1.0,0.8,31.0,31.0,0.16129032258064516,0.16129032258064516,True,True,19
2018-01-01,2018-01-01 19:00:00,outer,0.0,core,0.0,near,0.0,,4.0,4.0,0.0,0.0,True,True,19
2018-01-01,2018-01-01 20:00:00,core,0.0,near,0.0,outer,0.0,,11.0,11.0,0.0,0.0,True,True,20
2018-01-01,2018-01-01 20:00:00,near,4.0,core,4.0,outer,0.0,1.0,27.0,25.0,0.14814814814814814,0.16,True,True,20
2018-01-01,2018-01-01 20:00:00,outer,1.0,core,0.0,near,1.0,0.0,5.0,5.0,0.2,0.2,True,True,20
2018-01-01,2018-01-01 21:00:00,core,0.0,near,0.0,outer,0.0,,15.0,15.0,0.0,0.0,True,True,21
2018-01-01,2018-01-01 21:00:00,near,1.0,core,1.0,outer,0.0,1.0,22.0,22.0,0.045454545454545456,0.045454545454545456,True,True,21
2018-01-01,2018-01-01 21:00:00,outer,0.0,core,0.0,near,0.0,,4.0,4.0,0.0,0.0,True,True,21
2018-01-01,2018-01-01 22:00:00,core,2.0,near,1.0,outer,1.0,0.5,16.0,16.0,0.125,0.125,True,True,22
2018-01-01,2018-01-01 22:00:00,near,0.0,core,0.0,outer,0.0,,21.0,21.0,0.0,0.0,True,True,22
2018-01-01,2018-01-01 22:00:00,outer,0.0,core,0.0,near,0.0,,4.0,4.0,0.0,0.0,True,True,22
