source_region,variable,date_scope,n_dates,zero_rate,profile_pearson_mean,profile_pearson_median,profile_pearson_iqr,hourly_cv_mean,hourly_cv_median,more_stable_than_raw_outflow
core,source_outflow,all_complete_days,23,0.0,0.23731523708295332,0.2326367888453722,0.3160492729261922,0.19781172586100912,0.19781172586100912,False
core,source_outflow,normal_complete_days,16,0.0,0.23632661225063725,0.231163433755182,0.36015761695970727,0.20251584500731518,0.20251584500731518,False
core,present_stock,all_complete_days,23,0.0,0.08943818522863799,0.1174623806000644,0.4330622215428823,0.14976879783055363,0.14976879783055363,True
core,present_stock,normal_complete_days,16,0.0,0.11010448871378788,0.15814967300281474,0.45172981127669426,0.08714404890541633,0.08714404890541633,True
core,linkable_stock,all_complete_days,23,0.0,0.09804470334465372,0.12790358239975808,0.4417785448174496,0.1556883219270042,0.1556883219270042,True
core,linkable_stock,normal_complete_days,16,0.0,0.11926449867748526,0.1444663147532841,0.4765498481130967,0.09218843348287478,0.09218843348287478,True
core,present_outflow_rate,all_complete_days,23,0.0,0.23627406132964685,0.2443626575273629,0.3655203666366895,,,False
core,present_outflow_rate,normal_complete_days,16,0.0,0.24304795187797315,0.24277775442916372,0.4044464854622928,,,False
core,linkable_outflow_rate,all_complete_days,23,0.0,0.2320692139915634,0.24403007446647962,0.3658658056376151,,,False
core,linkable_outflow_rate,normal_complete_days,16,0.0,0.2357577694863486,0.23443561407165173,0.4053051567725254,,,False
near,source_outflow,all_complete_days,23,0.0,0.15955297435767238,0.15964258428569295,0.2877538100551117,0.17979117859755814,0.17979117859755814,False
near,source_outflow,normal_complete_days,16,0.0,0.15325748362433222,0.1461555941973096,0.2808867313331577,0.1804559082086125,0.1804559082086125,False
near,present_stock,all_complete_days,23,0.0,0.134118635792758,0.17826626028167036,0.47465763985986614,0.1782377879475513,0.1782377879475513,True
near,present_stock,normal_complete_days,16,0.0,0.2325348529574521,0.3072176948348502,0.3898125119311241,0.122287009312634,0.122287009312634,True
near,linkable_stock,all_complete_days,23,0.0,0.11825766042894639,0.15429752928082605,0.46145599107981006,0.2050006084582244,0.2050006084582244,False
near,linkable_stock,normal_complete_days,16,0.0,0.22047734283804246,0.2866140297391373,0.4030245609229892,0.12968026328011004,0.12968026328011004,True
near,present_outflow_rate,all_complete_days,23,0.0,0.1577589961461593,0.15610576594617256,0.2702651847260073,,,False
near,present_outflow_rate,normal_complete_days,16,0.0,0.14551803120540274,0.15577098305280446,0.2646798457824219,0.18905566525088457,0.18905566525088457,False
near,linkable_outflow_rate,all_complete_days,23,0.0,0.14807368426638198,0.14436882575106946,0.2898371680962933,,,False
near,linkable_outflow_rate,normal_complete_days,16,0.0,0.1355287236815297,0.14565430123751272,0.25097744752599,,,False
outer,source_outflow,all_complete_days,23,0.0,0.09668993202341808,0.06734350297014739,0.32712012947438973,0.28843065737861634,0.28843065737861634,False
outer,source_outflow,normal_complete_days,16,0.0,0.10127318684808123,0.06256857514534413,0.3627525577021423,0.31850682716940965,0.31850682716940965,False
outer,present_stock,all_complete_days,23,0.0,0.17825650799000886,0.20701197462119514,0.4455016044542816,0.1913840534317834,0.1913840534317834,True
outer,present_stock,normal_complete_days,16,0.0,0.17629641736548954,0.19033087537033677,0.44846616751901675,0.173085182296639,0.173085182296639,True
outer,linkable_stock,all_complete_days,23,0.0,0.1500938035760936,0.1775291053176988,0.4163560935577885,0.19838741638385896,0.19838741638385896,True
outer,linkable_stock,normal_complete_days,16,0.0,0.15595042249078173,0.17917710171138257,0.4009724723064304,0.1774019658675501,0.1774019658675501,True
outer,present_outflow_rate,all_complete_days,23,0.0,0.08147228365054143,0.05811882998563924,0.3714415105035575,,,False
outer,present_outflow_rate,normal_complete_days,16,0.0,0.1063540149828676,0.09942740801919953,0.35894911352482467,0.29679916657816774,0.29679916657816774,False
outer,linkable_outflow_rate,all_complete_days,23,0.0,0.08176414664163484,0.046925243103550306,0.32597188370729324,,,False
outer,linkable_outflow_rate,normal_complete_days,16,0.0,0.10036844725214616,0.0924936904367975,0.3568188416715075,0.2970882697477182,0.2970882697477182,False
