task,date,prediction_total,prediction_mean,prediction_max,zero_prediction_count
A,2018-01-25,321,4.458333333333333,12,0
A,2018-01-26,321,4.458333333333333,12,0
A,2018-01-27,318,4.416666666666667,12,0
A,2018-01-28,318,4.416666666666667,12,0
A,2018-01-29,321,4.458333333333333,12,0
A,2018-01-30,321,4.458333333333333,12,0
A,2018-01-31,321,4.458333333333333,12,0
B,2018-01-25,64,0.4444444444444444,2,90
B,2018-01-26,64,0.4444444444444444,2,90
B,2018-01-27,64,0.4444444444444444,2,90
B,2018-01-28,64,0.4444444444444444,2,90
B,2018-01-29,64,0.4444444444444444,2,90
B,2018-01-30,64,0.4444444444444444,2,90
B,2018-01-31,64,0.4444444444444444,2,90
