evaluation_id,region,sse_a,n
fold_01,core,4259.0,168
fold_01,near,1732.0,168
fold_01,outer,337.0,168
fold_02,core,4280.0,168
fold_02,near,1731.0,168
fold_02,outer,370.0,168
fold_03,core,3959.0,168
fold_03,near,1454.0,168
fold_03,outer,391.0,168
fold_04,core,3763.0,168
fold_04,near,1484.0,168
fold_04,outer,430.0,168
fold_05,core,3364.0,168
fold_05,near,1505.0,168
fold_05,outer,472.0,168
fold_06,core,3076.0,168
fold_06,near,1420.0,168
fold_06,outer,453.0,168
fold_07,core,2842.0,168
fold_07,near,1416.0,168
fold_07,outer,441.0,168
fold_08,core,2701.0,168
fold_08,near,1394.0,168
fold_08,outer,420.0,168
final_analog,core,2303.0,144
final_analog,near,1206.0,144
final_analog,outer,363.0,144
