evaluation_id,task_key,sse_b,n
fold_01,core->near,401.0,168
fold_01,near->core,309.0,168
fold_01,core->outer,57.0,168
fold_01,outer->core,51.0,168
fold_01,near->outer,140.0,168
fold_01,outer->near,104.0,168
fold_02,core->near,414.0,168
fold_02,near->core,283.0,168
fold_02,core->outer,53.0,168
fold_02,outer->core,50.0,168
fold_02,near->outer,137.0,168
fold_02,outer->near,98.0,168
fold_03,core->near,384.0,168
fold_03,near->core,272.0,168
fold_03,core->outer,45.0,168
fold_03,outer->core,49.0,168
fold_03,near->outer,127.0,168
fold_03,outer->near,81.0,168
fold_04,core->near,356.0,168
fold_04,near->core,255.0,168
fold_04,core->outer,34.0,168
fold_04,outer->core,50.0,168
fold_04,near->outer,92.0,168
fold_04,outer->near,108.0,168
fold_05,core->near,330.0,168
fold_05,near->core,261.0,168
fold_05,core->outer,42.0,168
fold_05,outer->core,48.0,168
fold_05,near->outer,99.0,168
fold_05,outer->near,125.0,168
fold_06,core->near,302.0,168
fold_06,near->core,236.0,168
fold_06,core->outer,46.0,168
fold_06,outer->core,51.0,168
fold_06,near->outer,95.0,168
fold_06,outer->near,116.0,168
fold_07,core->near,308.0,168
fold_07,near->core,241.0,168
fold_07,core->outer,54.0,168
fold_07,outer->core,48.0,168
fold_07,near->outer,88.0,168
fold_07,outer->near,106.0,168
fold_08,core->near,304.0,167
fold_08,near->core,303.0,167
fold_08,core->outer,54.0,167
fold_08,outer->core,46.0,167
fold_08,near->outer,79.0,167
fold_08,outer->near,97.0,167
final_analog,core->near,238.0,143
final_analog,near->core,247.0,143
final_analog,core->outer,49.0,143
final_analog,outer->core,37.0,143
final_analog,near->outer,68.0,143
final_analog,outer->near,91.0,143
