evaluation_id,forecast_horizon,sse_a,sse_b,total_sse
fold_01,1,501.0,149.0,948.0
fold_01,2,706.0,155.0,1171.0
fold_01,3,863.0,159.0,1340.0
fold_01,4,1353.0,133.0,1752.0
fold_01,5,1064.0,159.0,1541.0
fold_01,6,792.0,146.0,1230.0
fold_01,7,1049.0,161.0,1532.0
fold_02,1,712.0,152.0,1168.0
fold_02,2,779.0,156.0,1247.0
fold_02,3,1325.0,136.0,1733.0
fold_02,4,1044.0,152.0,1500.0
fold_02,5,808.0,149.0,1255.0
fold_02,6,1029.0,152.0,1485.0
fold_02,7,684.0,138.0,1098.0
fold_03,1,722.0,156.0,1190.0
fold_03,2,1226.0,138.0,1640.0
fold_03,3,989.0,152.0,1445.0
fold_03,4,767.0,137.0,1178.0
fold_03,5,932.0,148.0,1376.0
fold_03,6,643.0,130.0,1033.0
fold_03,7,525.0,97.0,816.0
fold_04,1,1226.0,146.0,1664.0
fold_04,2,989.0,138.0,1403.0
fold_04,3,767.0,121.0,1130.0
fold_04,4,932.0,134.0,1334.0
fold_04,5,643.0,136.0,1051.0
fold_04,6,525.0,95.0,810.0
fold_04,7,595.0,125.0,970.0
fold_05,1,989.0,145.0,1424.0
fold_05,2,767.0,118.0,1121.0
fold_05,3,932.0,139.0,1349.0
fold_05,4,643.0,131.0,1036.0
fold_05,5,525.0,100.0,825.0
fold_05,6,595.0,126.0,973.0
fold_05,7,890.0,146.0,1328.0
fold_06,1,767.0,121.0,1130.0
fold_06,2,932.0,136.0,1340.0
fold_06,3,643.0,132.0,1039.0
fold_06,4,525.0,95.0,810.0
fold_06,5,595.0,127.0,976.0
fold_06,6,890.0,139.0,1307.0
fold_06,7,597.0,96.0,885.0
fold_07,1,932.0,139.0,1349.0
fold_07,2,643.0,133.0,1042.0
fold_07,3,525.0,98.0,819.0
fold_07,4,595.0,126.0,973.0
fold_07,5,890.0,146.0,1328.0
fold_07,6,597.0,97.0,888.0
fold_07,7,517.0,106.0,835.0
fold_08,1,643.0,137.0,1054.0
fold_08,2,525.0,94.0,807.0
fold_08,3,595.0,118.0,949.0
fold_08,4,890.0,138.0,1304.0
fold_08,5,597.0,99.0,894.0
fold_08,6,517.0,104.0,829.0
fold_08,7,748.0,193.0,1327.0
final_analog,1,525.0,93.0,804.0
final_analog,2,595.0,121.0,958.0
final_analog,3,890.0,141.0,1313.0
final_analog,4,597.0,102.0,903.0
final_analog,5,517.0,97.0,808.0
final_analog,6,748.0,176.0,1276.0
