date_i,date_j,U_i,U_j,dU,H_i,H_j,dH,c_i,c_j,dc
2018-01-01,2018-01-02,49,53,-4,331.0,380.0,-49.0,6.755102040816326,7.169811320754717,-0.4147092799383909
2018-01-01,2018-01-03,49,58,-9,331.0,364.0,-33.0,6.755102040816326,6.275862068965517,0.47923997185080935
2018-01-01,2018-01-04,49,55,-6,331.0,316.0,15.0,6.755102040816326,5.745454545454545,1.009647495361781
2018-01-01,2018-01-05,49,57,-8,331.0,324.0,7.0,6.755102040816326,5.684210526315789,1.0708915145005369
2018-01-01,2018-01-06,49,61,-12,331.0,304.0,27.0,6.755102040816326,4.983606557377049,1.7714954834392769
2018-01-01,2018-01-07,49,60,-11,331.0,363.0,-32.0,6.755102040816326,6.05,0.7051020408163264
2018-01-01,2018-01-08,49,56,-7,331.0,302.0,29.0,6.755102040816326,5.392857142857143,1.362244897959183
2018-01-01,2018-01-09,49,54,-5,331.0,296.0,35.0,6.755102040816326,5.481481481481482,1.2736205593348444
2018-01-01,2018-01-10,49,54,-5,331.0,263.0,68.0,6.755102040816326,4.87037037037037,1.884731670445956
2018-01-01,2018-01-11,49,54,-5,331.0,264.0,67.0,6.755102040816326,4.888888888888889,1.866213151927437
2018-01-01,2018-01-19,49,52,-3,331.0,247.0,84.0,6.755102040816326,4.75,2.0051020408163263
2018-01-01,2018-01-20,49,55,-6,331.0,400.0,-69.0,6.755102040816326,7.2727272727272725,-0.5176252319109462
2018-01-01,2018-01-21,49,54,-5,331.0,407.0,-76.0,6.755102040816326,7.537037037037037,-0.7819349962207109
2018-01-01,2018-01-22,49,52,-3,331.0,261.0,70.0,6.755102040816326,5.019230769230769,1.735871271585557
2018-01-01,2018-01-23,49,48,1,331.0,325.0,6.0,6.755102040816326,6.770833333333333,-0.01573129251700678
2018-01-01,2018-01-24,49,48,1,331.0,366.0,-35.0,6.755102040816326,7.625,-0.8698979591836737
2018-01-02,2018-01-03,53,58,-5,380.0,364.0,16.0,7.169811320754717,6.275862068965517,0.8939492517892003
2018-01-02,2018-01-04,53,55,-2,380.0,316.0,64.0,7.169811320754717,5.745454545454545,1.424356775300172
2018-01-02,2018-01-05,53,57,-4,380.0,324.0,56.0,7.169811320754717,5.684210526315789,1.4856007944389278
2018-01-02,2018-01-06,53,61,-8,380.0,304.0,76.0,7.169811320754717,4.983606557377049,2.186204763377668
2018-01-02,2018-01-07,53,60,-7,380.0,363.0,17.0,7.169811320754717,6.05,1.1198113207547173
2018-01-02,2018-01-08,53,56,-3,380.0,302.0,78.0,7.169811320754717,5.392857142857143,1.776954177897574
2018-01-02,2018-01-09,53,54,-1,380.0,296.0,84.0,7.169811320754717,5.481481481481482,1.6883298392732353
2018-01-02,2018-01-10,53,54,-1,380.0,263.0,117.0,7.169811320754717,4.87037037037037,2.299440950384347
2018-01-02,2018-01-11,53,54,-1,380.0,264.0,116.0,7.169811320754717,4.888888888888889,2.280922431865828
