subset,n,mean,std,cv,min,max,median,variable
all,24,5.134545788234991,1.6734307923505607,0.32591603257000173,2.0943396226415096,7.625,5.206043956043956,c_d
normal,17,6.016027844447661,1.003123002466491,0.16674174860947455,4.75,7.625,5.745454545454545,c_d
pre_outage_normal,11,5.754331358480166,0.7549198976276235,0.13119159301021083,4.87037037037037,7.169811320754717,5.684210526315789,c_d
post_recovery_normal,6,6.495804735388069,1.28581498373362,0.19794544881078593,4.75,7.625,7.021780303030303,c_d
degraded,7,2.9938036517185074,0.7094379617274104,0.23696876758105956,2.0943396226415096,4.052631578947368,3.0,c_d
weekday_normal,13,5.879161729882222,0.9529236397266218,0.1620849507988806,4.75,7.625,5.684210526315789,c_d
weekend_normal,4,6.46084271678534,1.1787520456988905,0.18244555662011083,4.983606557377049,7.537037037037037,6.661363636363636,c_d
all,24,274.7083333333333,91.87064590885461,0.3344297742776446,111.0,407.0,299.0,H_d
normal,17,324.29411764705884,49.80306806046485,0.15357376329183792,247.0,407.0,324.0,H_d
pre_outage_normal,11,318.8181818181818,38.81190070537175,0.12173678578816345,263.0,380.0,316.0,H_d
post_recovery_normal,6,334.3333333333333,68.82925734501765,0.20587016155040178,247.0,407.0,345.5,H_d
degraded,7,154.28571428571428,43.06860529323839,0.27914836764136,111.0,231.0,159.0,H_d
weekday_normal,13,310.6923076923077,43.58781292858631,0.14029253975529143,247.0,380.0,316.0,H_d
weekend_normal,4,368.5,47.134559154262455,0.12790925143626175,304.0,407.0,381.5,H_d
all,24,53.291666666666664,4.016045715427776,0.07535973195486054,46.0,61.0,54.0,U_d
normal,17,54.11764705882353,3.722941594713387,0.06879348598926911,48.0,61.0,54.0,U_d
pre_outage_normal,11,55.54545454545455,3.387141460395074,0.060979633493201,49.0,61.0,55.0,U_d
post_recovery_normal,6,51.5,2.949576240750525,0.057273325063116984,48.0,55.0,52.0,U_d
degraded,7,51.285714285714285,4.270608298368657,0.08327091389576768,46.0,57.0,53.0,U_d
weekday_normal,13,53.07692307692308,3.226492896359205,0.06078899659807197,48.0,58.0,54.0,U_d
weekend_normal,4,57.5,3.5118845842842465,0.061076253639726026,54.0,61.0,57.5,U_d
