date,H_d,core,near,outer,U_d,c_d,s_core,s_near,s_outer,quality,period,day_type
2018-01-01,331,178,108,45,49,6.755102040816326,0.5377643504531722,0.32628398791540786,0.13595166163141995,normal,pre_outage,weekday
2018-01-02,380,191,117,72,53,7.169811320754717,0.5026315789473684,0.3078947368421053,0.18947368421052632,normal,pre_outage,weekday
2018-01-03,364,192,124,48,58,6.275862068965517,0.5274725274725275,0.34065934065934067,0.13186813186813187,normal,pre_outage,weekday
2018-01-04,316,160,109,47,55,5.745454545454545,0.5063291139240507,0.3449367088607595,0.14873417721518986,normal,pre_outage,weekday
2018-01-05,324,184,102,38,57,5.684210526315789,0.5679012345679012,0.3148148148148148,0.11728395061728394,normal,pre_outage,weekday
2018-01-06,304,148,111,45,61,4.983606557377049,0.4868421052631579,0.3651315789473684,0.14802631578947367,normal,pre_outage,weekend
2018-01-07,363,202,113,48,60,6.05,0.5564738292011019,0.31129476584022037,0.1322314049586777,normal,pre_outage,weekend
2018-01-08,302,164,100,38,56,5.392857142857143,0.543046357615894,0.33112582781456956,0.12582781456953643,normal,pre_outage,weekday
2018-01-09,296,146,105,45,54,5.481481481481482,0.49324324324324326,0.3547297297297297,0.15202702702702703,normal,pre_outage,weekday
2018-01-10,263,145,90,28,54,4.87037037037037,0.5513307984790875,0.34220532319391633,0.10646387832699619,normal,pre_outage,weekday
2018-01-11,264,126,82,56,54,4.888888888888889,0.4772727272727273,0.3106060606060606,0.21212121212121213,normal,pre_outage,weekday
2018-01-12,231,131,64,36,57,4.052631578947368,0.5670995670995671,0.27705627705627706,0.15584415584415584,reduced,degraded_period,weekday
2018-01-13,173,75,58,40,55,3.1454545454545455,0.43352601156069365,0.3352601156069364,0.23121387283236994,outage,degraded_period,weekend
2018-01-14,111,46,35,30,53,2.0943396226415096,0.4144144144144144,0.3153153153153153,0.2702702702702703,outage,degraded_period,weekend
2018-01-15,115,62,36,17,47,2.4468085106382977,0.5391304347826087,0.3130434782608696,0.14782608695652175,outage,degraded_period,weekday
2018-01-16,159,78,55,26,53,3.0,0.49056603773584906,0.34591194968553457,0.16352201257861634,outage,degraded_period,weekday
2018-01-17,120,60,38,22,48,2.5,0.5,0.31666666666666665,0.18333333333333332,severe,degraded_period,weekday
2018-01-18,171,84,52,35,46,3.717391304347826,0.49122807017543857,0.30409356725146197,0.2046783625730994,severe,degraded_period,weekday
2018-01-19,247,130,76,41,52,4.75,0.5263157894736842,0.3076923076923077,0.1659919028340081,normal,post_recovery,weekday
2018-01-20,400,203,132,65,55,7.2727272727272725,0.5075,0.33,0.1625,normal,post_recovery,weekend
2018-01-21,407,209,136,62,54,7.537037037037037,0.5135135135135135,0.33415233415233414,0.15233415233415235,normal,post_recovery,weekend
2018-01-22,261,138,91,32,52,5.019230769230769,0.5287356321839081,0.3486590038314176,0.12260536398467432,normal,post_recovery,weekday
2018-01-23,325,158,113,54,48,6.770833333333333,0.48615384615384616,0.3476923076923077,0.16615384615384615,normal,post_recovery,weekday
2018-01-24,366,199,124,43,48,7.625,0.5437158469945356,0.33879781420765026,0.11748633879781421,normal,post_recovery,weekday
