vessel_quantile,region,hour,mean_hourly,mean_share
low_U,core,0,6.5,0.04046692607003891
low_U,core,1,2.75,0.017120622568093387
low_U,core,2,3.0,0.01867704280155642
low_U,core,3,7.125,0.0443579766536965
low_U,core,4,6.125,0.03813229571984436
low_U,core,5,2.375,0.014785992217898832
low_U,core,6,5.125,0.031906614785992216
low_U,core,7,7.5,0.04669260700389105
low_U,core,8,5.875,0.036575875486381325
low_U,core,9,4.5,0.02801556420233463
low_U,core,10,5.875,0.036575875486381325
low_U,core,11,10.0,0.0622568093385214
low_U,core,12,8.375,0.052140077821011675
low_U,core,13,5.5,0.034241245136186774
low_U,core,14,6.75,0.04202334630350195
low_U,core,15,10.5,0.06536964980544747
low_U,core,16,6.875,0.042801556420233464
low_U,core,17,4.5,0.02801556420233463
low_U,core,18,8.625,0.053696498054474705
low_U,core,19,13.25,0.08249027237354085
low_U,core,20,9.125,0.05680933852140078
low_U,core,21,4.5,0.02801556420233463
low_U,core,22,6.375,0.03968871595330739
low_U,core,23,9.5,0.05914396887159533
low_U,near,0,2.875,0.027912621359223302
low_U,near,1,1.625,0.015776699029126214
low_U,near,2,1.75,0.01699029126213592
low_U,near,3,2.875,0.027912621359223302
low_U,near,4,1.625,0.015776699029126214
low_U,near,5,0.875,0.00849514563106796
low_U,near,6,3.125,0.03033980582524272
low_U,near,7,6.25,0.06067961165048544
low_U,near,8,5.875,0.05703883495145631
low_U,near,9,3.375,0.032766990291262135
low_U,near,10,5.125,0.04975728155339806
low_U,near,11,6.5,0.06310679611650485
low_U,near,12,5.625,0.05461165048543689
low_U,near,13,3.875,0.03762135922330097
low_U,near,14,4.625,0.044902912621359224
low_U,near,15,7.25,0.0703883495145631
low_U,near,16,4.25,0.0412621359223301
low_U,near,17,2.5,0.024271844660194174
low_U,near,18,5.75,0.055825242718446605
low_U,near,19,9.5,0.09223300970873786
low_U,near,20,6.75,0.06553398058252427
low_U,near,21,2.25,0.021844660194174758
low_U,near,22,3.5,0.03398058252427184
low_U,near,23,5.25,0.050970873786407765
low_U,outer,0,1.125,0.025
low_U,outer,1,1.25,0.027777777777777776
low_U,outer,2,0.75,0.016666666666666666
low_U,outer,3,0.5,0.011111111111111112
low_U,outer,4,1.0,0.022222222222222223
low_U,outer,5,1.375,0.030555555555555555
low_U,outer,6,1.25,0.027777777777777776
low_U,outer,7,1.875,0.041666666666666664
low_U,outer,8,2.5,0.05555555555555555
low_U,outer,9,2.875,0.06388888888888888
low_U,outer,10,2.625,0.058333333333333334
low_U,outer,11,2.5,0.05555555555555555
low_U,outer,12,3.375,0.075
low_U,outer,13,3.0,0.06666666666666667
low_U,outer,14,1.75,0.03888888888888889
low_U,outer,15,2.125,0.04722222222222222
low_U,outer,16,3.125,0.06944444444444445
low_U,outer,17,2.5,0.05555555555555555
low_U,outer,18,1.5,0.03333333333333333
low_U,outer,19,0.875,0.019444444444444445
low_U,outer,20,2.0,0.044444444444444446
low_U,outer,21,2.625,0.058333333333333334
low_U,outer,22,1.25,0.027777777777777776
low_U,outer,23,1.25,0.027777777777777776
high_U,core,0,4.5,0.02610587382160986
high_U,core,1,2.0,0.011602610587382161
high_U,core,2,7.5,0.043509789702683106
high_U,core,3,10.25,0.05946337926033358
high_U,core,4,6.0,0.03480783176214648
high_U,core,5,3.125,0.018129079042784626
high_U,core,6,10.25,0.05946337926033358
high_U,core,7,10.75,0.06236403190717912
high_U,core,8,7.0,0.04060913705583756
high_U,core,9,3.75,0.021754894851341553
high_U,core,10,10.25,0.05946337926033358
high_U,core,11,10.5,0.06091370558375635
high_U,core,12,6.75,0.03915881073241479
high_U,core,13,4.5,0.02610587382160986
high_U,core,14,7.25,0.04205946337926034
high_U,core,15,9.875,0.05728788977519942
high_U,core,16,8.5,0.049311094996374184
high_U,core,17,4.875,0.028281363306744016
high_U,core,18,7.25,0.04205946337926034
high_U,core,19,11.875,0.06889050036258158
high_U,core,20,6.125,0.03553299492385787
high_U,core,21,3.125,0.018129079042784626
high_U,core,22,6.625,0.03843364757070341
high_U,core,23,9.75,0.05656272661348803
high_U,near,0,2.5,0.022909507445589918
high_U,near,1,0.5,0.004581901489117984
high_U,near,2,2.5,0.022909507445589918
high_U,near,3,5.875,0.053837342497136315
high_U,near,4,2.875,0.026345933562428408
high_U,near,5,2.375,0.021764032073310423
high_U,near,6,3.875,0.035509736540664374
high_U,near,7,5.875,0.053837342497136315
high_U,near,8,5.25,0.048109965635738834
high_U,near,9,5.0,0.045819014891179836
high_U,near,10,6.75,0.061855670103092786
