subset,n,mean,std,cv,min,max,median,region
all,24,0.5121752929386788,0.03816228093781857,0.07451019497417972,0.4144144144144144,0.5679012345679012,0.5105067567567567,core
normal,17,0.5209554408682188,0.026978680959787206,0.05178692618091257,0.4772727272727273,0.5679012345679012,0.5263157894736842,core
pre_outage_normal,11,0.5227552605854756,0.030911279159279142,0.059131454984611954,0.4772727272727273,0.5679012345679012,0.5274725274725275,core
post_recovery_normal,6,0.5176557713865813,0.01994771192574082,0.038534704002834395,0.48615384615384616,0.5437158469945356,0.5199146514935988,core
all,24,0.32766766719347384,0.020163120655106035,0.061535276970738066,0.27705627705627706,0.3651315789473684,0.33056291390728476,near
normal,17,0.3327456848706065,0.017530503570563922,0.05268439041480264,0.3076923076923077,0.3651315789473684,0.33415233415233414,near
pre_outage_normal,11,0.33178935229311757,0.019381908873304658,0.058416307634193795,0.3078947368421053,0.3651315789473684,0.33112582781456956,near
post_recovery_normal,6,0.3344989612626696,0.015046652854650339,0.04498265943144368,0.3076923076923077,0.3486590038314176,0.33647507417999223,near
all,24,0.16015703986784738,0.039127386518823214,0.2443063792332135,0.10646387832699619,0.2702702702702703,0.15218058968058967,outer
normal,17,0.14629887426117472,0.027467951371869855,0.18775230848894778,0.10646387832699619,0.21212121212121213,0.14802631578947367,outer
pre_outage_normal,11,0.14545538712140682,0.03097015740365455,0.21291860010523211,0.10646387832699619,0.21212121212121213,0.13595166163141995,outer
post_recovery_normal,6,0.1478452673507492,0.022172654236142914,0.1499720257094219,0.11748633879781421,0.16615384615384615,0.15741707616707618,outer
