subset,pair,pearson,spearman
normal,U_d vs H_d,0.07025219973699796,0.0691807355085706
normal,U_d vs H_core,0.0986186832598027,0.2285435012336707
normal,U_d vs H_near,0.06993551541483987,0.10142473398075208
normal,U_d vs H_outer,-0.03350370314417188,0.04463774210155885
normal,U_d vs c_d,-0.3639245364353585,-0.21742516874122186
all,U_d vs H_d,0.380631626750011,0.32998705606620177
all,U_d vs H_core,0.3832904324464969,0.39816981202160245
all,U_d vs H_near,0.3733344389957567,0.3511190592529789
all,U_d vs H_outer,0.28300167364798806,0.3323876986251319
all,U_d vs c_d,0.16766123971321892,0.18182068254773504
