evaluation_id,date,H_d_true,H_d_pred,daily_total_error,daily_sse,U_d,is_normal,quality,forecast_horizon,H_core_true,H_near_true,H_outer_true,H_core_pred,H_near_pred,H_outer_pred
fold_01,2018-01-11,264.0,321.0,57.0,501.0,54,True,normal,1,126.0,82.0,56.0,171.0,106.0,44.0
fold_01,2018-01-12,231.0,321.0,90.0,706.0,57,False,reduced,2,131.0,64.0,36.0,171.0,106.0,44.0
fold_01,2018-01-13,173.0,326.0,153.0,863.0,55,False,outage,3,75.0,58.0,40.0,173.0,107.0,46.0
fold_01,2018-01-14,111.0,326.0,215.0,1353.0,53,False,outage,4,46.0,35.0,30.0,173.0,107.0,46.0
fold_01,2018-01-15,115.0,321.0,206.0,1064.0,47,False,outage,5,62.0,36.0,17.0,171.0,106.0,44.0
fold_01,2018-01-16,159.0,321.0,162.0,792.0,53,False,outage,6,78.0,55.0,26.0,171.0,106.0,44.0
fold_01,2018-01-17,120.0,321.0,201.0,1049.0,48,False,severe,7,60.0,38.0,22.0,171.0,106.0,44.0
fold_02,2018-01-12,231.0,321.0,90.0,712.0,57,False,reduced,1,131.0,64.0,36.0,168.0,107.0,46.0
fold_02,2018-01-13,173.0,318.0,145.0,779.0,55,False,outage,2,75.0,58.0,40.0,166.0,106.0,46.0
fold_02,2018-01-14,111.0,318.0,207.0,1325.0,53,False,outage,3,46.0,35.0,30.0,166.0,106.0,46.0
fold_02,2018-01-15,115.0,321.0,206.0,1044.0,47,False,outage,4,62.0,36.0,17.0,168.0,107.0,46.0
fold_02,2018-01-16,159.0,321.0,162.0,808.0,53,False,outage,5,78.0,55.0,26.0,168.0,107.0,46.0
fold_02,2018-01-17,120.0,321.0,201.0,1029.0,48,False,severe,6,60.0,38.0,22.0,168.0,107.0,46.0
fold_02,2018-01-18,171.0,321.0,150.0,684.0,46,False,severe,7,84.0,52.0,35.0,168.0,107.0,46.0
fold_03,2018-01-13,173.0,309.0,136.0,722.0,55,False,outage,1,75.0,58.0,40.0,162.0,101.0,46.0
fold_03,2018-01-14,111.0,309.0,198.0,1226.0,53,False,outage,2,46.0,35.0,30.0,162.0,101.0,46.0
fold_03,2018-01-15,115.0,312.0,197.0,989.0,47,False,outage,3,62.0,36.0,17.0,164.0,102.0,46.0
fold_03,2018-01-16,159.0,312.0,153.0,767.0,53,False,outage,4,78.0,55.0,26.0,164.0,102.0,46.0
fold_03,2018-01-17,120.0,312.0,192.0,932.0,48,False,severe,5,60.0,38.0,22.0,164.0,102.0,46.0
fold_03,2018-01-18,171.0,312.0,141.0,643.0,46,False,severe,6,84.0,52.0,35.0,164.0,102.0,46.0
fold_03,2018-01-19,247.0,312.0,65.0,525.0,52,True,normal,7,130.0,76.0,41.0,164.0,102.0,46.0
fold_04,2018-01-14,111.0,309.0,198.0,1226.0,53,False,outage,1,46.0,35.0,30.0,162.0,101.0,46.0
fold_04,2018-01-15,115.0,312.0,197.0,989.0,47,False,outage,2,62.0,36.0,17.0,164.0,102.0,46.0
fold_04,2018-01-16,159.0,312.0,153.0,767.0,53,False,outage,3,78.0,55.0,26.0,164.0,102.0,46.0
fold_04,2018-01-17,120.0,312.0,192.0,932.0,48,False,severe,4,60.0,38.0,22.0,164.0,102.0,46.0
fold_04,2018-01-18,171.0,312.0,141.0,643.0,46,False,severe,5,84.0,52.0,35.0,164.0,102.0,46.0
fold_04,2018-01-19,247.0,312.0,65.0,525.0,52,True,normal,6,130.0,76.0,41.0,164.0,102.0,46.0
fold_04,2018-01-20,400.0,309.0,-91.0,595.0,55,True,normal,7,203.0,132.0,65.0,162.0,101.0,46.0
fold_05,2018-01-15,115.0,312.0,197.0,989.0,47,False,outage,1,62.0,36.0,17.0,164.0,102.0,46.0
fold_05,2018-01-16,159.0,312.0,153.0,767.0,53,False,outage,2,78.0,55.0,26.0,164.0,102.0,46.0
fold_05,2018-01-17,120.0,312.0,192.0,932.0,48,False,severe,3,60.0,38.0,22.0,164.0,102.0,46.0
fold_05,2018-01-18,171.0,312.0,141.0,643.0,46,False,severe,4,84.0,52.0,35.0,164.0,102.0,46.0
