evaluation_id,evaluation_type,method,forecast_horizon,sse_integer,n_rows
fold_01,rolling_7d,baseline,1,501.0,72
fold_01,rolling_7d,oracle_daily_total,1,396.0,72
fold_01,rolling_7d,oracle_region_totals,1,366.0,72
fold_01,rolling_7d,oracle_hour_profile,1,177.0,72
fold_01,rolling_7d,oracle_hour_totals,1,158.0,72
fold_01,rolling_7d,baseline,2,706.0,72
fold_01,rolling_7d,oracle_daily_total,2,518.0,72
fold_01,rolling_7d,oracle_region_totals,2,480.0,72
fold_01,rolling_7d,oracle_hour_profile,2,222.0,72
fold_01,rolling_7d,oracle_hour_totals,2,134.0,72
fold_01,rolling_7d,baseline,3,863.0,72
fold_01,rolling_7d,oracle_daily_total,3,340.0,72
fold_01,rolling_7d,oracle_region_totals,3,326.0,72
fold_01,rolling_7d,oracle_hour_profile,3,941.0,72
fold_01,rolling_7d,oracle_hour_totals,3,168.0,72
fold_01,rolling_7d,baseline,4,1353.0,72
fold_01,rolling_7d,oracle_daily_total,4,336.0,72
fold_01,rolling_7d,oracle_region_totals,4,322.0,72
fold_01,rolling_7d,oracle_hour_profile,4,2693.0,72
fold_01,rolling_7d,oracle_hour_totals,4,106.0,72
fold_01,rolling_7d,baseline,5,1064.0,72
fold_01,rolling_7d,oracle_daily_total,5,272.0,72
fold_01,rolling_7d,oracle_region_totals,5,278.0,72
fold_01,rolling_7d,oracle_hour_profile,5,1810.0,72
fold_01,rolling_7d,oracle_hour_totals,5,68.0,72
fold_01,rolling_7d,baseline,6,792.0,72
fold_01,rolling_7d,oracle_daily_total,6,342.0,72
fold_01,rolling_7d,oracle_region_totals,6,322.0,72
fold_01,rolling_7d,oracle_hour_profile,6,1038.0,72
fold_01,rolling_7d,oracle_hour_totals,6,184.0,72
fold_01,rolling_7d,baseline,7,1049.0,72
fold_01,rolling_7d,oracle_daily_total,7,180.0,72
fold_01,rolling_7d,oracle_region_totals,7,184.0,72
fold_01,rolling_7d,oracle_hour_profile,7,1371.0,72
fold_01,rolling_7d,oracle_hour_totals,7,68.0,72
fold_02,rolling_7d,baseline,1,712.0,72
fold_02,rolling_7d,oracle_daily_total,1,510.0,72
fold_02,rolling_7d,oracle_region_totals,1,490.0,72
fold_02,rolling_7d,oracle_hour_profile,1,214.0,72
fold_02,rolling_7d,oracle_hour_totals,1,130.0,72
fold_02,rolling_7d,baseline,2,779.0,72
fold_02,rolling_7d,oracle_daily_total,2,292.0,72
fold_02,rolling_7d,oracle_region_totals,2,298.0,72
fold_02,rolling_7d,oracle_hour_profile,2,829.0,72
fold_02,rolling_7d,oracle_hour_totals,2,162.0,72
fold_02,rolling_7d,baseline,3,1325.0,72
fold_02,rolling_7d,oracle_daily_total,3,358.0,72
fold_02,rolling_7d,oracle_region_totals,3,334.0,72
fold_02,rolling_7d,oracle_hour_profile,3,2437.0,72
fold_02,rolling_7d,oracle_hour_totals,3,116.0,72
fold_02,rolling_7d,baseline,4,1044.0,72
fold_02,rolling_7d,oracle_daily_total,4,276.0,72
fold_02,rolling_7d,oracle_region_totals,4,278.0,72
fold_02,rolling_7d,oracle_hour_profile,4,1770.0,72
fold_02,rolling_7d,oracle_hour_totals,4,70.0,72
fold_02,rolling_7d,baseline,5,808.0,72
fold_02,rolling_7d,oracle_daily_total,5,346.0,72
fold_02,rolling_7d,oracle_region_totals,5,336.0,72
fold_02,rolling_7d,oracle_hour_profile,5,998.0,72
fold_02,rolling_7d,oracle_hour_totals,5,216.0,72
fold_02,rolling_7d,baseline,6,1029.0,72
fold_02,rolling_7d,oracle_daily_total,6,186.0,72
fold_02,rolling_7d,oracle_region_totals,6,188.0,72
fold_02,rolling_7d,oracle_hour_profile,6,1337.0,72
fold_02,rolling_7d,oracle_hour_totals,6,74.0,72
fold_02,rolling_7d,baseline,7,684.0,72
fold_02,rolling_7d,oracle_daily_total,7,248.0,72
fold_02,rolling_7d,oracle_region_totals,7,274.0,72
fold_02,rolling_7d,oracle_hour_profile,7,814.0,72
fold_02,rolling_7d,oracle_hour_totals,7,136.0,72
fold_03,rolling_7d,baseline,1,722.0,72
fold_03,rolling_7d,oracle_daily_total,1,306.0,72
fold_03,rolling_7d,oracle_region_totals,1,292.0,72
fold_03,rolling_7d,oracle_hour_profile,1,742.0,72
fold_03,rolling_7d,oracle_hour_totals,1,166.0,72
fold_03,rolling_7d,baseline,2,1226.0,72
fold_03,rolling_7d,oracle_daily_total,2,354.0,72
fold_03,rolling_7d,oracle_region_totals,2,342.0,72
fold_03,rolling_7d,oracle_hour_profile,2,2262.0,72
fold_03,rolling_7d,oracle_hour_totals,2,96.0,72
fold_03,rolling_7d,baseline,3,989.0,72
fold_03,rolling_7d,oracle_daily_total,3,286.0,72
fold_03,rolling_7d,oracle_region_totals,3,292.0,72
fold_03,rolling_7d,oracle_hour_profile,3,1599.0,72
fold_03,rolling_7d,oracle_hour_totals,3,68.0,72
fold_03,rolling_7d,baseline,4,767.0,72
fold_03,rolling_7d,oracle_daily_total,4,344.0,72
fold_03,rolling_7d,oracle_region_totals,4,350.0,72
fold_03,rolling_7d,oracle_hour_profile,4,933.0,72
fold_03,rolling_7d,oracle_hour_totals,4,172.0,72
fold_03,rolling_7d,baseline,5,932.0,72
fold_03,rolling_7d,oracle_daily_total,5,186.0,72
fold_03,rolling_7d,oracle_region_totals,5,178.0,72
fold_03,rolling_7d,oracle_hour_profile,5,1236.0,72
fold_03,rolling_7d,oracle_hour_totals,5,70.0,72
fold_03,rolling_7d,baseline,6,643.0,72
fold_03,rolling_7d,oracle_daily_total,6,252.0,72
fold_03,rolling_7d,oracle_region_totals,6,274.0,72
fold_03,rolling_7d,oracle_hour_profile,6,673.0,72
fold_03,rolling_7d,oracle_hour_totals,6,120.0,72
fold_03,rolling_7d,baseline,7,525.0,72
fold_03,rolling_7d,oracle_daily_total,7,456.0,72
fold_03,rolling_7d,oracle_region_totals,7,468.0,72
fold_03,rolling_7d,oracle_hour_profile,7,137.0,72
fold_03,rolling_7d,oracle_hour_totals,7,142.0,72
fold_04,rolling_7d,baseline,1,1226.0,72
fold_04,rolling_7d,oracle_daily_total,1,354.0,72
fold_04,rolling_7d,oracle_region_totals,1,342.0,72
fold_04,rolling_7d,oracle_hour_profile,1,2262.0,72
fold_04,rolling_7d,oracle_hour_totals,1,96.0,72
fold_04,rolling_7d,baseline,2,989.0,72
fold_04,rolling_7d,oracle_daily_total,2,286.0,72
fold_04,rolling_7d,oracle_region_totals,2,292.0,72
fold_04,rolling_7d,oracle_hour_profile,2,1599.0,72
fold_04,rolling_7d,oracle_hour_totals,2,68.0,72
fold_04,rolling_7d,baseline,3,767.0,72
fold_04,rolling_7d,oracle_daily_total,3,344.0,72
fold_04,rolling_7d,oracle_region_totals,3,350.0,72
fold_04,rolling_7d,oracle_hour_profile,3,933.0,72
fold_04,rolling_7d,oracle_hour_totals,3,172.0,72
fold_04,rolling_7d,baseline,4,932.0,72
fold_04,rolling_7d,oracle_daily_total,4,186.0,72
fold_04,rolling_7d,oracle_region_totals,4,178.0,72
fold_04,rolling_7d,oracle_hour_profile,4,1236.0,72
fold_04,rolling_7d,oracle_hour_totals,4,70.0,72
fold_04,rolling_7d,baseline,5,643.0,72
fold_04,rolling_7d,oracle_daily_total,5,252.0,72
fold_04,rolling_7d,oracle_region_totals,5,274.0,72
fold_04,rolling_7d,oracle_hour_profile,5,673.0,72
fold_04,rolling_7d,oracle_hour_totals,5,120.0,72
fold_04,rolling_7d,baseline,6,525.0,72
fold_04,rolling_7d,oracle_daily_total,6,456.0,72
fold_04,rolling_7d,oracle_region_totals,6,468.0,72
fold_04,rolling_7d,oracle_hour_profile,6,137.0,72
fold_04,rolling_7d,oracle_hour_totals,6,142.0,72
fold_04,rolling_7d,baseline,7,595.0,72
fold_04,rolling_7d,oracle_daily_total,7,436.0,72
fold_04,rolling_7d,oracle_region_totals,7,432.0,72
fold_04,rolling_7d,oracle_hour_profile,7,185.0,72
fold_04,rolling_7d,oracle_hour_totals,7,180.0,72
fold_05,rolling_7d,baseline,1,989.0,72
fold_05,rolling_7d,oracle_daily_total,1,286.0,72
fold_05,rolling_7d,oracle_region_totals,1,292.0,72
fold_05,rolling_7d,oracle_hour_profile,1,1599.0,72
fold_05,rolling_7d,oracle_hour_totals,1,68.0,72
fold_05,rolling_7d,baseline,2,767.0,72
fold_05,rolling_7d,oracle_daily_total,2,344.0,72
fold_05,rolling_7d,oracle_region_totals,2,350.0,72
fold_05,rolling_7d,oracle_hour_profile,2,933.0,72
fold_05,rolling_7d,oracle_hour_totals,2,172.0,72
fold_05,rolling_7d,baseline,3,932.0,72
fold_05,rolling_7d,oracle_daily_total,3,186.0,72
fold_05,rolling_7d,oracle_region_totals,3,178.0,72
fold_05,rolling_7d,oracle_hour_profile,3,1236.0,72
fold_05,rolling_7d,oracle_hour_totals,3,70.0,72
fold_05,rolling_7d,baseline,4,643.0,72
fold_05,rolling_7d,oracle_daily_total,4,252.0,72
fold_05,rolling_7d,oracle_region_totals,4,274.0,72
fold_05,rolling_7d,oracle_hour_profile,4,673.0,72
fold_05,rolling_7d,oracle_hour_totals,4,120.0,72
fold_05,rolling_7d,baseline,5,525.0,72
fold_05,rolling_7d,oracle_daily_total,5,456.0,72
fold_05,rolling_7d,oracle_region_totals,5,468.0,72
fold_05,rolling_7d,oracle_hour_profile,5,137.0,72
fold_05,rolling_7d,oracle_hour_totals,5,142.0,72
fold_05,rolling_7d,baseline,6,595.0,72
fold_05,rolling_7d,oracle_daily_total,6,436.0,72
fold_05,rolling_7d,oracle_region_totals,6,432.0,72
fold_05,rolling_7d,oracle_hour_profile,6,185.0,72
fold_05,rolling_7d,oracle_hour_totals,6,180.0,72
fold_05,rolling_7d,baseline,7,890.0,72
fold_05,rolling_7d,oracle_daily_total,7,798.0,72
fold_05,rolling_7d,oracle_region_totals,7,862.0,72
fold_05,rolling_7d,oracle_hour_profile,7,206.0,72
fold_05,rolling_7d,oracle_hour_totals,7,276.0,72
fold_06,rolling_7d,baseline,1,767.0,72
fold_06,rolling_7d,oracle_daily_total,1,344.0,72
fold_06,rolling_7d,oracle_region_totals,1,350.0,72
fold_06,rolling_7d,oracle_hour_profile,1,933.0,72
fold_06,rolling_7d,oracle_hour_totals,1,172.0,72
fold_06,rolling_7d,baseline,2,932.0,72
fold_06,rolling_7d,oracle_daily_total,2,186.0,72
fold_06,rolling_7d,oracle_region_totals,2,178.0,72
fold_06,rolling_7d,oracle_hour_profile,2,1236.0,72
fold_06,rolling_7d,oracle_hour_totals,2,70.0,72
fold_06,rolling_7d,baseline,3,643.0,72
fold_06,rolling_7d,oracle_daily_total,3,252.0,72
fold_06,rolling_7d,oracle_region_totals,3,274.0,72
fold_06,rolling_7d,oracle_hour_profile,3,673.0,72
fold_06,rolling_7d,oracle_hour_totals,3,120.0,72
fold_06,rolling_7d,baseline,4,525.0,72
fold_06,rolling_7d,oracle_daily_total,4,456.0,72
fold_06,rolling_7d,oracle_region_totals,4,468.0,72
fold_06,rolling_7d,oracle_hour_profile,4,137.0,72
fold_06,rolling_7d,oracle_hour_totals,4,142.0,72
fold_06,rolling_7d,baseline,5,595.0,72
fold_06,rolling_7d,oracle_daily_total,5,436.0,72
fold_06,rolling_7d,oracle_region_totals,5,432.0,72
fold_06,rolling_7d,oracle_hour_profile,5,185.0,72
fold_06,rolling_7d,oracle_hour_totals,5,180.0,72
fold_06,rolling_7d,baseline,6,890.0,72
fold_06,rolling_7d,oracle_daily_total,6,798.0,72
fold_06,rolling_7d,oracle_region_totals,6,862.0,72
fold_06,rolling_7d,oracle_hour_profile,6,206.0,72
fold_06,rolling_7d,oracle_hour_totals,6,276.0,72
fold_06,rolling_7d,baseline,7,597.0,72
fold_06,rolling_7d,oracle_daily_total,7,544.0,72
fold_06,rolling_7d,oracle_region_totals,7,532.0,72
fold_06,rolling_7d,oracle_hour_profile,7,71.0,72
fold_06,rolling_7d,oracle_hour_totals,7,170.0,72
fold_07,rolling_7d,baseline,1,932.0,72
fold_07,rolling_7d,oracle_daily_total,1,186.0,72
fold_07,rolling_7d,oracle_region_totals,1,178.0,72
fold_07,rolling_7d,oracle_hour_profile,1,1236.0,72
fold_07,rolling_7d,oracle_hour_totals,1,70.0,72
fold_07,rolling_7d,baseline,2,643.0,72
fold_07,rolling_7d,oracle_daily_total,2,252.0,72
fold_07,rolling_7d,oracle_region_totals,2,274.0,72
fold_07,rolling_7d,oracle_hour_profile,2,673.0,72
fold_07,rolling_7d,oracle_hour_totals,2,120.0,72
fold_07,rolling_7d,baseline,3,525.0,72
fold_07,rolling_7d,oracle_daily_total,3,456.0,72
fold_07,rolling_7d,oracle_region_totals,3,468.0,72
fold_07,rolling_7d,oracle_hour_profile,3,137.0,72
fold_07,rolling_7d,oracle_hour_totals,3,142.0,72
fold_07,rolling_7d,baseline,4,595.0,72
fold_07,rolling_7d,oracle_daily_total,4,436.0,72
fold_07,rolling_7d,oracle_region_totals,4,432.0,72
fold_07,rolling_7d,oracle_hour_profile,4,185.0,72
fold_07,rolling_7d,oracle_hour_totals,4,180.0,72
fold_07,rolling_7d,baseline,5,890.0,72
fold_07,rolling_7d,oracle_daily_total,5,798.0,72
fold_07,rolling_7d,oracle_region_totals,5,862.0,72
fold_07,rolling_7d,oracle_hour_profile,5,206.0,72
fold_07,rolling_7d,oracle_hour_totals,5,276.0,72
fold_07,rolling_7d,baseline,6,597.0,72
fold_07,rolling_7d,oracle_daily_total,6,544.0,72
fold_07,rolling_7d,oracle_region_totals,6,532.0,72
fold_07,rolling_7d,oracle_hour_profile,6,71.0,72
fold_07,rolling_7d,oracle_hour_totals,6,170.0,72
fold_07,rolling_7d,baseline,7,517.0,72
fold_07,rolling_7d,oracle_daily_total,7,528.0,72
fold_07,rolling_7d,oracle_region_totals,7,510.0,72
fold_07,rolling_7d,oracle_hour_profile,7,25.0,72
fold_07,rolling_7d,oracle_hour_totals,7,240.0,72
fold_08,rolling_7d,baseline,1,643.0,72
fold_08,rolling_7d,oracle_daily_total,1,252.0,72
fold_08,rolling_7d,oracle_region_totals,1,274.0,72
fold_08,rolling_7d,oracle_hour_profile,1,673.0,72
fold_08,rolling_7d,oracle_hour_totals,1,120.0,72
fold_08,rolling_7d,baseline,2,525.0,72
fold_08,rolling_7d,oracle_daily_total,2,456.0,72
fold_08,rolling_7d,oracle_region_totals,2,468.0,72
fold_08,rolling_7d,oracle_hour_profile,2,137.0,72
fold_08,rolling_7d,oracle_hour_totals,2,142.0,72
fold_08,rolling_7d,baseline,3,595.0,72
fold_08,rolling_7d,oracle_daily_total,3,436.0,72
fold_08,rolling_7d,oracle_region_totals,3,432.0,72
fold_08,rolling_7d,oracle_hour_profile,3,185.0,72
fold_08,rolling_7d,oracle_hour_totals,3,180.0,72
fold_08,rolling_7d,baseline,4,890.0,72
fold_08,rolling_7d,oracle_daily_total,4,798.0,72
fold_08,rolling_7d,oracle_region_totals,4,862.0,72
fold_08,rolling_7d,oracle_hour_profile,4,206.0,72
fold_08,rolling_7d,oracle_hour_totals,4,276.0,72
fold_08,rolling_7d,baseline,5,597.0,72
fold_08,rolling_7d,oracle_daily_total,5,544.0,72
fold_08,rolling_7d,oracle_region_totals,5,532.0,72
fold_08,rolling_7d,oracle_hour_profile,5,71.0,72
fold_08,rolling_7d,oracle_hour_totals,5,170.0,72
fold_08,rolling_7d,baseline,6,517.0,72
fold_08,rolling_7d,oracle_daily_total,6,528.0,72
fold_08,rolling_7d,oracle_region_totals,6,510.0,72
fold_08,rolling_7d,oracle_hour_profile,6,25.0,72
fold_08,rolling_7d,oracle_hour_totals,6,240.0,72
fold_08,rolling_7d,baseline,7,748.0,72
fold_08,rolling_7d,oracle_daily_total,7,770.0,72
fold_08,rolling_7d,oracle_region_totals,7,756.0,72
fold_08,rolling_7d,oracle_hour_profile,7,98.0,72
fold_08,rolling_7d,oracle_hour_totals,7,250.0,72
final_analog,final_analog,baseline,1,525.0,72
final_analog,final_analog,oracle_daily_total,1,456.0,72
final_analog,final_analog,oracle_region_totals,1,468.0,72
final_analog,final_analog,oracle_hour_profile,1,137.0,72
final_analog,final_analog,oracle_hour_totals,1,142.0,72
final_analog,final_analog,baseline,2,595.0,72
final_analog,final_analog,oracle_daily_total,2,436.0,72
final_analog,final_analog,oracle_region_totals,2,432.0,72
final_analog,final_analog,oracle_hour_profile,2,185.0,72
final_analog,final_analog,oracle_hour_totals,2,180.0,72
final_analog,final_analog,baseline,3,890.0,72
final_analog,final_analog,oracle_daily_total,3,798.0,72
final_analog,final_analog,oracle_region_totals,3,862.0,72
final_analog,final_analog,oracle_hour_profile,3,206.0,72
final_analog,final_analog,oracle_hour_totals,3,276.0,72
final_analog,final_analog,baseline,4,597.0,72
final_analog,final_analog,oracle_daily_total,4,544.0,72
final_analog,final_analog,oracle_region_totals,4,532.0,72
final_analog,final_analog,oracle_hour_profile,4,71.0,72
final_analog,final_analog,oracle_hour_totals,4,170.0,72
final_analog,final_analog,baseline,5,517.0,72
final_analog,final_analog,oracle_daily_total,5,528.0,72
final_analog,final_analog,oracle_region_totals,5,510.0,72
final_analog,final_analog,oracle_hour_profile,5,25.0,72
final_analog,final_analog,oracle_hour_totals,5,240.0,72
final_analog,final_analog,baseline,6,748.0,72
final_analog,final_analog,oracle_daily_total,6,770.0,72
final_analog,final_analog,oracle_region_totals,6,756.0,72
final_analog,final_analog,oracle_hour_profile,6,98.0,72
final_analog,final_analog,oracle_hour_totals,6,250.0,72
