evaluation_id,evaluation_type,method,scope,region,n_rows,sse_float,sse_integer,baseline_sse,sse_reduction,reduction_ratio
fold_01,rolling_7d,baseline,overall,all,504,6313.1808122253515,6328.0,6328.0,0.0,0.0
fold_01,rolling_7d,oracle_daily_total,overall,all,504,6313.1808122253515,2384.0,6328.0,3944.0,0.6232616940581542
fold_01,rolling_7d,oracle_region_totals,overall,all,504,6313.1808122253515,2278.0,6328.0,4050.0,0.6400126422250316
fold_01,rolling_7d,oracle_hour_profile,overall,all,504,6313.1808122253515,8252.0,6328.0,-1924.0,-0.30404551201011376
fold_01,rolling_7d,oracle_hour_totals,overall,all,504,6313.1808122253515,886.0,6328.0,5442.0,0.8599873577749684
fold_02,rolling_7d,baseline,overall,all,504,6230.077160532519,6381.0,6381.0,0.0,0.0
fold_02,rolling_7d,oracle_daily_total,overall,all,504,6230.077160532519,2216.0,6381.0,4165.0,0.6527190095596301
fold_02,rolling_7d,oracle_region_totals,overall,all,504,6230.077160532519,2198.0,6381.0,4183.0,0.6555398840307162
fold_02,rolling_7d,oracle_hour_profile,overall,all,504,6230.077160532519,8399.0,6381.0,-2018.0,-0.31625137125842345
fold_02,rolling_7d,oracle_hour_totals,overall,all,504,6230.077160532519,904.0,6381.0,5477.0,0.8583294154521235
fold_03,rolling_7d,baseline,overall,all,504,5783.343055736785,5804.0,5804.0,0.0,0.0
fold_03,rolling_7d,oracle_daily_total,overall,all,504,5783.343055736785,2184.0,5804.0,3620.0,0.6237077877325982
fold_03,rolling_7d,oracle_region_totals,overall,all,504,5783.343055736785,2196.0,5804.0,3608.0,0.6216402481047554
fold_03,rolling_7d,oracle_hour_profile,overall,all,504,5783.343055736785,7582.0,5804.0,-1778.0,-0.30634045485871814
fold_03,rolling_7d,oracle_hour_totals,overall,all,504,5783.343055736785,834.0,5804.0,4970.0,0.8563059958649207
fold_04,rolling_7d,baseline,overall,all,504,5620.070040295004,5677.0,5677.0,0.0,0.0
fold_04,rolling_7d,oracle_daily_total,overall,all,504,5620.070040295004,2314.0,5677.0,3363.0,0.5923903470142681
fold_04,rolling_7d,oracle_region_totals,overall,all,504,5620.070040295004,2336.0,5677.0,3341.0,0.5885150607715343
fold_04,rolling_7d,oracle_hour_profile,overall,all,504,5620.070040295004,7025.0,5677.0,-1348.0,-0.23744935705478246
fold_04,rolling_7d,oracle_hour_totals,overall,all,504,5620.070040295004,848.0,5677.0,4829.0,0.8506253302800775
fold_05,rolling_7d,baseline,overall,all,504,5309.883741904647,5341.0,5341.0,0.0,0.0
fold_05,rolling_7d,oracle_daily_total,overall,all,504,5309.883741904647,2758.0,5341.0,2583.0,0.4836173001310616
fold_05,rolling_7d,oracle_region_totals,overall,all,504,5309.883741904647,2856.0,5341.0,2485.0,0.46526867627785057
fold_05,rolling_7d,oracle_hour_profile,overall,all,504,5309.883741904647,4969.0,5341.0,372.0,0.06964987829994383
fold_05,rolling_7d,oracle_hour_totals,overall,all,504,5309.883741904647,1028.0,5341.0,4313.0,0.8075266803969294
fold_06,rolling_7d,baseline,overall,all,504,4929.1139254008785,4949.0,4949.0,0.0,0.0
fold_06,rolling_7d,oracle_daily_total,overall,all,504,4929.1139254008785,3016.0,4949.0,1933.0,0.39058395635481913
fold_06,rolling_7d,oracle_region_totals,overall,all,504,4929.1139254008785,3096.0,4949.0,1853.0,0.37441907456051726
fold_06,rolling_7d,oracle_hour_profile,overall,all,504,4929.1139254008785,3441.0,4949.0,1508.0,0.30470802182259044
fold_06,rolling_7d,oracle_hour_totals,overall,all,504,4929.1139254008785,1130.0,4949.0,3819.0,0.771671044655486
fold_07,rolling_7d,baseline,overall,all,504,4675.314450771315,4699.0,4699.0,0.0,0.0
fold_07,rolling_7d,oracle_daily_total,overall,all,504,4675.314450771315,3200.0,4699.0,1499.0,0.31900404341349226
fold_07,rolling_7d,oracle_region_totals,overall,all,504,4675.314450771315,3256.0,4699.0,1443.0,0.30708661417322836
fold_07,rolling_7d,oracle_hour_profile,overall,all,504,4675.314450771315,2533.0,4699.0,2166.0,0.46094913811449245
fold_07,rolling_7d,oracle_hour_totals,overall,all,504,4675.314450771315,1198.0,4699.0,3501.0,0.7450521387529262
fold_08,rolling_7d,baseline,overall,all,504,4508.3782037254505,4515.0,4515.0,0.0,0.0
fold_08,rolling_7d,oracle_daily_total,overall,all,504,4508.3782037254505,3784.0,4515.0,731.0,0.1619047619047619
fold_08,rolling_7d,oracle_region_totals,overall,all,504,4508.3782037254505,3834.0,4515.0,681.0,0.15083056478405316
fold_08,rolling_7d,oracle_hour_profile,overall,all,504,4508.3782037254505,1395.0,4515.0,3120.0,0.6910299003322259
fold_08,rolling_7d,oracle_hour_totals,overall,all,504,4508.3782037254505,1378.0,4515.0,3137.0,0.6947951273532669
final_analog,final_analog,baseline,overall,all,432,3886.6287269831146,3872.0,3872.0,0.0,0.0
final_analog,final_analog,oracle_daily_total,overall,all,432,3886.6287269831146,3532.0,3872.0,340.0,0.0878099173553719
final_analog,final_analog,oracle_region_totals,overall,all,432,3886.6287269831146,3560.0,3872.0,312.0,0.08057851239669421
final_analog,final_analog,oracle_hour_profile,overall,all,432,3886.6287269831146,722.0,3872.0,3150.0,0.8135330578512396
final_analog,final_analog,oracle_hour_totals,overall,all,432,3886.6287269831146,1258.0,3872.0,2614.0,0.675103305785124
