evaluation_id,region,hour_of_day,n_days,mean_residual,median_residual,residual_std,positive_count,negative_count,zero_count,baseline_sse,plus_one_sse,minus_one_sse,plus_one_delta_sse,minus_one_delta_sse
fold_01,core,0,7,-2.2857142857142856,-4.0,4.990467102863408,1,5,1,186.0,225.0,161.0,39.0,-25.0
fold_01,core,1,7,-1.7142857142857142,-2.0,1.1126972805283737,0,6,1,28.0,59.0,11.0,31.0,-17.0
fold_01,core,2,7,-2.0,-3.0,3.559026084010437,2,5,0,104.0,139.0,83.0,35.0,-21.0
fold_01,core,3,7,-5.0,-5.0,4.58257569495584,1,6,0,301.0,378.0,238.0,77.0,-63.0
fold_01,core,4,7,-3.857142857142857,-5.0,3.8483144114694956,2,5,0,193.0,254.0,146.0,61.0,-47.0
fold_01,core,5,7,-2.4285714285714284,-3.0,1.7182493859684491,0,6,1,59.0,100.0,32.0,41.0,-27.0
fold_01,core,6,7,-5.0,-6.0,4.08248290463863,1,6,0,275.0,352.0,212.0,77.0,-63.0
fold_01,core,7,7,-5.428571428571429,-5.0,1.9023794624226837,0,7,0,228.0,311.0,159.0,83.0,-69.0
fold_01,core,8,7,-4.714285714285714,-5.0,1.3801311186847085,0,7,0,167.0,240.0,108.0,73.0,-59.0
fold_01,core,9,7,-3.5714285714285716,-4.0,0.5345224838248487,0,7,0,91.0,148.0,48.0,57.0,-43.0
fold_01,core,10,7,-3.0,-3.0,3.559026084010437,1,5,1,139.0,188.0,104.0,49.0,-35.0
fold_01,core,11,7,-3.857142857142857,-4.0,2.410295378065479,0,6,1,139.0,200.0,92.0,61.0,-47.0
fold_01,core,12,7,-4.285714285714286,-5.0,2.984084768360628,1,6,0,182.0,249.0,129.0,67.0,-53.0
fold_01,core,13,7,-4.571428571428571,-5.0,1.511857892036909,0,7,0,160.0,231.0,103.0,71.0,-57.0
fold_01,core,14,7,-2.2857142857142856,-2.0,1.9760470401187076,0,6,1,60.0,99.0,35.0,39.0,-25.0
fold_01,core,15,7,-4.0,-5.0,4.58257569495584,1,6,0,238.0,301.0,189.0,63.0,-49.0
fold_01,core,16,7,-4.571428571428571,-4.0,2.5071326821120348,0,7,0,184.0,255.0,127.0,71.0,-57.0
fold_01,core,17,7,-0.7142857142857143,-1.0,3.450327796711771,2,5,0,75.0,92.0,72.0,17.0,-3.0
fold_01,core,18,7,-2.0,-1.0,3.0550504633038935,1,4,2,84.0,119.0,63.0,35.0,-21.0
fold_01,core,19,7,-8.428571428571429,-9.0,3.735288603626359,0,7,0,581.0,706.0,470.0,125.0,-111.0
fold_01,core,20,7,-5.142857142857143,-7.0,3.7606990231680517,1,6,0,270.0,349.0,205.0,79.0,-65.0
fold_01,core,21,7,-3.0,-3.0,0.816496580927726,0,7,0,67.0,116.0,32.0,49.0,-35.0
fold_01,core,22,7,-2.5714285714285716,-5.0,4.2761798705987895,2,5,0,156.0,199.0,127.0,43.0,-29.0
fold_01,core,23,7,-4.571428571428571,-6.0,4.928053803045811,1,6,0,292.0,363.0,235.0,71.0,-57.0
fold_01,near,0,7,-1.0,-2.0,2.516611478423583,2,5,0,45.0,66.0,38.0,21.0,-7.0
fold_01,near,1,7,-0.42857142857142855,-1.0,1.1338934190276817,1,5,1,9.0,22.0,10.0,13.0,1.0
fold_01,near,2,7,-0.7142857142857143,-1.0,1.1126972805283737,1,4,2,11.0,28.0,8.0,17.0,-3.0
fold_01,near,3,7,-3.7142857142857144,-4.0,1.4960264830861911,0,7,0,110.0,169.0,65.0,59.0,-45.0
fold_01,near,4,7,-0.8571428571428571,-1.0,1.6761634196950517,1,4,2,22.0,41.0,17.0,19.0,-5.0
fold_01,near,5,7,-1.4285714285714286,-1.0,0.5345224838248488,0,7,0,16.0,43.0,3.0,27.0,-13.0
fold_01,near,6,7,-1.4285714285714286,-1.0,1.6183471874253743,1,5,1,30.0,57.0,17.0,27.0,-13.0
fold_01,near,7,7,-3.4285714285714284,-3.0,2.63673679998231,0,6,1,124.0,179.0,83.0,55.0,-41.0
fold_01,near,8,7,-4.142857142857143,-6.0,3.670993118515816,2,5,0,201.0,266.0,150.0,65.0,-51.0
fold_01,near,9,7,-2.5714285714285716,-4.0,2.439750182371333,1,6,0,82.0,125.0,53.0,43.0,-29.0
fold_01,near,10,7,-3.0,-3.0,1.1547005383792515,0,7,0,71.0,120.0,36.0,49.0,-35.0
fold_01,near,11,7,-3.857142857142857,-3.0,1.2149857925879117,0,7,0,113.0,174.0,66.0,61.0,-47.0
fold_01,near,12,7,-2.857142857142857,-3.0,1.6761634196950517,0,7,0,74.0,121.0,41.0,47.0,-33.0
fold_01,near,13,7,-3.142857142857143,-3.0,0.6900655593423543,0,7,0,72.0,123.0,35.0,51.0,-37.0
fold_01,near,14,7,-2.2857142857142856,-2.0,1.799470821684875,0,6,1,56.0,95.0,31.0,39.0,-25.0
fold_01,near,15,7,-1.5714285714285714,-2.0,3.154739442867026,2,5,0,77.0,106.0,62.0,29.0,-15.0
fold_01,near,16,7,-2.142857142857143,-2.0,2.410295378065479,2,5,0,67.0,104.0,44.0,37.0,-23.0
fold_01,near,17,7,0.5714285714285714,0.0,2.819996622760558,3,3,1,50.0,49.0,65.0,-1.0,15.0
fold_01,near,18,7,-3.5714285714285716,-3.0,1.618347187425374,0,7,0,105.0,162.0,62.0,57.0,-43.0
fold_01,near,19,7,-4.714285714285714,-4.0,2.751622897751175,0,7,0,201.0,274.0,142.0,73.0,-59.0
fold_01,near,20,7,-2.857142857142857,-3.0,1.4638501094227998,0,7,0,70.0,117.0,37.0,47.0,-33.0
fold_01,near,21,7,-1.5714285714285714,-2.0,0.5345224838248488,0,7,0,19.0,48.0,4.0,29.0,-15.0
fold_01,near,22,7,-0.8571428571428571,-1.0,1.6761634196950517,1,4,2,22.0,41.0,17.0,19.0,-5.0
fold_01,near,23,7,-2.142857142857143,-3.0,2.9680841985233184,1,6,0,85.0,122.0,62.0,37.0,-23.0
fold_01,outer,0,7,-0.2857142857142857,-1.0,1.4960264830861911,1,5,1,14.0,25.0,17.0,11.0,3.0
fold_01,outer,1,7,-0.5714285714285714,-1.0,0.9759000729485332,1,4,2,8.0,23.0,7.0,15.0,-1.0
fold_01,outer,2,7,-0.42857142857142855,0.0,0.5345224838248487,0,3,4,3.0,16.0,4.0,13.0,1.0
fold_01,outer,3,7,-0.42857142857142855,0.0,0.5345224838248487,0,3,4,3.0,16.0,4.0,13.0,1.0
fold_01,outer,4,7,-0.8571428571428571,-1.0,1.0690449676496974,1,5,1,12.0,31.0,7.0,19.0,-5.0
fold_01,outer,5,7,-0.5714285714285714,-1.0,1.2724180205607036,2,4,1,12.0,27.0,11.0,15.0,-1.0
fold_01,outer,6,7,-0.42857142857142855,-1.0,0.7867957924694431,1,4,2,5.0,18.0,6.0,13.0,1.0
fold_01,outer,7,7,-0.14285714285714285,1.0,1.7728105208558365,4,3,0,19.0,28.0,24.0,9.0,5.0
fold_01,outer,8,7,0.7142857142857143,1.0,1.4960264830861911,4,2,1,17.0,14.0,34.0,-3.0,17.0
fold_01,outer,9,7,0.7142857142857143,1.0,1.4960264830861913,4,1,2,17.0,14.0,34.0,-3.0,17.0
fold_01,outer,10,7,-0.14285714285714285,0.0,0.8997354108424375,1,1,5,5.0,14.0,10.0,9.0,5.0
fold_01,outer,11,7,0.2857142857142857,0.0,1.1126972805283737,3,2,2,8.0,11.0,19.0,3.0,11.0
fold_01,outer,12,7,-2.2857142857142856,-3.0,1.7994708216848745,1,6,0,56.0,95.0,31.0,39.0,-25.0
fold_01,outer,13,7,-0.8571428571428571,-2.0,2.4784787961282104,1,4,2,42.0,61.0,37.0,19.0,-5.0
fold_01,outer,14,7,-0.7142857142857143,-1.0,1.4960264830861911,1,5,1,17.0,34.0,14.0,17.0,-3.0
fold_01,outer,15,7,-0.7142857142857143,-1.0,1.1126972805283737,1,4,2,11.0,28.0,8.0,17.0,-3.0
fold_01,outer,16,7,-1.4285714285714286,-2.0,0.7867957924694431,0,6,1,18.0,45.0,5.0,27.0,-13.0
fold_01,outer,17,7,-1.1428571428571428,-2.0,1.2149857925879117,1,5,1,18.0,41.0,9.0,23.0,-9.0
fold_01,outer,18,7,-0.14285714285714285,-1.0,1.4638501094227998,1,4,2,13.0,22.0,18.0,9.0,5.0
