region,hour_of_day,action,rolling_improve_count,rolling_worsen_count,rolling_tie_count,rolling_total_delta_sse,rolling_median_delta_sse,nonoverlap_block_1_delta,nonoverlap_block_2_delta,final_analog_delta,signal_strength
core,0,plus_one,1,7,0,284.0,38.0,39.0,-1.0,-6.0,harmful
core,0,minus_one,6,2,0,-172.0,-24.0,-25.0,15.0,18.0,weak
core,1,plus_one,1,7,0,154.0,20.0,31.0,-1.0,-4.0,harmful
core,1,minus_one,6,2,0,-42.0,-6.0,-17.0,15.0,16.0,weak
core,2,plus_one,0,8,0,232.0,25.0,35.0,21.0,12.0,harmful
core,2,minus_one,8,0,0,-120.0,-11.0,-21.0,-7.0,0.0,strong
core,3,plus_one,0,8,0,476.0,53.0,77.0,39.0,38.0,harmful
core,3,minus_one,8,0,0,-364.0,-39.0,-63.0,-25.0,-26.0,strong
core,4,plus_one,0,8,0,392.0,51.0,61.0,17.0,8.0,harmful
core,4,minus_one,8,0,0,-280.0,-37.0,-47.0,-3.0,4.0,weak
core,5,plus_one,0,8,0,250.0,33.0,41.0,15.0,10.0,harmful
core,5,minus_one,8,0,0,-138.0,-19.0,-27.0,-1.0,2.0,weak
core,6,plus_one,0,8,0,604.0,73.0,77.0,67.0,56.0,harmful
core,6,minus_one,8,0,0,-492.0,-59.0,-63.0,-53.0,-44.0,strong
core,7,plus_one,0,8,0,366.0,49.0,83.0,11.0,8.0,harmful
core,7,minus_one,6,2,0,-254.0,-35.0,-69.0,3.0,4.0,weak
core,8,plus_one,2,6,0,198.0,23.0,73.0,-21.0,-20.0,harmful
core,8,minus_one,5,3,0,-86.0,-9.0,-59.0,35.0,32.0,weak
core,9,plus_one,1,7,0,220.0,29.0,57.0,-11.0,-16.0,harmful
core,9,minus_one,6,2,0,-108.0,-15.0,-43.0,25.0,28.0,weak
core,10,plus_one,0,8,0,342.0,42.0,49.0,41.0,30.0,harmful
core,10,minus_one,8,0,0,-230.0,-28.0,-35.0,-27.0,-18.0,strong
core,11,plus_one,0,8,0,292.0,33.0,61.0,15.0,2.0,harmful
core,11,minus_one,8,0,0,-180.0,-19.0,-47.0,-1.0,10.0,weak
core,12,plus_one,0,8,0,402.0,52.0,67.0,23.0,12.0,harmful
core,12,minus_one,8,0,0,-290.0,-38.0,-53.0,-9.0,0.0,strong
core,13,plus_one,1,7,0,232.0,23.0,71.0,-5.0,-14.0,harmful
core,13,minus_one,4,4,0,-120.0,-9.0,-57.0,19.0,26.0,weak
core,14,plus_one,1,7,0,192.0,23.0,39.0,-3.0,-12.0,harmful
core,14,minus_one,6,2,0,-80.0,-9.0,-25.0,17.0,24.0,weak
core,15,plus_one,0,8,0,356.0,40.0,63.0,13.0,-4.0,harmful
core,15,minus_one,7,1,0,-244.0,-26.0,-49.0,1.0,16.0,weak
core,16,plus_one,0,8,0,378.0,43.0,71.0,11.0,-4.0,harmful
core,16,minus_one,7,1,0,-266.0,-29.0,-57.0,3.0,16.0,weak
core,17,plus_one,2,6,0,186.0,23.0,17.0,-1.0,-6.0,harmful
core,17,minus_one,5,3,0,-74.0,-9.0,-3.0,15.0,18.0,weak
core,18,plus_one,0,8,0,176.0,23.0,35.0,3.0,-2.0,harmful
core,18,minus_one,4,4,0,-64.0,-9.0,-21.0,11.0,14.0,weak
core,19,plus_one,1,7,0,476.0,54.0,125.0,-15.0,-16.0,harmful
core,19,minus_one,6,2,0,-364.0,-40.0,-111.0,29.0,28.0,weak
core,20,plus_one,0,8,0,474.0,68.0,79.0,5.0,-10.0,harmful
core,20,minus_one,7,1,0,-362.0,-54.0,-65.0,9.0,22.0,weak
core,21,plus_one,2,6,0,148.0,25.0,49.0,-27.0,-32.0,harmful
core,21,minus_one,6,2,0,-36.0,-11.0,-35.0,41.0,44.0,weak
core,22,plus_one,0,8,0,242.0,30.0,43.0,5.0,-6.0,harmful
core,22,minus_one,7,1,0,-130.0,-16.0,-29.0,9.0,18.0,weak
core,23,plus_one,0,8,0,460.0,62.0,71.0,13.0,6.0,harmful
core,23,minus_one,7,1,0,-348.0,-48.0,-57.0,1.0,6.0,weak
near,0,plus_one,1,7,0,166.0,20.0,21.0,-1.0,-6.0,harmful
near,0,minus_one,6,2,0,-54.0,-6.0,-7.0,15.0,18.0,weak
near,1,plus_one,0,8,0,100.0,13.0,13.0,5.0,2.0,harmful
