evaluation_id,evaluation_type,method,n_dates,total_sse,normal_sse,abnormal_sse,post_outage_normal_sse,n_normal_dates,n_abnormal_dates
fold_01,rolling_7d,baseline,7,6328.0,501.0,5827.0,0.0,1,6
fold_01,rolling_7d,nested_region_hour_unconstrained,7,6328.0,501.0,5827.0,0.0,1,6
fold_01,rolling_7d,nested_region_hour_total_preserving,7,6328.0,501.0,5827.0,0.0,1,6
fold_01,rolling_7d,normal_common_profile_cv,7,6301.0,522.0,5779.0,0.0,1,6
fold_01,rolling_7d,normal_profile_plus_nested_residual,7,6301.0,522.0,5779.0,0.0,1,6
fold_01,rolling_7d,step23_fixed10_diagnostic,7,5940.0,463.0,5477.0,0.0,1,6
fold_02,rolling_7d,baseline,7,6381.0,0.0,6381.0,0.0,0,7
fold_02,rolling_7d,nested_region_hour_unconstrained,7,6381.0,0.0,6381.0,0.0,0,7
fold_02,rolling_7d,nested_region_hour_total_preserving,7,6381.0,0.0,6381.0,0.0,0,7
fold_02,rolling_7d,normal_common_profile_cv,7,6143.0,0.0,6143.0,0.0,0,7
fold_02,rolling_7d,normal_profile_plus_nested_residual,7,6155.0,0.0,6155.0,0.0,0,7
fold_02,rolling_7d,step23_fixed10_diagnostic,7,5999.0,0.0,5999.0,0.0,0,7
fold_03,rolling_7d,baseline,7,5804.0,525.0,5279.0,525.0,1,6
fold_03,rolling_7d,nested_region_hour_unconstrained,7,5811.0,510.0,5301.0,510.0,1,6
fold_03,rolling_7d,nested_region_hour_total_preserving,7,5822.0,513.0,5309.0,513.0,1,6
fold_03,rolling_7d,normal_common_profile_cv,7,5698.0,523.0,5175.0,523.0,1,6
fold_03,rolling_7d,normal_profile_plus_nested_residual,7,5706.0,509.0,5197.0,509.0,1,6
fold_03,rolling_7d,step23_fixed10_diagnostic,7,5348.0,465.0,4883.0,465.0,1,6
fold_04,rolling_7d,baseline,7,5677.0,1120.0,4557.0,1120.0,2,5
fold_04,rolling_7d,nested_region_hour_unconstrained,7,5698.0,1112.0,4586.0,1112.0,2,5
fold_04,rolling_7d,nested_region_hour_total_preserving,7,5699.0,1110.0,4589.0,1110.0,2,5
fold_04,rolling_7d,normal_common_profile_cv,7,5577.0,1121.0,4456.0,1121.0,2,5
fold_04,rolling_7d,normal_profile_plus_nested_residual,7,5589.0,1109.0,4480.0,1109.0,2,5
fold_04,rolling_7d,step23_fixed10_diagnostic,7,5363.0,1140.0,4223.0,1140.0,2,5
fold_05,rolling_7d,baseline,7,5341.0,2010.0,3331.0,2010.0,3,4
fold_05,rolling_7d,nested_region_hour_unconstrained,7,5341.0,2010.0,3331.0,2010.0,3,4
fold_05,rolling_7d,nested_region_hour_total_preserving,7,5341.0,2010.0,3331.0,2010.0,3,4
fold_05,rolling_7d,normal_common_profile_cv,7,5287.0,2030.0,3257.0,2030.0,3,4
fold_05,rolling_7d,normal_profile_plus_nested_residual,7,5287.0,2030.0,3257.0,2030.0,3,4
fold_05,rolling_7d,step23_fixed10_diagnostic,7,5065.0,2004.0,3061.0,2004.0,3,4
fold_06,rolling_7d,baseline,7,4949.0,2607.0,2342.0,2607.0,4,3
fold_06,rolling_7d,nested_region_hour_unconstrained,7,4949.0,2607.0,2342.0,2607.0,4,3
fold_06,rolling_7d,nested_region_hour_total_preserving,7,4949.0,2607.0,2342.0,2607.0,4,3
fold_06,rolling_7d,normal_common_profile_cv,7,4899.0,2603.0,2296.0,2603.0,4,3
fold_06,rolling_7d,normal_profile_plus_nested_residual,7,4899.0,2603.0,2296.0,2603.0,4,3
fold_06,rolling_7d,step23_fixed10_diagnostic,7,4695.0,2535.0,2160.0,2535.0,4,3
fold_07,rolling_7d,baseline,7,4699.0,3124.0,1575.0,3124.0,5,2
fold_07,rolling_7d,nested_region_hour_unconstrained,7,4699.0,3124.0,1575.0,3124.0,5,2
fold_07,rolling_7d,nested_region_hour_total_preserving,7,4699.0,3124.0,1575.0,3124.0,5,2
fold_07,rolling_7d,normal_common_profile_cv,7,4643.0,3110.0,1533.0,3110.0,5,2
fold_07,rolling_7d,normal_profile_plus_nested_residual,7,4643.0,3110.0,1533.0,3110.0,5,2
fold_07,rolling_7d,step23_fixed10_diagnostic,7,4505.0,3052.0,1453.0,3052.0,5,2
fold_08,rolling_7d,baseline,7,4515.0,3872.0,643.0,3872.0,6,1
fold_08,rolling_7d,nested_region_hour_unconstrained,7,4515.0,3872.0,643.0,3872.0,6,1
fold_08,rolling_7d,nested_region_hour_total_preserving,7,4515.0,3872.0,643.0,3872.0,6,1
fold_08,rolling_7d,normal_common_profile_cv,7,4485.0,3848.0,637.0,3848.0,6,1
fold_08,rolling_7d,normal_profile_plus_nested_residual,7,4485.0,3848.0,637.0,3848.0,6,1
fold_08,rolling_7d,step23_fixed10_diagnostic,7,4339.0,3762.0,577.0,3762.0,6,1
final_analog,final_analog,baseline,6,3872.0,3872.0,0.0,3872.0,6,0
final_analog,final_analog,nested_region_hour_unconstrained,6,3872.0,3872.0,0.0,3872.0,6,0
final_analog,final_analog,nested_region_hour_total_preserving,6,3872.0,3872.0,0.0,3872.0,6,0
final_analog,final_analog,normal_common_profile_cv,6,3848.0,3848.0,0.0,3848.0,6,0
final_analog,final_analog,normal_profile_plus_nested_residual,6,3848.0,3848.0,0.0,3848.0,6,0
final_analog,final_analog,step23_fixed10_diagnostic,6,3762.0,3762.0,0.0,3762.0,6,0
