evaluation_id,method,n_selected,n_candidates,n_train_normal
fold_01,nested_region_hour_unconstrained,0,0,10
fold_01,nested_region_hour_total_preserving,0,0,10
fold_01,normal_profile_plus_nested_residual,0,1,10
fold_02,nested_region_hour_unconstrained,0,0,11
fold_02,nested_region_hour_total_preserving,0,0,11
fold_02,normal_profile_plus_nested_residual,2,2,11
fold_03,nested_region_hour_unconstrained,3,3,11
fold_03,nested_region_hour_total_preserving,2,3,11
fold_03,normal_profile_plus_nested_residual,2,3,11
fold_04,nested_region_hour_unconstrained,3,3,11
fold_04,nested_region_hour_total_preserving,2,3,11
fold_04,normal_profile_plus_nested_residual,2,3,11
fold_05,nested_region_hour_unconstrained,0,0,11
fold_05,nested_region_hour_total_preserving,0,0,11
fold_05,normal_profile_plus_nested_residual,0,1,11
fold_06,nested_region_hour_unconstrained,0,0,11
fold_06,nested_region_hour_total_preserving,0,0,11
fold_06,normal_profile_plus_nested_residual,0,1,11
fold_07,nested_region_hour_unconstrained,0,0,11
fold_07,nested_region_hour_total_preserving,0,0,11
fold_07,normal_profile_plus_nested_residual,0,1,11
fold_08,nested_region_hour_unconstrained,0,0,11
fold_08,nested_region_hour_total_preserving,0,0,11
fold_08,normal_profile_plus_nested_residual,0,1,11
final_analog,nested_region_hour_unconstrained,0,0,11
final_analog,nested_region_hour_total_preserving,0,0,11
final_analog,normal_profile_plus_nested_residual,0,1,11
